
reset_timestep 0

fix 1 all nvt temp 350 350 100.0

thermo 100

dump 1 all custom 100 production.xyz id type x y z

dump_modify 1 sort id

restart 1000 production.restart

run 4000000
Generated 6 of 6 mixed pair_coeff terms from geometric mixing rule
Neighbor list info ...
  update: every = 1 steps, delay = 0 steps, check = yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 14
  ghost atom cutoff = 14
  binsize = 7, bins = 3 3 3
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair lj/cut, perpetual
      attributes: half, newton on
      pair build: half/bin/newton
      stencil: half/bin/3d
      bin: standard
Per MPI rank memory allocation (min/avg/max) = 12.55 | 12.55 | 12.55 Mbytes
   Step          Temp          PotEng         KinEng         TotEng         E_bond        E_angle        E_dihed        E_impro         E_vdwl         Press     
      5100   374.98095      55.590425      40.238892      95.829317      14.091212      16.86853       0              9.4117137      15.21897       99.507649    
      5200   403.55855      52.104667      43.305529      95.410197      9.8729891      17.453447      0              8.4931794      16.285051      1527.9503    
      5300   358.33559      56.231609      38.452692      94.684301      16.067386      12.343166      0              10.554037      17.267021      3065.6089    
      5400   357.04551      55.351068      38.314254      93.665322      13.024305      16.997323      0              8.2003478      17.129091      339.18833    
      5500   394.63011      49.885812      42.347426      92.233239      12.69189       16.267763      0              3.9402139      16.985946      1621.2011    
      5600   355.07565      52.207946      38.10287       90.310816      16.358975      13.15106       0              5.7798185      16.918092      1335.0091    
      5700   328.24339      52.718859      35.223523      87.942382      12.884319      16.984818      0              5.6107061      17.239015     -172.23728    
      5800   324.31707      50.019097      34.802192      84.821289      13.392995      14.895742      0              5.0811846      16.649175     -934.95538    
      5900   337.06139      44.668007      36.169775      80.837782      8.3022409      15.127655      0              5.7285678      15.509543     -2450.4331    
      6000   350.56465      39.337133      37.618799      76.955931      10.78887       8.3831603      0              4.5741333      15.590969     -3655.8439    
      6100   281.84176      44.076438      30.244203      74.32064       9.7950741      12.249004      0              4.5188132      17.513546      2371.9042    
      6200   258.1491       45.376519      27.701763      73.078282      9.7422221      12.558169      0              6.3177259      16.758402      1256.9069    
      6300   248.40932      46.245261      26.656596      72.901857      12.081735      13.2351        0              4.9239701      16.004456     -291.89742    
      6400   273.87472      43.962348      29.389267      73.351615      12.850585      11.518577      0              4.5884157      15.004771     -2763.9584    
      6500   312.85347      40.614617      33.572044      74.186661      10.06033       9.8862669      0              3.8851823      16.782838      418.14083    
      6600   294.02143      43.832656      31.551193      75.38385       9.786855       10.49655       0              5.9311177      17.618133      715.83085    
      6700   367.38823      37.499084      39.424123      76.923207      6.820868       8.1791587      0              3.7488218      18.750236      1410.8292    
      6800   344.32588      41.8331        36.949322      78.782422      8.9300984      10.474203      0              4.1077331      18.321066      1865.6695    
      6900   327.61121      45.813094      35.155685      80.968779      13.244587      9.5232586      0              4.0829916      18.962257      295.20884    
      7000   292.73979      51.853089      31.413661      83.26675       15.433848      8.4611825      0              7.7970386      20.16102       729.06862    
      7100   299.48149      53.301337      32.137108      85.438444      18.605644      12.594392      0              4.5410373      17.560264      1621.9837    
      7200   334.16412      51.416895      35.858871      87.275766      17.955588      11.642739      0              4.2926931      17.525875     -2457.0696    
      7300   356.43564      50.537574      38.248809      88.786383      12.22233       10.796854      0              7.3573467      20.161043      1281.0483    
      7400   397.15599      47.308129      42.618476      89.926605      13.621358      10.046839      0              6.5472783      17.092654     -3886.3948    
      7500   378.3749       50.107902      40.603093      90.710995      11.690861      14.077728      0              7.3507109      16.988603      138.4686     
      7600   412.77482      46.992399      44.29452       91.286919      14.008948      8.6012634      0              6.6377178      17.744469      257.04609    
      7700   343.94246      54.738193      36.908177      91.64637       19.044152      12.546911      0              5.8659656      17.281164     -971.00726    
      7800   385.48372      50.421619      41.365935      91.787554      14.533642      16.393024      0              3.0059218      16.489031      2968.8774    
      7900   384.56275      50.251764      41.267106      91.51887       17.56677       9.2584841      0              6.4263222      17.000188      344.63902    
      8000   392.71405      48.612438      42.141816      90.754254      10.252711      13.910094      0              6.6785112      17.771122      1086.5314    
      8100   403.86903      45.996214      43.338847      89.335061      10.486342      11.241775      0              6.3195708      17.948526     -1066.0064    
      8200   360.33278      48.530128      38.667008      87.197136      10.153294      12.189365      0              7.9088237      18.278645      2688.6093    
      8300   335.14983      48.196322      35.964647      84.160969      11.028211      11.649316      0              9.0743464      16.444448      660.9311     
      8400   358.3602       42.343115      38.455332      80.798447      9.3045523      8.8148693      0              7.9171555      16.306537     -340.13741    
      8500   307.04827      44.836672      32.949092      77.785764      12.927909      9.9074767      0              5.324407       16.676879      196.27394    
      8600   286.65006      44.904064      30.760177      75.664242      13.575121      10.770729      0              5.155495       15.402719     -565.16744    
      8700   267.67475      45.644147      28.723953      74.3681        16.107816      9.5269491      0              3.9364137      16.072969     -67.135139    
      8800   299.72946      41.663044      32.163717      73.826761      12.69927       7.1347283      0              6.5654217      15.263623     -687.5223     
      8900   306.74394      41.002613      32.916435      73.919048      8.9316454      10.322891      0              4.6673168      17.08076       1119.0037    
      9000   335.40428      38.624553      35.991952      74.616505      10.596467      7.1571403      0              5.4899503      15.380996     -2814.0272    
      9100   293.90302      44.372142      31.538487      75.910629      8.6415687      15.472954      0              3.6314923      16.626127      3393.5651    
      9200   342.10855      41.076347      36.711382      77.787729      8.4977033      10.664111      0              6.6793751      15.235157     -785.74182    
      9300   345.27888      43.049348      37.051587      80.100935      13.06308       8.7013927      0              5.2426584      16.042217     -1042.7931    
      9400   303.60702      49.963731      32.579815      82.543547      14.856222      11.337252      0              7.089712       16.680545      403.09272    
      9500   287.54634      53.910132      30.856356      84.766488      14.865368      17.137564      0              6.6289938      15.278205     -540.48173    
