central_element,neighbor_rank,minimum_A,q01_A,q05_A,median_A,q95_A,maximum_A
B,1,3.389799999999994,3.389799999999994,3.389799999999994,3.389800000000001,3.3898200000000003,3.38983
B,2,3.389799999999994,3.389799999999994,3.389800000000001,3.3898999999999972,3.3899000000000115,10.1695
B,3,6.106629540098207,6.106629540098207,6.106629540098207,8.287658177796494,10.1695,10.46867970137591
B,4,6.106713499911389,6.106713499911389,6.1067324421494025,9.014660619685026,10.169500000000014,10.468697991632009
B,5,9.124357539027056,9.124357539027066,9.124369493833534,10.162320413884832,10.468674590414972,12.472272719115793
B,6,9.124402120446032,9.12441373075553,9.124426408273564,10.1695,10.509235182782152,12.472288071160005
N,1,3.389799999999994,3.389799999999994,3.389799999999994,3.389800000000001,3.3898200000000003,3.38983
N,2,3.389799999999994,3.389799999999994,3.389800000000001,3.3898999999999972,3.3899000000000115,10.1695
N,3,6.106629540098207,6.106629540098207,6.106629540098207,8.287658177796494,10.1695,10.46867970137591
N,4,6.106713499911389,6.106713499911389,6.1067324421494025,9.014660619685026,10.169500000000014,10.468697991632009
N,5,9.124357539027056,9.124357539027066,9.124369493833534,10.162320413884832,10.468674590414972,12.472272719115793
N,6,9.124402120446032,9.12441373075553,9.124426408273564,10.1695,10.509235182782152,12.472288071160005
