cutoff_A,mean_coordination,minimum_coordination,maximum_coordination,fraction_coordination_0,fraction_coordination_1,fraction_coordination_2,fraction_coordination_3,fraction_coordination_gt3
1.5,0.0,0,0,1.0,0.0,0.0,0.0,0.0
1.55,0.0,0,0,1.0,0.0,0.0,0.0,0.0
1.6,0.0,0,0,1.0,0.0,0.0,0.0,0.0
1.6500000000000001,0.0,0,0,1.0,0.0,0.0,0.0,0.0
1.7000000000000002,0.0,0,0,1.0,0.0,0.0,0.0,0.0
1.7500000000000002,0.0,0,0,1.0,0.0,0.0,0.0,0.0
1.8000000000000003,0.0,0,0,1.0,0.0,0.0,0.0,0.0
1.8500000000000003,0.0,0,0,1.0,0.0,0.0,0.0,0.0
1.9000000000000004,0.0,0,0,1.0,0.0,0.0,0.0,0.0
1.9500000000000004,0.0,0,0,1.0,0.0,0.0,0.0,0.0
2.0000000000000004,0.0,0,0,1.0,0.0,0.0,0.0,0.0
2.0500000000000007,0.0,0,0,1.0,0.0,0.0,0.0,0.0
2.1000000000000005,0.0,0,0,1.0,0.0,0.0,0.0,0.0
2.1500000000000004,0.0,0,0,1.0,0.0,0.0,0.0,0.0
2.2000000000000006,0.0,0,0,1.0,0.0,0.0,0.0,0.0
2.250000000000001,0.0,0,0,1.0,0.0,0.0,0.0,0.0
2.3000000000000007,0.0,0,0,1.0,0.0,0.0,0.0,0.0
2.3500000000000005,0.0,0,0,1.0,0.0,0.0,0.0,0.0
2.400000000000001,0.0,0,0,1.0,0.0,0.0,0.0,0.0
2.450000000000001,0.0,0,0,1.0,0.0,0.0,0.0,0.0
2.500000000000001,0.0,0,0,1.0,0.0,0.0,0.0,0.0
2.5500000000000007,0.0,0,0,1.0,0.0,0.0,0.0,0.0
2.600000000000001,0.0,0,0,1.0,0.0,0.0,0.0,0.0
2.6500000000000012,0.0,0,0,1.0,0.0,0.0,0.0,0.0
2.700000000000001,0.0,0,0,1.0,0.0,0.0,0.0,0.0
2.750000000000001,0.0,0,0,1.0,0.0,0.0,0.0,0.0
2.800000000000001,0.0,0,0,1.0,0.0,0.0,0.0,0.0
2.8500000000000014,0.0,0,0,1.0,0.0,0.0,0.0,0.0
2.9000000000000012,0.0,0,0,1.0,0.0,0.0,0.0,0.0
2.950000000000001,0.0,0,0,1.0,0.0,0.0,0.0,0.0
3.0000000000000013,0.0,0,0,1.0,0.0,0.0,0.0,0.0
3.0500000000000016,0.0,0,0,1.0,0.0,0.0,0.0,0.0
3.1000000000000014,0.0,0,0,1.0,0.0,0.0,0.0,0.0
3.1500000000000012,0.0,0,0,1.0,0.0,0.0,0.0,0.0
3.2000000000000015,0.0,0,0,1.0,0.0,0.0,0.0,0.0
3.2500000000000018,0.0,0,0,1.0,0.0,0.0,0.0,0.0
3.3000000000000016,0.0,0,0,1.0,0.0,0.0,0.0,0.0
3.3500000000000014,0.0,0,0,1.0,0.0,0.0,0.0,0.0
3.4000000000000017,1.9666666666666666,1,2,0.0,0.03333333333333333,0.9666666666666667,0.0,0.0
3.450000000000002,1.9666666666666666,1,2,0.0,0.03333333333333333,0.9666666666666667,0.0,0.0
3.5000000000000018,1.9666666666666666,1,2,0.0,0.03333333333333333,0.9666666666666667,0.0,0.0
3.5500000000000016,1.9666666666666666,1,2,0.0,0.03333333333333333,0.9666666666666667,0.0,0.0
3.600000000000002,1.9666666666666666,1,2,0.0,0.03333333333333333,0.9666666666666667,0.0,0.0
3.650000000000002,1.9666666666666666,1,2,0.0,0.03333333333333333,0.9666666666666667,0.0,0.0
3.700000000000002,1.9666666666666666,1,2,0.0,0.03333333333333333,0.9666666666666667,0.0,0.0
3.7500000000000018,1.9666666666666666,1,2,0.0,0.03333333333333333,0.9666666666666667,0.0,0.0
3.800000000000002,1.9666666666666666,1,2,0.0,0.03333333333333333,0.9666666666666667,0.0,0.0
3.8500000000000023,1.9666666666666666,1,2,0.0,0.03333333333333333,0.9666666666666667,0.0,0.0
3.900000000000002,1.9666666666666666,1,2,0.0,0.03333333333333333,0.9666666666666667,0.0,0.0
3.950000000000002,1.9666666666666666,1,2,0.0,0.03333333333333333,0.9666666666666667,0.0,0.0
