state,energy_au,energy_eV,energy_cm-1
1,0.108736,2.959,23864.7
2,0.137657,3.746,30212.2
3,0.138070,3.757,30302.9
4,0.138873,3.779,30479.2
5,0.140092,3.812,30746.7
6,0.143939,3.917,31591.0
7,0.145346,3.955,31899.8
8,0.146756,3.993,32209.3
9,0.149323,4.063,32772.6
10,0.151628,4.126,33278.4
11,0.152354,4.146,33437.8
12,0.154014,4.191,33802.3
13,0.154622,4.207,33935.6
14,0.155757,4.238,34184.7
15,0.156447,4.257,34336.1
16,0.159779,4.348,35067.4
17,0.160282,4.361,35177.9
18,0.160646,4.371,35257.6
19,0.165846,4.513,36399.0
20,0.168997,4.599,37090.5
