
reset_timestep 0

fix 1 all nvt temp 150 150 100.0

thermo 100

dump 1 all custom 100 nvt.xyz id type x y z

dump_modify 1 sort id

run 1000000
Generated 6 of 6 mixed pair_coeff terms from geometric mixing rule
Neighbor list info ...
  update: every = 1 steps, delay = 0 steps, check = yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 14
  ghost atom cutoff = 14
  binsize = 7, bins = 3 3 3
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair lj/cut, perpetual
      attributes: half, newton on
      pair build: half/bin/newton
      stencil: half/bin/3d
      bin: standard
Per MPI rank memory allocation (min/avg/max) = 12.55 | 12.55 | 12.55 Mbytes
   Step          Temp          PotEng         KinEng         TotEng         E_bond        E_angle        E_dihed        E_impro         E_vdwl         Press     
      5000   149.91637      32.48627       16.0874        48.57367       5.6727458      8.5486759      0              2.5296531      15.735195     -640.06193    
      5100   142.77076      34.517717      15.32061       49.838327      7.7275757      8.8971888      0              1.759665       16.133287     -1591.6368    
      5200   134.95576      36.272177      14.481989      50.754166      6.8786424      9.852356       0              2.3684568      17.172721      1830.4257    
      5300   154.56908      34.756511      16.586678      51.343189      7.3072895      8.6055874      0              1.7381651      17.105469     -341.5086     
      5400   180.16723      32.219343      19.333595      51.552938      6.2003669      8.502938       0              1.4583163      16.057722     -3.7680252    
      5500   178.52298      32.326264      19.157151      51.483416      5.832554       8.2338538      0              2.0786159      16.181241      1089.2166    
      5600   164.93999      33.382702      17.699572      51.082274      7.2000688      5.6405781      0              2.9942971      17.547758      2427.7489    
      5700   147.61827      34.666861      15.840793      50.507654      6.7656113      7.5374111      0              3.4333269      16.930512     -429.20038    
      5800   161.47179      32.566132      17.327402      49.893534      5.8180467      8.0939286      0              1.5942665      17.05989       3501.5933    
      5900   142.20006      34.222202      15.259369      49.48157       8.8957299      6.9607135      0              2.8154248      15.550333     -3772.0828    
      6000   169.56171      30.961085      18.195525      49.156609      5.2056762      6.0554162      0              2.4409867      17.259006     -393.74384    
