pyr_i,pyr_j,center_distance_nm,delta_z_nm,radial_offset_nm,plane_angle_deg,normal_dot
2,3,2.69177,1.33987,0.07742,89.997,0.00005
2,4,4.25169,2.67906,0.09362,1.149,0.99980
2,5,4.69020,4.01763,0.28193,89.518,0.00842
3,4,2.69074,1.33919,0.17104,89.923,0.00135
3,5,4.34339,2.67775,0.35935,0.993,0.99985
4,5,2.76521,1.33856,0.18831,89.460,0.00942
