MO,PYR2_fraction,PYR3_fraction,WATER_fraction
286a,0.949436,0.000000,0.050564
289a,0.000000,0.976026,0.023974
290a,0.973880,0.000000,0.026120
291a,0.000000,0.972567,0.027433
292a,0.977982,0.000000,0.022018
293a,0.000000,0.972007,0.027993
295a,0.977719,0.000000,0.022281
296a,0.964729,0.000000,0.035271
