site,PYR2,PYR3,PYR4,PYR5
PYR2,3.500,6.500,2.500,8.500
PYR3,6.500,-1.500,10.500,1.000
PYR4,2.500,10.500,6.500,11.000
PYR5,8.500,1.000,11.000,-8.500
