end,fits_screened,local_preoptimization_pass_count,best_overall_fit_mode,best_overall_mapping_id,best_overall_attachment_RMS_deviation_nm,best_overall_attachment_max_deviation_nm,best_overall_gap_nm,best_overall_maximum_principal_strain,best_overall_affine_anisotropy,best_rigid_RMS_deviation_nm,best_rigid_max_deviation_nm,best_rigid_gap_nm,best_similarity_RMS_deviation_nm,best_similarity_max_deviation_nm,best_similarity_principal_strain,best_similarity_annulus_bond_max_deviation_nm,best_affine_RMS_deviation_nm,best_affine_max_deviation_nm,best_affine_principal_strain,best_affine_anisotropy,local_constrained_optimization_feasible
LOWER,300,0,RIGID,LOWER:P0:O1:R1,0.19819666938005956,0.2961479482248046,2e-05,2.220446049250313e-16,1.0000000000000002,0.19819666938005956,0.2961479482248046,2e-05,0.19992817292711396,0.3070345485795216,0.068368652888956,0.009911608715270803,0.19992817174306687,0.3070330459406694,0.06839477264921356,1.0000488977260515,False
UPPER,300,0,RIGID,UPPER:P0:O1:R3,0.19819666938005956,0.2961479482248047,2e-05,4.440892098500626e-16,1.0000000000000004,0.19819666938005956,0.2961479482248047,2e-05,0.199928172927114,0.30703454857952184,0.06836865288895622,0.009911608715270803,0.1999281717430669,0.30703304594066905,0.06839477264921401,1.000048897726052,False
