metric,value
hbn_atoms,1680
candidate_bonds_lt_0p20nm,2460
degree0_atoms,0
degree1_atoms,60
degree2_atoms,0
degree3_atoms,1620
degree_gt3_atoms,0

atom_i,atom_j,name_i,name_j,elem_i,elem_j,distance_nm
364,421,N0364,B0421,N,B,0.14378
10,67,N0010,B0067,N,B,0.14378
128,185,N0128,B0185,N,B,0.14378
246,303,N0246,B0303,N,B,0.14378
600,659,N0600,B0659,N,B,0.14378
778,835,N0778,B0835,N,B,0.14378
836,895,N0836,B0895,N,B,0.14378
954,1013,N0954,B1013,N,B,0.14378
1014,1071,N1014,B1071,N,B,0.14378
1250,1307,N1250,B1307,N,B,0.14378
1308,1367,N1308,B1367,N,B,0.14378
1368,1425,N1368,B1425,N,B,0.14378
1544,1603,N1544,B1603,N,B,0.14378
661,662,B0661,N0662,B,N,0.14400
663,664,B0663,N0664,B,N,0.14400
665,666,B0665,N0666,B,N,0.14400
667,668,B0667,N0668,B,N,0.14400
669,670,B0669,N0670,B,N,0.14400
671,672,B0671,N0672,B,N,0.14400
673,674,B0673,N0674,B,N,0.14400
675,676,B0675,N0676,B,N,0.14400
677,678,B0677,N0678,B,N,0.14400
679,680,B0679,N0680,B,N,0.14400
681,682,B0681,N0682,B,N,0.14400
683,684,B0683,N0684,B,N,0.14400
685,686,B0685,N0686,B,N,0.14400
687,688,B0687,N0688,B,N,0.14400
689,690,B0689,N0690,B,N,0.14400
691,692,B0691,N0692,B,N,0.14400
693,694,B0693,N0694,B,N,0.14400
695,696,B0695,N0696,B,N,0.14400
697,698,B0697,N0698,B,N,0.14400
699,700,B0699,N0700,B,N,0.14400
701,702,B0701,N0702,B,N,0.14400
703,704,B0703,N0704,B,N,0.14400
705,706,B0705,N0706,B,N,0.14400
707,708,B0707,N0708,B,N,0.14400
709,710,B0709,N0710,B,N,0.14400
711,712,B0711,N0712,B,N,0.14400
713,714,B0713,N0714,B,N,0.14400
715,716,B0715,N0716,B,N,0.14400
717,718,B0717,N0718,B,N,0.14400
719,720,B0719,N0720,B,N,0.14400
1141,1142,B1141,N1142,B,N,0.14400
1143,1144,B1143,N1144,B,N,0.14400
1145,1146,B1145,N1146,B,N,0.14400
1147,1148,B1147,N1148,B,N,0.14400
1149,1150,B1149,N1150,B,N,0.14400
1151,1152,B1151,N1152,B,N,0.14400
1153,1154,B1153,N1154,B,N,0.14400
1155,1156,B1155,N1156,B,N,0.14400
1157,1158,B1157,N1158,B,N,0.14400
1159,1160,B1159,N1160,B,N,0.14400
1161,1162,B1161,N1162,B,N,0.14400
1163,1164,B1163,N1164,B,N,0.14400
1165,1166,B1165,N1166,B,N,0.14400
1167,1168,B1167,N1168,B,N,0.14400
1169,1170,B1169,N1170,B,N,0.14400
1171,1172,B1171,N1172,B,N,0.14400
1173,1174,B1173,N1174,B,N,0.14400
1175,1176,B1175,N1176,B,N,0.14400
1177,1178,B1177,N1178,B,N,0.14400
1179,1180,B1179,N1180,B,N,0.14400
1181,1182,B1181,N1182,B,N,0.14400
1183,1184,B1183,N1184,B,N,0.14400
1185,1186,B1185,N1186,B,N,0.14400
1187,1188,B1187,N1188,B,N,0.14400
1189,1190,B1189,N1190,B,N,0.14400
1191,1192,B1191,N1192,B,N,0.14400
1193,1194,B1193,N1194,B,N,0.14400
1195,1196,B1195,N1196,B,N,0.14400
1197,1198,B1197,N1198,B,N,0.14400
1199,1200,B1199,N1200,B,N,0.14400
660,717,N0660,B0717,N,B,0.14428
896,953,N0896,B0953,N,B,0.14428
1190,1249,N1190,B1249,N,B,0.14428
1426,1485,N1426,B1485,N,B,0.14428
1486,1543,N1486,B1543,N,B,0.14428
68,127,N0068,B0127,N,B,0.14428
186,245,N0186,B0245,N,B,0.14428
304,363,N0304,B0363,N,B,0.14428
422,481,N0422,B0481,N,B,0.14428
482,599,N0482,B0599,N,B,0.14428
718,777,N0718,B0777,N,B,0.14428
1072,1131,N1072,B1131,N,B,0.14428
1132,1189,N1132,B1189,N,B,0.14428
1604,1661,N1604,B1661,N,B,0.14428
380,439,N0380,B0439,N,B,0.14434
406,465,N0406,B0465,N,B,0.14434
26,85,N0026,B0085,N,B,0.14434
52,111,N0052,B0111,N,B,0.14434
144,203,N0144,B0203,N,B,0.14434
170,229,N0170,B0229,N,B,0.14434
262,321,N0262,B0321,N,B,0.14434
288,347,N0288,B0347,N,B,0.14434
558,615,N0558,B0615,N,B,0.14434
584,641,N0584,B0641,N,B,0.14434
734,793,N0734,B0793,N,B,0.14434
760,819,N0760,B0819,N,B,0.14434
794,851,N0794,B0851,N,B,0.14434
820,877,N0820,B0877,N,B,0.14434
912,969,N0912,B0969,N,B,0.14434
938,995,N0938,B0995,N,B,0.14434
970,1029,N0970,B1029,N,B,0.14434
996,1055,N0996,B1055,N,B,0.14434
1206,1265,N1206,B1265,N,B,0.14434
1232,1291,N1232,B1291,N,B,0.14434
1266,1323,N1266,B1323,N,B,0.14434
1292,1349,N1292,B1349,N,B,0.14434
1324,1383,N1324,B1383,N,B,0.14434
1350,1409,N1350,B1409,N,B,0.14434
1502,1619,N1502,B1619,N,B,0.14434
1528,1585,N1528,B1585,N,B,0.14434
378,435,N0378,B0435,N,B,0.14434
410,467,N0410,B0467,N,B,0.14434
24,81,N0024,B0081,N,B,0.14434
56,113,N0056,B0113,N,B,0.14434
142,199,N0142,B0199,N,B,0.14434
174,231,N0174,B0231,N,B,0.14434
260,317,N0260,B0317,N,B,0.14434
292,349,N0292,B0349,N,B,0.14434
554,613,N0554,B0613,N,B,0.14434
586,645,N0586,B0645,N,B,0.14434
732,789,N0732,B0789,N,B,0.14434
764,821,N0764,B0821,N,B,0.14434
790,849,N0790,B0849,N,B,0.14434
822,881,N0822,B0881,N,B,0.14434
908,967,N0908,B0967,N,B,0.14434
940,999,N0940,B0999,N,B,0.14434
968,1025,N0968,B1025,N,B,0.14434
1000,1057,N1000,B1057,N,B,0.14434
1204,1261,N1204,B1261,N,B,0.14434
1236,1293,N1236,B1293,N,B,0.14434
1262,1321,N1262,B1321,N,B,0.14434
1294,1353,N1294,B1353,N,B,0.14434
1322,1439,N1322,B1439,N,B,0.14434
1354,1411,N1354,B1411,N,B,0.14434
1530,1589,N1530,B1589,N,B,0.14434
1558,1617,N1558,B1617,N,B,0.14434
392,451,N0392,B0451,N,B,0.14434
394,453,N0394,B0453,N,B,0.14434
38,97,N0038,B0097,N,B,0.14434
40,99,N0040,B0099,N,B,0.14434
156,215,N0156,B0215,N,B,0.14434
158,217,N0158,B0217,N,B,0.14434
274,333,N0274,B0333,N,B,0.14434
276,335,N0276,B0335,N,B,0.14434
570,627,N0570,B0627,N,B,0.14434
572,629,N0572,B0629,N,B,0.14434
746,805,N0746,B0805,N,B,0.14434
748,807,N0748,B0807,N,B,0.14434
806,863,N0806,B0863,N,B,0.14434
808,865,N0808,B0865,N,B,0.14434
924,981,N0924,B0981,N,B,0.14434
926,983,N0926,B0983,N,B,0.14434
982,1041,N0982,B1041,N,B,0.14434
984,1043,N0984,B1043,N,B,0.14434
1218,1277,N1218,B1277,N,B,0.14434
1220,1279,N1220,B1279,N,B,0.14434
1278,1335,N1278,B1335,N,B,0.14434
1280,1337,N1280,B1337,N,B,0.14434
1336,1395,N1336,B1395,N,B,0.14434
1338,1397,N1338,B1397,N,B,0.14434
1514,1571,N1514,B1571,N,B,0.14434
1516,1573,N1516,B1573,N,B,0.14434
372,429,N0372,B0429,N,B,0.14438
416,473,N0416,B0473,N,B,0.14438
2,119,N0002,B0119,N,B,0.14438
18,75,N0018,B0075,N,B,0.14438
136,193,N0136,B0193,N,B,0.14438
180,237,N0180,B0237,N,B,0.14438
254,311,N0254,B0311,N,B,0.14438
298,355,N0298,B0355,N,B,0.14438
548,607,N0548,B0607,N,B,0.14438
592,651,N0592,B0651,N,B,0.14438
726,783,N0726,B0783,N,B,0.14438
770,827,N0770,B0827,N,B,0.14438
784,843,N0784,B0843,N,B,0.14438
828,887,N0828,B0887,N,B,0.14438
902,961,N0902,B0961,N,B,0.14438
946,1005,N0946,B1005,N,B,0.14438
962,1079,N0962,B1079,N,B,0.14438
1006,1063,N1006,B1063,N,B,0.14438
1242,1299,N1242,B1299,N,B,0.14438
1258,1315,N1258,B1315,N,B,0.14438
1300,1359,N1300,B1359,N,B,0.14438
1316,1375,N1316,B1375,N,B,0.14438
1360,1417,N1360,B1417,N,B,0.14438
