mapping_id,bridge_atoms_per_attachment,attachments_per_end,end,seed_element,bridge_element_sequence,annulus_endpoint_element,seed_parity,orientation,rotation,endpoint_pairs_evaluated,all_endpoint_pairs_locally_feasible,mapping_geometrically_feasible,interbridge_clashes,minimum_interbridge_clearance_nm,minimum_angle_deg,maximum_bond_deviation_nm,minimum_local_clearance_nm,seed_nodes,annulus_nodes
M4:LOWER:P0:O1:R0,4,15,LOWER,N,B-N-B-N,B,0,1,0,1,False,False,-1,0.0,39.691182061326025,0.0526531815903539,0.1249796463197066,S:1680 | S:1682 | S:1684 | S:1686 | S:1688 | S:1690 | S:1692 | S:1694 | S:1696 | S:1698 | S:1700 | S:1702 | S:1704 | S:1706 | S:1708,A:LOWER:13:5 | A:LOWER:10:6 | A:LOWER:7:7 | A:LOWER:4:8 | A:LOWER:1:9 | A:LOWER:-14:4 | A:LOWER:-14:2 | A:LOWER:-14:0 | A:LOWER:-14:-2 | A:LOWER:-14:-4 | A:LOWER:1:-9 | A:LOWER:4:-8 | A:LOWER:7:-7 | A:LOWER:10:-6 | A:LOWER:13:-5
M4:LOWER:P0:O1:R1,4,15,LOWER,N,B-N-B-N,B,0,1,1,1,False,False,-1,0.0,28.94804471616406,0.09274612284163078,0.12501772619711762,S:1680 | S:1682 | S:1684 | S:1686 | S:1688 | S:1690 | S:1692 | S:1694 | S:1696 | S:1698 | S:1700 | S:1702 | S:1704 | S:1706 | S:1708,A:LOWER:10:6 | A:LOWER:7:7 | A:LOWER:4:8 | A:LOWER:1:9 | A:LOWER:-14:4 | A:LOWER:-14:2 | A:LOWER:-14:0 | A:LOWER:-14:-2 | A:LOWER:-14:-4 | A:LOWER:1:-9 | A:LOWER:4:-8 | A:LOWER:7:-7 | A:LOWER:10:-6 | A:LOWER:13:-5 | A:LOWER:13:5
M4:LOWER:P0:O1:R2,4,15,LOWER,N,B-N-B-N,B,0,1,2,1,False,False,-1,0.0,23.014327660408636,0.12833573462903783,0.1412747697671874,S:1680 | S:1682 | S:1684 | S:1686 | S:1688 | S:1690 | S:1692 | S:1694 | S:1696 | S:1698 | S:1700 | S:1702 | S:1704 | S:1706 | S:1708,A:LOWER:7:7 | A:LOWER:4:8 | A:LOWER:1:9 | A:LOWER:-14:4 | A:LOWER:-14:2 | A:LOWER:-14:0 | A:LOWER:-14:-2 | A:LOWER:-14:-4 | A:LOWER:1:-9 | A:LOWER:4:-8 | A:LOWER:7:-7 | A:LOWER:10:-6 | A:LOWER:13:-5 | A:LOWER:13:5 | A:LOWER:10:6
M4:LOWER:P0:O1:R3,4,15,LOWER,N,B-N-B-N,B,0,1,3,1,False,False,-1,0.0,13.240492088102966,0.1750581976051596,0.14264518703969334,S:1680 | S:1682 | S:1684 | S:1686 | S:1688 | S:1690 | S:1692 | S:1694 | S:1696 | S:1698 | S:1700 | S:1702 | S:1704 | S:1706 | S:1708,A:LOWER:4:8 | A:LOWER:1:9 | A:LOWER:-14:4 | A:LOWER:-14:2 | A:LOWER:-14:0 | A:LOWER:-14:-2 | A:LOWER:-14:-4 | A:LOWER:1:-9 | A:LOWER:4:-8 | A:LOWER:7:-7 | A:LOWER:10:-6 | A:LOWER:13:-5 | A:LOWER:13:5 | A:LOWER:10:6 | A:LOWER:7:7
M4:LOWER:P0:O1:R4,4,15,LOWER,N,B-N-B-N,B,0,1,4,1,False,False,-1,0.0,18.23236267619705,0.2241073369765377,0.14012353085185975,S:1680 | S:1682 | S:1684 | S:1686 | S:1688 | S:1690 | S:1692 | S:1694 | S:1696 | S:1698 | S:1700 | S:1702 | S:1704 | S:1706 | S:1708,A:LOWER:1:9 | A:LOWER:-14:4 | A:LOWER:-14:2 | A:LOWER:-14:0 | A:LOWER:-14:-2 | A:LOWER:-14:-4 | A:LOWER:1:-9 | A:LOWER:4:-8 | A:LOWER:7:-7 | A:LOWER:10:-6 | A:LOWER:13:-5 | A:LOWER:13:5 | A:LOWER:10:6 | A:LOWER:7:7 | A:LOWER:4:8
M4:LOWER:P0:O1:R5,4,15,LOWER,N,B-N-B-N,B,0,1,5,1,False,False,-1,0.0,41.69830159708827,0.332881731637904,0.14106741782884366,S:1680 | S:1682 | S:1684 | S:1686 | S:1688 | S:1690 | S:1692 | S:1694 | S:1696 | S:1698 | S:1700 | S:1702 | S:1704 | S:1706 | S:1708,A:LOWER:-14:4 | A:LOWER:-14:2 | A:LOWER:-14:0 | A:LOWER:-14:-2 | A:LOWER:-14:-4 | A:LOWER:1:-9 | A:LOWER:4:-8 | A:LOWER:7:-7 | A:LOWER:10:-6 | A:LOWER:13:-5 | A:LOWER:13:5 | A:LOWER:10:6 | A:LOWER:7:7 | A:LOWER:4:8 | A:LOWER:1:9
M4:LOWER:P0:O1:R6,4,15,LOWER,N,B-N-B-N,B,0,1,6,1,False,False,-1,0.0,49.67129191017769,0.31585421580694684,0.14112000371606473,S:1680 | S:1682 | S:1684 | S:1686 | S:1688 | S:1690 | S:1692 | S:1694 | S:1696 | S:1698 | S:1700 | S:1702 | S:1704 | S:1706 | S:1708,A:LOWER:-14:2 | A:LOWER:-14:0 | A:LOWER:-14:-2 | A:LOWER:-14:-4 | A:LOWER:1:-9 | A:LOWER:4:-8 | A:LOWER:7:-7 | A:LOWER:10:-6 | A:LOWER:13:-5 | A:LOWER:13:5 | A:LOWER:10:6 | A:LOWER:7:7 | A:LOWER:4:8 | A:LOWER:1:9 | A:LOWER:-14:4
M4:LOWER:P0:O1:R7,4,15,LOWER,N,B-N-B-N,B,0,1,7,1,False,False,-1,0.0,49.74407224327459,0.30745628399062097,0.1335671531700309,S:1680 | S:1682 | S:1684 | S:1686 | S:1688 | S:1690 | S:1692 | S:1694 | S:1696 | S:1698 | S:1700 | S:1702 | S:1704 | S:1706 | S:1708,A:LOWER:-14:0 | A:LOWER:-14:-2 | A:LOWER:-14:-4 | A:LOWER:1:-9 | A:LOWER:4:-8 | A:LOWER:7:-7 | A:LOWER:10:-6 | A:LOWER:13:-5 | A:LOWER:13:5 | A:LOWER:10:6 | A:LOWER:7:7 | A:LOWER:4:8 | A:LOWER:1:9 | A:LOWER:-14:4 | A:LOWER:-14:2
M4:LOWER:P0:O1:R8,4,15,LOWER,N,B-N-B-N,B,0,1,8,1,False,False,-1,0.0,61.03352971460039,0.3046660660598227,0.11156970819333699,S:1680 | S:1682 | S:1684 | S:1686 | S:1688 | S:1690 | S:1692 | S:1694 | S:1696 | S:1698 | S:1700 | S:1702 | S:1704 | S:1706 | S:1708,A:LOWER:-14:-2 | A:LOWER:-14:-4 | A:LOWER:1:-9 | A:LOWER:4:-8 | A:LOWER:7:-7 | A:LOWER:10:-6 | A:LOWER:13:-5 | A:LOWER:13:5 | A:LOWER:10:6 | A:LOWER:7:7 | A:LOWER:4:8 | A:LOWER:1:9 | A:LOWER:-14:4 | A:LOWER:-14:2 | A:LOWER:-14:0
M4:LOWER:P0:O1:R9,4,15,LOWER,N,B-N-B-N,B,0,1,9,1,False,False,-1,0.0,49.56125912217483,0.31215933577725286,0.13297807323306987,S:1680 | S:1682 | S:1684 | S:1686 | S:1688 | S:1690 | S:1692 | S:1694 | S:1696 | S:1698 | S:1700 | S:1702 | S:1704 | S:1706 | S:1708,A:LOWER:-14:-4 | A:LOWER:1:-9 | A:LOWER:4:-8 | A:LOWER:7:-7 | A:LOWER:10:-6 | A:LOWER:13:-5 | A:LOWER:13:5 | A:LOWER:10:6 | A:LOWER:7:7 | A:LOWER:4:8 | A:LOWER:1:9 | A:LOWER:-14:4 | A:LOWER:-14:2 | A:LOWER:-14:0 | A:LOWER:-14:-2
M4:LOWER:P0:O1:R10,4,15,LOWER,N,B-N-B-N,B,0,1,10,1,False,False,-1,0.0,17.619054463786384,0.15390536903974775,0.1291355308236549,S:1680 | S:1682 | S:1684 | S:1686 | S:1688 | S:1690 | S:1692 | S:1694 | S:1696 | S:1698 | S:1700 | S:1702 | S:1704 | S:1706 | S:1708,A:LOWER:1:-9 | A:LOWER:4:-8 | A:LOWER:7:-7 | A:LOWER:10:-6 | A:LOWER:13:-5 | A:LOWER:13:5 | A:LOWER:10:6 | A:LOWER:7:7 | A:LOWER:4:8 | A:LOWER:1:9 | A:LOWER:-14:4 | A:LOWER:-14:2 | A:LOWER:-14:0 | A:LOWER:-14:-2 | A:LOWER:-14:-4
