initial_state,gamma0_maximum_transfer_out,gamma_maximizing_transfer_out_ps_inv,maximum_transfer_out,transfer_out_change_vs_gamma0,gamma_minimizing_time_average_survival_ps_inv,minimum_time_average_survival,gamma_maximizing_other_high_population_ps_inv,maximum_other_high_population,gamma_maximizing_PYR5_population_ps_inv,maximum_PYR5_population
PYR2_bright,0.1265142513089048,20.0,0.6236315013554479,0.49711725004654306,20.0,0.51176088455329,20.0,0.6200884990307136,100.0,0.009209875436518961
PYR3_bright,0.1432238824451243,50.0,0.66705056070131,0.5238266782561857,20.0,0.4242267703969256,20.0,0.6549149813261992,200.0,0.028463451592472672
PYR4_bright,0.09474472558594349,50.0,0.6223616387120601,0.5276169131261166,20.0,0.524522838426335,20.0,0.6105787717225744,200.0,0.09813770964729188
PYR5_bright,8.553360317287151e-05,200.0,0.13468610355852118,0.1346005699553483,200.0,0.9296972402339917,200.0,0.13468610355852362,0.0,1.0
