frame,time_ps,trace_eV,mean_diag_eV,diagonal_spread_eV,PYR5_offset_vs_PYR2_PYR4_eV,PYR5_offset_vs_PYR2_PYR4_meV
0,0.0,16.016,4.004,0.31099999999999994,0.2999999999999998,299.99999999999983
1,5.0,15.993,3.99825,0.33300000000000063,0.32299999999999995,322.99999999999994
2,10.0,16.052,4.013,0.3150000000000004,0.3120000000000003,312.0000000000003
3,15.0,16.022000000000002,4.0055000000000005,0.3540000000000001,0.34066666666666734,340.6666666666673
4,20.0,16.044,4.011,0.33999999999999986,0.33333333333333304,333.33333333333303
5,25.0,16.006,4.0015,0.29200000000000026,0.2726666666666664,272.6666666666664
6,30.0,16.044999999999998,4.0112499999999995,0.3200000000000003,0.3136666666666663,313.6666666666663
7,35.0,16.056,4.014,0.3129999999999997,0.29866666666666664,298.66666666666663
8,40.0,16.037,4.00925,0.2989999999999995,0.2883333333333331,288.3333333333331
9,45.0,15.999,3.99975,0.3440000000000003,0.3330000000000002,333.00000000000017
10,50.0,16.034,4.0085,0.3080000000000003,0.2900000000000005,290.00000000000045
11,55.0,16.046,4.0115,0.31099999999999994,0.29933333333333323,299.33333333333326
12,60.0,16.066,4.0165,0.30699999999999994,0.29266666666666596,292.66666666666595
13,65.0,16.062,4.0155,0.31999999999999984,0.31000000000000005,310.00000000000006
14,70.0,16.041999999999998,4.0104999999999995,0.31099999999999994,0.3006666666666655,300.66666666666555
15,75.0,16.078,4.0195,0.30200000000000005,0.2966666666666664,296.6666666666664
16,80.0,16.043,4.01075,0.30799999999999983,0.2983333333333338,298.33333333333377
17,85.0,16.032,4.008,0.33899999999999997,0.33599999999999985,335.99999999999983
18,90.0,16.017,4.00425,0.3360000000000003,0.33499999999999996,334.99999999999994
19,95.0,16.032999999999998,4.008249999999999,0.30699999999999994,0.3029999999999995,302.9999999999995
20,100.0,15.995000000000001,3.9987500000000002,0.3150000000000004,0.307666666666667,307.66666666666697
