,PYR2,PYR3,PYR4,PYR5
PYR2,4.092,0.0,0.0,0.0
PYR3,0.0,4.096,0.0,0.0
PYR4,0.0,0.0,4.069,0.0
PYR5,0.0,0.0,0.0,3.785
