temperature_K,kappa_ref_ps_inv,gamma_phi_ps_inv,n_final_population_samples,mean_final_PYR5_population,sd_final_PYR5_population,n_stationary_samples,mean_stationary_PYR5_population,sd_stationary_PYR5_population,n_gateway_samples,weighted_mean_PYR4_gateway_fraction,weighted_sd_PYR4_gateway_fraction,total_gateway_weight
150.0,0.1,0.0,63,0.0001603916351143458,0.00016991358494787404,21,0.9999772855181392,2.453039309182712e-06,63,0.9062695769150022,0.19033560537714217,0.009297477332708522
150.0,0.1,1.0,63,0.0016572088678018287,0.0011074315271632652,21,0.2647718344785274,0.006813921229212047,63,0.9119625836147155,0.09656759497445629,0.009427871948691529
150.0,0.1,20.0,63,0.02845882179157368,0.0041583042886302775,21,0.25046950985405964,0.0021753221051547212,63,0.9141167010209633,0.07182932994186557,0.0093597735882881
150.0,0.1,100.0,63,0.10713071821766963,0.016040481813318044,21,0.24890255370216738,0.005800392659000163,63,0.9115246057775065,0.07360104301030387,0.008772819047372657
150.0,1.0,0.0,63,0.0013452871280939106,0.001069440654217098,21,0.9999772855181392,2.453039309182712e-06,63,0.8822807086183803,0.15377127128295578,0.08400216282639066
150.0,1.0,1.0,63,0.002798201863999889,0.0015943329616494887,21,0.36881321232733294,0.04526983112411718,63,0.8947715057320006,0.09914485282617104,0.08791099116522198
150.0,1.0,20.0,63,0.02926456545511802,0.00435535986579417,21,0.25556435454922377,0.010192832807770266,63,0.910417178013782,0.07350276974894464,0.09230928491463265
150.0,1.0,100.0,63,0.10576586108911049,0.016237514337884236,21,0.24492799913819552,0.019414250426773243,63,0.9058171175882552,0.0753762782611399,0.08617844189126404
150.0,10.0,0.0,63,0.01148379960188672,0.006807956139283839,21,0.9999772855181392,2.453039309182712e-06,63,0.8429957418514662,0.12290776037981073,0.7227148760928122
150.0,10.0,1.0,63,0.013029483933956483,0.00668346494931352,21,0.7079403266177717,0.08437509200905191,63,0.8530094767248345,0.10456140307260721,0.7472660788698346
150.0,10.0,20.0,63,0.03831016397538771,0.008320505251691812,21,0.308847859219812,0.03836954597177594,63,0.8904755119828532,0.07821769959287544,0.8475514535133449
150.0,10.0,100.0,63,0.10518550062316788,0.024309743243527762,21,0.24111670828008944,0.042199718136459355,63,0.8842345319926908,0.07876909669745641,0.7910022084757533
300.0,0.1,0.0,63,0.0001611652957592181,0.0001594060423445193,21,0.9999506429580106,2.0793187755100495e-05,63,0.9085327153807954,0.16722488057761045,0.009338931581706967
300.0,0.1,1.0,63,0.0016575551488747645,0.0010813341617400543,21,0.26494661353130605,0.0062107688575222765,63,0.9121622356182449,0.09512218387518838,0.009429915010310833
300.0,0.1,20.0,63,0.02846153619956233,0.004126187387625445,21,0.2504838724305423,0.0017628163119640234,63,0.9141335159086976,0.07167472871421103,0.009358373635173773
300.0,0.1,100.0,63,0.10735321296826533,0.015372635727691316,21,0.24915447271648772,0.004452085929718206,63,0.911807871185836,0.07297474275842807,0.008782191427008335
300.0,1.0,0.0,63,0.0013982142752882707,0.0008909272439779481,21,0.9999506429580106,2.0793187755100495e-05,63,0.893748932860107,0.11476430657823546,0.08729643429708339
300.0,1.0,1.0,63,0.002848870572564847,0.0014033974348271162,21,0.3777390152418211,0.03384464042408778,63,0.8999569675259066,0.0899753951889597,0.08949761174985435
300.0,1.0,20.0,63,0.02933103221238318,0.004158869497868518,21,0.2560793400393508,0.00765165106119916,63,0.9109489208250728,0.07268351443337105,0.0924205803326883
300.0,1.0,100.0,63,0.10663004405426087,0.01376556675469444,21,0.24653322653055837,0.01280831477331044,63,0.9076335397360406,0.07345611898520098,0.08664459411862556
300.0,10.0,0.0,63,0.012999785137305849,0.004562201333063087,21,0.9999506429580106,2.0793187755100495e-05,63,0.8790118205474847,0.08386909643948164,0.8181468210453621
300.0,10.0,1.0,63,0.014408325097405297,0.004662798579267366,21,0.7499920755648626,0.046540055732872974,63,0.8817840318983854,0.08124602346692969,0.8263550043193095
300.0,10.0,20.0,63,0.03936657024535409,0.006857808864025193,21,0.3158841765709007,0.027196977436764892,63,0.8975368478442952,0.0742731793020642,0.8689567516684301
300.0,10.0,100.0,63,0.11010714987919745,0.017418384230138077,21,0.25112725699685573,0.026742211444007954,63,0.8950156361523607,0.07390732802557223,0.8223256829583035
