calculation_type,frame,cluster,job,root,is_tracked_root,pair_rank,pair_label,orbital_role,orbital_index,orbital_spin,natoms,natoms_raw,n_datasets,dataset_ids,nx,ny,nz,n_values,voxel_volume_bohr3,orbital_norm,cube_size_bytes,cube_file
embedded,13,PYR5,frame013_PYR5_embedding_nto_s1_s2,2,False,1,52a->53a,hole,52,a,26,-26,1,52,80,80,80,512000,0.027335029931630773,1.0000067461683728,7259247,runs/phase1A/day016_md_bath_extraction/day019_nto_inputs/frame013_PYR5_embedding_nto_s1_s2/frame013_PYR5_embedding_nto_s1_s2.s2.mo52a.cube
embedded,13,PYR5,frame013_PYR5_embedding_nto_s1_s2,2,False,1,52a->53a,particle,53,a,26,-26,1,53,80,80,80,512000,0.027335029931630773,0.9999770973497344,7259247,runs/phase1A/day016_md_bath_extraction/day019_nto_inputs/frame013_PYR5_embedding_nto_s1_s2/frame013_PYR5_embedding_nto_s1_s2.s2.mo53a.cube
embedded,13,PYR5,frame013_PYR5_embedding_nto_s1_s2,2,False,2,51a->54a,hole,51,a,26,-26,1,51,80,80,80,512000,0.027335029931630773,0.9999827104532713,7259247,runs/phase1A/day016_md_bath_extraction/day019_nto_inputs/frame013_PYR5_embedding_nto_s1_s2/frame013_PYR5_embedding_nto_s1_s2.s2.mo51a.cube
embedded,13,PYR5,frame013_PYR5_embedding_nto_s1_s2,2,False,2,51a->54a,particle,54,a,26,-26,1,54,80,80,80,512000,0.027335029931630773,1.0000052785756572,7259247,runs/phase1A/day016_md_bath_extraction/day019_nto_inputs/frame013_PYR5_embedding_nto_s1_s2/frame013_PYR5_embedding_nto_s1_s2.s2.mo54a.cube
vacuum_reference,0,PYR2,frame000_PYR2_vacuum_reference_nto_s1_s2,1,False,1,52a->53a,hole,52,a,26,-26,1,52,80,80,80,512000,0.027018445879961505,1.000020314250779,7259247,runs/phase1A/day016_md_bath_extraction/day019_nto_inputs/frame000_PYR2_vacuum_reference_nto_s1_s2/frame000_PYR2_vacuum_reference_nto_s1_s2.s1.mo52a.cube
vacuum_reference,0,PYR2,frame000_PYR2_vacuum_reference_nto_s1_s2,1,False,1,52a->53a,particle,53,a,26,-26,1,53,80,80,80,512000,0.027018445879961505,1.0000358534538978,7259247,runs/phase1A/day016_md_bath_extraction/day019_nto_inputs/frame000_PYR2_vacuum_reference_nto_s1_s2/frame000_PYR2_vacuum_reference_nto_s1_s2.s1.mo53a.cube
vacuum_reference,0,PYR2,frame000_PYR2_vacuum_reference_nto_s1_s2,1,False,2,51a->54a,hole,51,a,26,-26,1,51,80,80,80,512000,0.027018445879961505,1.0000339326646963,7259247,runs/phase1A/day016_md_bath_extraction/day019_nto_inputs/frame000_PYR2_vacuum_reference_nto_s1_s2/frame000_PYR2_vacuum_reference_nto_s1_s2.s1.mo51a.cube
vacuum_reference,0,PYR2,frame000_PYR2_vacuum_reference_nto_s1_s2,1,False,2,51a->54a,particle,54,a,26,-26,1,54,80,80,80,512000,0.027018445879961505,1.0000235754557714,7259247,runs/phase1A/day016_md_bath_extraction/day019_nto_inputs/frame000_PYR2_vacuum_reference_nto_s1_s2/frame000_PYR2_vacuum_reference_nto_s1_s2.s1.mo54a.cube
vacuum_reference,0,PYR2,frame000_PYR2_vacuum_reference_nto_s1_s2,2,True,1,52a->53a,hole,52,a,26,-26,1,52,80,80,80,512000,0.027018445879961505,1.0000234788816715,7259247,runs/phase1A/day016_md_bath_extraction/day019_nto_inputs/frame000_PYR2_vacuum_reference_nto_s1_s2/frame000_PYR2_vacuum_reference_nto_s1_s2.s2.mo52a.cube
vacuum_reference,0,PYR2,frame000_PYR2_vacuum_reference_nto_s1_s2,2,True,1,52a->53a,particle,53,a,26,-26,1,53,80,80,80,512000,0.027018445879961505,1.0000250706133205,7259247,runs/phase1A/day016_md_bath_extraction/day019_nto_inputs/frame000_PYR2_vacuum_reference_nto_s1_s2/frame000_PYR2_vacuum_reference_nto_s1_s2.s2.mo53a.cube
vacuum_reference,0,PYR3,frame000_PYR3_vacuum_reference_nto_s1_s2,1,False,1,52a->53a,hole,52,a,26,-26,1,52,80,80,80,512000,0.027018445879961505,1.0000229627565627,7259247,runs/phase1A/day016_md_bath_extraction/day019_nto_inputs/frame000_PYR3_vacuum_reference_nto_s1_s2/frame000_PYR3_vacuum_reference_nto_s1_s2.s1.mo52a.cube
vacuum_reference,0,PYR3,frame000_PYR3_vacuum_reference_nto_s1_s2,1,False,1,52a->53a,particle,53,a,26,-26,1,53,80,80,80,512000,0.027018445879961505,1.000031814229802,7259247,runs/phase1A/day016_md_bath_extraction/day019_nto_inputs/frame000_PYR3_vacuum_reference_nto_s1_s2/frame000_PYR3_vacuum_reference_nto_s1_s2.s1.mo53a.cube
vacuum_reference,0,PYR3,frame000_PYR3_vacuum_reference_nto_s1_s2,1,False,2,51a->54a,hole,51,a,26,-26,1,51,80,80,80,512000,0.027018445879961505,1.0000309409809887,7259247,runs/phase1A/day016_md_bath_extraction/day019_nto_inputs/frame000_PYR3_vacuum_reference_nto_s1_s2/frame000_PYR3_vacuum_reference_nto_s1_s2.s1.mo51a.cube
vacuum_reference,0,PYR3,frame000_PYR3_vacuum_reference_nto_s1_s2,1,False,2,51a->54a,particle,54,a,26,-26,1,54,80,80,80,512000,0.027018445879961505,1.0000272823682987,7259247,runs/phase1A/day016_md_bath_extraction/day019_nto_inputs/frame000_PYR3_vacuum_reference_nto_s1_s2/frame000_PYR3_vacuum_reference_nto_s1_s2.s1.mo54a.cube
vacuum_reference,0,PYR3,frame000_PYR3_vacuum_reference_nto_s1_s2,2,True,1,52a->53a,hole,52,a,26,-26,1,52,80,80,80,512000,0.027018445879961505,1.0000207930756768,7259247,runs/phase1A/day016_md_bath_extraction/day019_nto_inputs/frame000_PYR3_vacuum_reference_nto_s1_s2/frame000_PYR3_vacuum_reference_nto_s1_s2.s2.mo52a.cube
vacuum_reference,0,PYR3,frame000_PYR3_vacuum_reference_nto_s1_s2,2,True,1,52a->53a,particle,53,a,26,-26,1,53,80,80,80,512000,0.027018445879961505,1.0000233228611055,7259247,runs/phase1A/day016_md_bath_extraction/day019_nto_inputs/frame000_PYR3_vacuum_reference_nto_s1_s2/frame000_PYR3_vacuum_reference_nto_s1_s2.s2.mo53a.cube
vacuum_reference,0,PYR4,frame000_PYR4_vacuum_reference_nto_s1_s2,1,False,1,52a->53a,hole,52,a,26,-26,1,52,80,80,80,512000,0.026986226176315572,1.000029216612814,7259247,runs/phase1A/day016_md_bath_extraction/day019_nto_inputs/frame000_PYR4_vacuum_reference_nto_s1_s2/frame000_PYR4_vacuum_reference_nto_s1_s2.s1.mo52a.cube
vacuum_reference,0,PYR4,frame000_PYR4_vacuum_reference_nto_s1_s2,1,False,1,52a->53a,particle,53,a,26,-26,1,53,80,80,80,512000,0.026986226176315572,1.0000237114414352,7259247,runs/phase1A/day016_md_bath_extraction/day019_nto_inputs/frame000_PYR4_vacuum_reference_nto_s1_s2/frame000_PYR4_vacuum_reference_nto_s1_s2.s1.mo53a.cube
vacuum_reference,0,PYR4,frame000_PYR4_vacuum_reference_nto_s1_s2,1,False,2,51a->54a,hole,51,a,26,-26,1,51,80,80,80,512000,0.026986226176315572,1.0000247486224825,7259247,runs/phase1A/day016_md_bath_extraction/day019_nto_inputs/frame000_PYR4_vacuum_reference_nto_s1_s2/frame000_PYR4_vacuum_reference_nto_s1_s2.s1.mo51a.cube
vacuum_reference,0,PYR4,frame000_PYR4_vacuum_reference_nto_s1_s2,1,False,2,51a->54a,particle,54,a,26,-26,1,54,80,80,80,512000,0.026986226176315572,1.000034963581791,7259247,runs/phase1A/day016_md_bath_extraction/day019_nto_inputs/frame000_PYR4_vacuum_reference_nto_s1_s2/frame000_PYR4_vacuum_reference_nto_s1_s2.s1.mo54a.cube
vacuum_reference,0,PYR4,frame000_PYR4_vacuum_reference_nto_s1_s2,2,True,1,52a->53a,hole,52,a,26,-26,1,52,80,80,80,512000,0.026986226176315572,1.000019651536927,7259247,runs/phase1A/day016_md_bath_extraction/day019_nto_inputs/frame000_PYR4_vacuum_reference_nto_s1_s2/frame000_PYR4_vacuum_reference_nto_s1_s2.s2.mo52a.cube
vacuum_reference,0,PYR4,frame000_PYR4_vacuum_reference_nto_s1_s2,2,True,1,52a->53a,particle,53,a,26,-26,1,53,80,80,80,512000,0.026986226176315572,1.0000234027892452,7259247,runs/phase1A/day016_md_bath_extraction/day019_nto_inputs/frame000_PYR4_vacuum_reference_nto_s1_s2/frame000_PYR4_vacuum_reference_nto_s1_s2.s2.mo53a.cube
vacuum_reference,0,PYR5,frame000_PYR5_vacuum_reference_nto_s1_s2,1,True,1,52a->53a,hole,52,a,26,-26,1,52,80,80,80,512000,0.027335029931630773,1.0000075334966347,7259247,runs/phase1A/day016_md_bath_extraction/day019_nto_inputs/frame000_PYR5_vacuum_reference_nto_s1_s2/frame000_PYR5_vacuum_reference_nto_s1_s2.s1.mo52a.cube
vacuum_reference,0,PYR5,frame000_PYR5_vacuum_reference_nto_s1_s2,1,True,1,52a->53a,particle,53,a,26,-26,1,53,80,80,80,512000,0.027335029931630773,1.0000051949155353,7259247,runs/phase1A/day016_md_bath_extraction/day019_nto_inputs/frame000_PYR5_vacuum_reference_nto_s1_s2/frame000_PYR5_vacuum_reference_nto_s1_s2.s1.mo53a.cube
vacuum_reference,0,PYR5,frame000_PYR5_vacuum_reference_nto_s1_s2,2,False,1,52a->53a,hole,52,a,26,-26,1,52,80,80,80,512000,0.027335029931630773,1.000006580085798,7259247,runs/phase1A/day016_md_bath_extraction/day019_nto_inputs/frame000_PYR5_vacuum_reference_nto_s1_s2/frame000_PYR5_vacuum_reference_nto_s1_s2.s2.mo52a.cube
vacuum_reference,0,PYR5,frame000_PYR5_vacuum_reference_nto_s1_s2,2,False,1,52a->53a,particle,53,a,26,-26,1,53,80,80,80,512000,0.027335029931630773,0.9999785077144764,7259247,runs/phase1A/day016_md_bath_extraction/day019_nto_inputs/frame000_PYR5_vacuum_reference_nto_s1_s2/frame000_PYR5_vacuum_reference_nto_s1_s2.s2.mo53a.cube
vacuum_reference,0,PYR5,frame000_PYR5_vacuum_reference_nto_s1_s2,2,False,2,51a->54a,hole,51,a,26,-26,1,51,80,80,80,512000,0.027335029931630773,0.9999834569449918,7259247,runs/phase1A/day016_md_bath_extraction/day019_nto_inputs/frame000_PYR5_vacuum_reference_nto_s1_s2/frame000_PYR5_vacuum_reference_nto_s1_s2.s2.mo51a.cube
vacuum_reference,0,PYR5,frame000_PYR5_vacuum_reference_nto_s1_s2,2,False,2,51a->54a,particle,54,a,26,-26,1,54,80,80,80,512000,0.027335029931630773,1.0000045785696656,7259247,runs/phase1A/day016_md_bath_extraction/day019_nto_inputs/frame000_PYR5_vacuum_reference_nto_s1_s2/frame000_PYR5_vacuum_reference_nto_s1_s2.s2.mo54a.cube
