frame,cluster,root,is_tracked_root,pair_rank,pair_label,hole_absolute_overlap,particle_absolute_overlap,pair_geometric_mean_overlap,pair_minimum_overlap
3,PYR5,1,True,1,52a->53a,0.9849494666734226,0.9618235704867846,0.9733178374944567,0.9618235704867846
3,PYR5,2,False,1,52a->53a,0.9269510901662824,0.7790097978739337,0.8497670159458168,0.7790097978739337
3,PYR5,2,False,2,51a->54a,0.9245584476323316,0.7793719131931879,0.8488668247670739,0.7793719131931879
5,PYR2,1,False,1,52a->53a,0.911943502523296,0.7592530290801541,0.8321032788306856,0.7592530290801541
5,PYR2,1,False,2,51a->54a,0.9134442474575903,0.7626265000616543,0.8346357226000057,0.7626265000616543
5,PYR2,2,True,1,52a->53a,0.9784369595325974,0.965647834778429,0.9720213636746067,0.965647834778429
5,PYR5,1,True,1,52a->53a,0.9944083941357356,0.9882487231442815,0.9913237744493956,0.9882487231442815
5,PYR5,2,False,1,52a->53a,0.9605505704799229,0.8906392682508885,0.9249346232086957,0.8906392682508885
5,PYR5,2,False,2,51a->54a,0.9594668262286253,0.89053744671251,0.9243598528900936,0.89053744671251
13,PYR5,1,True,1,52a->53a,0.9996440398611397,0.9993787160781479,0.9995113691657532,0.9993787160781479
13,PYR5,2,False,1,52a->53a,0.9978644527835614,0.9953085433830853,0.9965856787019197,0.9953085433830853
13,PYR5,2,False,2,51a->54a,0.9977222395927181,0.9957829698337943,0.9967521330856841,0.9957829698337943
