cluster_atom_index,original_atom_id,original_molecule_id,atom_type,element,x_A,y_A,z_A
1,5484,0,1,B,40.1504,57.3406,-35.5932
2,5485,0,2,N,35.0,60.6218,-35.5932
3,5486,0,1,B,29.5833,63.4415,-35.5932
4,5772,0,2,N,40.1504,57.3406,-32.2034
5,5773,0,1,B,35.0,60.6218,-32.2034
6,5774,0,2,N,29.5833,63.4415,-32.2034
7,6060,0,1,B,40.1504,57.3406,-28.8136
8,6061,0,2,N,35.0,60.6218,-28.8136
9,6062,0,1,B,29.5833,63.4415,-28.8136
10,6348,0,2,N,40.1504,57.3406,-25.4237
11,6349,0,1,B,35.0,60.6218,-25.4237
12,6350,0,2,N,29.5833,63.4415,-25.4237
13,6636,0,1,B,40.1504,57.3406,-22.0339
14,6637,0,2,N,35.0,60.6218,-22.0339
15,6638,0,1,B,29.5833,63.4415,-22.0339
16,6924,0,2,N,40.1504,57.3406,-18.6441
17,6925,0,1,B,35.0,60.6218,-18.6441
18,6926,0,2,N,29.5833,63.4415,-18.6441
19,7212,0,1,B,40.1504,57.3406,-15.2542
20,7213,0,2,N,35.0,60.6218,-15.2542
21,7214,0,1,B,29.5833,63.4415,-15.2542
22,7500,0,2,N,40.1504,57.3406,-11.8644
23,7501,0,1,B,35.0,60.6218,-11.8644
24,7502,0,2,N,29.5833,63.4415,-11.8644
25,7788,0,1,B,40.1504,57.3406,-8.47458
26,7789,0,2,N,35.0,60.6218,-8.47458
27,7790,0,1,B,29.5833,63.4415,-8.47458
28,8076,0,2,N,40.1504,57.3406,-5.08475
29,8077,0,1,B,35.0,60.6218,-5.08475
30,8078,0,2,N,29.5833,63.4415,-5.08475
31,8364,0,1,B,40.1504,57.3406,-1.69491
32,8365,0,2,N,35.0,60.6218,-1.69491
33,8366,0,1,B,29.5833,63.4415,-1.69491
34,41572,9098,3,O,32.0864,62.1491,-19.6131
35,41573,9098,4,H,31.267,62.4526,-19.2221
36,41574,9098,4,H,32.7241,62.1962,-18.9008
37,60499,15407,3,O,32.9443,61.8342,-16.8073
38,60500,15407,4,H,33.7791,61.724,-16.3522
39,60501,15407,4,H,32.2949,61.893,-16.1066
40,79831,21851,3,O,31.6905,52.0885,-22.6651
41,79832,21851,4,H,31.1408,52.2325,-23.4354
42,79833,21851,4,H,31.9768,52.9648,-22.4073
43,107287,31004,5,X,33.0,57.1577,-21.0
44,107288,31004,6,X,33.0,57.1577,-19.0
