frame,PYR2,PYR3,PYR4,PYR5
0,0.05125000000000002,0.05224999999999991,0.06524999999999981,-0.16875000000000018
1,0.04974999999999996,0.06574999999999953,0.07275000000000009,-0.18825000000000047
2,0.05350000000000055,0.05750000000000011,0.06550000000000011,-0.17649999999999988
3,0.06800000000000006,0.05699999999999994,0.07200000000000051,-0.19699999999999962
4,0.061499999999999666,0.06050000000000022,0.07050000000000001,-0.1924999999999999
5,0.04800000000000004,0.03699999999999992,0.07599999999999962,-0.16100000000000003
6,0.05525000000000002,0.05925000000000047,0.06925000000000026,-0.18374999999999986
7,0.06350000000000033,0.021500000000000075,0.07249999999999979,-0.15749999999999975
8,0.0405000000000002,0.05349999999999966,0.06649999999999956,-0.16049999999999986
9,0.07000000000000028,0.054999999999999716,0.07200000000000006,-0.19700000000000006
10,0.04675000000000029,0.04475000000000007,0.06874999999999964,-0.16025
11,0.06050000000000022,0.031500000000000306,0.06850000000000023,-0.16049999999999986
12,0.03299999999999992,0.05299999999999949,0.07600000000000007,-0.16199999999999992
13,0.05900000000000061,0.04700000000000015,0.07100000000000017,-0.1769999999999996
14,0.0609999999999995,0.06800000000000006,0.03200000000000003,-0.16100000000000003
15,0.04925000000000024,0.04724999999999957,0.0662499999999997,-0.16274999999999995
16,0.057000000000000384,0.031000000000000583,0.0730000000000004,-0.1609999999999996
17,0.0495000000000001,0.06650000000000045,0.0754999999999999,-0.1915
18,0.060249999999999915,0.06625000000000014,0.07125000000000004,-0.1977500000000001
19,0.05099999999999971,0.06199999999999983,0.05299999999999949,-0.16600000000000037
20,0.061499999999999666,0.05149999999999988,0.0674999999999999,-0.18050000000000033
