label,n_frames,total_sampled_window_fs,final_C1_raw,final_C1_connected,positive_window_integral_C1_ps,positive_window_integral_connected_C1_ps,mean_collective_dipole_magnitude,initial_collective_z,final_collective_z
day007_fieldZ_early_0_to_5k,6,250.0,0.7260570730435144,0.7590701084155359,0.2094934316179782,0.2111056405069466,0.1878024810933986,0.0018728539932602,0.2932311289921722
day007_fieldZ_late_15k_to_20k,6,250.0,0.8297575212407368,0.7609175237056637,0.2207471812989596,0.2085059345203558,0.5471013476884318,0.5131477453260697,0.5785644469126567
day008_fieldZ_replica01_early_0_to_5k,6,250.0,0.726356177380406,0.7595438653897941,0.2094548762253146,0.2110688362869167,0.1879575011637354,0.0019968443766812,0.2964498153263325
day008_fieldZ_replica01_late_15k_to_20k,6,250.0,0.8270223118031932,0.7578773997380698,0.2203322482187584,0.2078732491449075,0.5481590891634817,0.513201832630966,0.5791865327152536
