file,line_number,section
parameters/phase1A/accepted/hybrid_hydrated_gap45_pyr5shift_clean032/hbn_bonded_candidate_kang2000.itp,8,atoms
parameters/phase1A/accepted/hybrid_hydrated_gap45_pyr5shift_clean032/hbn_bonded_candidate_kang2000.itp,1691,bonds
parameters/phase1A/accepted/hybrid_hydrated_gap45_pyr5shift_clean032/hbn_bonded_candidate_kang2000.itp,4154,angles
parameters/phase1A/accepted/hybrid_hydrated_gap45_pyr5shift_clean032/hbn_bonded_candidate_kang2000.itp,9018,position_restraints
parameters/phase1A/accepted/hybrid_hydrated_gap45_pyr5shift_clean032/hbn_bonded_candidate_kang2000_improper100.itp,4,moleculetype
parameters/phase1A/accepted/hybrid_hydrated_gap45_pyr5shift_clean032/hbn_bonded_candidate_kang2000_improper100.itp,8,atoms
parameters/phase1A/accepted/hybrid_hydrated_gap45_pyr5shift_clean032/hbn_bonded_candidate_kang2000_improper100.itp,1691,bonds
parameters/phase1A/accepted/hybrid_hydrated_gap45_pyr5shift_clean032/hbn_bonded_candidate_kang2000_improper100.itp,4154,angles
parameters/phase1A/accepted/hybrid_hydrated_gap45_pyr5shift_clean032/hbn_bonded_candidate_kang2000_improper100.itp,9017,dihedrals
parameters/phase1A/accepted/hybrid_hydrated_gap45_pyr5shift_clean032/hbn_bonded_candidate_kang2000_improper100.itp,10641,position_restraints
parameters/phase1A/accepted/hybrid_hydrated_gap45_pyr5shift_clean032/hbn_bonded_candidate_kang2000_improperGeo100.itp,4,moleculetype
parameters/phase1A/accepted/hybrid_hydrated_gap45_pyr5shift_clean032/hbn_bonded_candidate_kang2000_improperGeo100.itp,8,atoms
parameters/phase1A/accepted/hybrid_hydrated_gap45_pyr5shift_clean032/hbn_bonded_candidate_kang2000_improperGeo100.itp,1691,bonds
parameters/phase1A/accepted/hybrid_hydrated_gap45_pyr5shift_clean032/hbn_bonded_candidate_kang2000_improperGeo100.itp,4154,angles
parameters/phase1A/accepted/hybrid_hydrated_gap45_pyr5shift_clean032/hbn_bonded_candidate_kang2000_improperGeo100.itp,9017,dihedrals
parameters/phase1A/accepted/hybrid_hydrated_gap45_pyr5shift_clean032/hbn_bonded_candidate_kang2000_improperGeo100.itp,10641,position_restraints
