item,observed,expected
HBN_molecules,1,1
PYR_molecules,4,4
SOL_molecules,16565,16565
CAPL_molecules,1,1
CAPU_molecules,1,1
CAPL_atoms,144,144
CAPU_atoms,144,144
CAP_OW_sigma_nm,-0.17,-0.17
CAP_OW_epsilon_kJ_mol,3.117923481807,3.1179234818
TPR_atoms,68332,68332
