metric,block,relative_start_ps,relative_end_ps,frame_count,mobile_mean,matched_frozen_mean,mobile_minus_frozen_mean
PYR3_waterO_within_50pm,7,60.0,70.0,20,22.65,26.45,-3.8
PYR3_waterO_within_50pm,8,70.0,80.0,20,25.3,28.7,-3.4
PYR3_waterO_within_50pm,9,80.0,90.0,20,24.35,27.55,-3.2
PYR3_waterO_within_50pm,10,90.0,100.0,21,23.142857142857142,29.571428571428573,-6.428571428571429
PYR4_waterO_within_35pm,1,0.0,10.0,20,4.85,6.7,-1.85
PYR4_waterO_within_35pm,2,10.0,20.0,20,4.25,7.7,-3.45
PYR4_waterO_within_35pm,3,20.0,30.0,20,4.35,6.1,-1.75
PYR4_waterO_within_35pm,4,30.0,40.0,20,5.1,5.95,-0.85
PYR4_waterO_within_35pm,5,40.0,50.0,20,4.65,6.1,-1.45
PYR4_waterO_within_35pm,6,50.0,60.0,20,4.6,5.7,-1.1
PYR4_waterO_within_35pm,7,60.0,70.0,20,4.0,5.8,-1.8
PYR4_waterO_within_35pm,8,70.0,80.0,20,3.7,6.95,-3.25
PYR4_waterO_within_35pm,9,80.0,90.0,20,4.85,7.85,-3.0
PYR4_waterO_within_35pm,10,90.0,100.0,21,4.380952380952381,7.666666666666667,-3.2857142857142856
PYR4_waterO_within_50pm,1,0.0,10.0,20,23.8,31.2,-7.4
PYR4_waterO_within_50pm,2,10.0,20.0,20,25.5,35.35,-9.85
PYR4_waterO_within_50pm,3,20.0,30.0,20,22.5,30.55,-8.05
PYR4_waterO_within_50pm,4,30.0,40.0,20,22.25,28.85,-6.6
PYR4_waterO_within_50pm,5,40.0,50.0,20,22.6,31.0,-8.4
PYR4_waterO_within_50pm,6,50.0,60.0,20,19.5,33.55,-14.05
PYR4_waterO_within_50pm,7,60.0,70.0,20,23.55,32.3,-8.75
PYR4_waterO_within_50pm,8,70.0,80.0,20,22.65,34.3,-11.65
PYR4_waterO_within_50pm,9,80.0,90.0,20,24.4,35.3,-10.9
PYR4_waterO_within_50pm,10,90.0,100.0,21,23.80952380952381,35.04761904761905,-11.238095238095237
