frame,cluster,job,terminated_normally,scf_converged,tddft_finished,has_error_flag,final_single_point_energy_Eh,n_point_charges_file,n_point_charges_orca,point_charge_total,total_runtime_min,out_file,S1_au,S1_eV,S1_cm-1,S2_au,S2_eV,S2_cm-1,S3_au,S3_eV,S3_cm-1,S4_au,S4_eV,S4_cm-1,S5_au,S5_eV,S5_cm-1,S6_au,S6_eV,S6_cm-1,S7_au,S7_eV,S7_cm-1,S8_au,S8_eV,S8_cm-1,S9_au,S9_eV,S9_cm-1,S10_au,S10_eV,S10_cm-1,f1,lambda1_nm,f2,lambda2_nm,f3,lambda3_nm,f4,lambda4_nm,f5,lambda5_nm,f6,lambda6_nm,f7,lambda7_nm,f8,lambda8_nm,f9,lambda9_nm,f10,lambda10_nm,dipole_D
4,PYR4,frame004_PYR4_embedding,True,True,True,False,-615.012869929371,156,156,0.0,8.583333333333334,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame004_PYR4_embedding/frame004_PYR4_embedding.out,0.147897,4.024,32459.6,0.15021,4.087,32967.4,0.170169,4.631,37347.9,0.189682,5.162,41630.4,0.202693,5.516,44485.9,0.211065,5.743,46323.3,0.22433,6.104,49234.7,0.227217,6.183,49868.5,0.231255,6.293,50754.6,0.236963,6.448,52007.4,0.002471251,308.1,0.522246322,303.3,0.00121264,267.8,0.004719197,240.2,0.612772933,224.8,0.007029869,215.9,0.012933448,203.1,0.007046837,200.5,1.146860922,197.0,0.003329699,192.3,0.757645013
4,PYR5,frame004_PYR5_embedding,True,True,True,False,-614.993541776959,164,164,0.0,8.483333333333333,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame004_PYR5_embedding/frame004_PYR5_embedding.out,0.138209,3.761,30333.4,0.140216,3.815,30773.9,0.158694,4.318,34829.3,0.17159,4.669,37659.6,0.195271,5.314,42857.0,0.201246,5.476,44168.3,0.216145,5.882,47438.4,0.218118,5.935,47871.3,0.221082,6.016,48521.9,0.228456,6.217,50140.2,0.648594776,329.7,0.015547838,325.0,0.002119458,287.1,0.003669829,265.5,0.542690842,233.3,0.000639238,226.4,0.007021067,210.8,0.016730374,208.9,0.005239167,206.1,0.676487507,199.4,2.366721426
5,PYR2,frame005_PYR2_embedding,True,True,True,False,-615.015604754679,144,144,0.0,8.633333333333333,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame005_PYR2_embedding/frame005_PYR2_embedding.out,0.147217,4.006,32310.4,0.149499,4.068,32811.3,0.173131,4.711,37998.0,0.186516,5.075,40935.6,0.200313,5.451,43963.6,0.211467,5.754,46411.5,0.226907,6.174,49800.3,0.227164,6.181,49856.7,0.230222,6.265,50528.0,0.236811,6.444,51974.0,0.058605874,309.5,0.424630393,304.8,0.009121398,263.2,0.004668437,244.3,0.550214284,227.5,0.028965776,215.5,0.047477288,200.8,0.115049565,200.6,1.110588828,197.9,0.022411515,192.4,1.996653352
5,PYR3,frame005_PYR3_embedding,True,True,True,False,-615.010875450228,192,192,0.0,8.816666666666666,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame005_PYR3_embedding/frame005_PYR3_embedding.out,0.146805,3.995,32220.0,0.148912,4.052,32682.3,0.170626,4.643,37448.1,0.188763,5.137,41428.8,0.201059,5.471,44127.4,0.211057,5.743,46321.6,0.224676,6.114,49310.6,0.226851,6.173,49788.0,0.230667,6.277,50625.6,0.236167,6.426,51832.6,0.0088556,310.4,0.501037835,306.0,0.008696042,267.0,0.003644337,241.4,0.585320878,226.6,0.023717447,215.9,0.023655899,202.8,0.004465322,200.9,1.211586954,197.5,0.011107141,192.9,2.339854038
5,PYR4,frame005_PYR4_embedding,True,True,True,False,-615.016333553527,180,180,0.0,8.6,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame005_PYR4_embedding/frame005_PYR4_embedding.out,0.148253,4.034,32537.7,0.150254,4.089,32976.8,0.173532,4.722,38085.9,0.187662,5.107,41187.1,0.202205,5.502,44378.9,0.211656,5.759,46453.0,0.226155,6.154,49635.4,0.227825,6.199,50001.8,0.23131,6.294,50766.6,0.2362,6.427,51839.9,0.00846338,307.3,0.501976497,303.2,0.003907038,262.6,0.001903695,242.8,0.588891677,225.3,0.013037483,215.3,0.025434688,201.5,0.052307447,200.0,1.146275327,197.0,0.006769232,192.9,1.665576116
5,PYR5,frame005_PYR5_embedding,True,True,True,False,-614.996579225859,188,188,0.0,8.416666666666666,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame005_PYR5_embedding/frame005_PYR5_embedding.out,0.139535,3.797,30624.4,0.142257,3.871,31221.7,0.159904,4.351,35094.9,0.170513,4.64,37423.2,0.196252,5.34,43072.4,0.201852,5.493,44301.5,0.217112,5.908,47650.6,0.218733,5.952,48006.3,0.221794,6.035,48678.3,0.229054,6.233,50271.5,0.647307662,326.5,0.020591079,320.3,0.000467882,284.9,0.001176296,267.2,0.552115429,232.2,0.004940383,225.7,0.000737844,209.9,0.007550074,208.3,0.002192528,205.4,0.569266515,198.9,1.21690494
6,PYR2,frame006_PYR2_embedding,True,True,True,False,-615.020119354249,140,140,0.0,9.0,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame006_PYR2_embedding/frame006_PYR2_embedding.out,0.147542,4.015,32381.7,0.149961,4.081,32912.6,0.171475,4.666,37634.4,0.188432,5.128,41356.1,0.201593,5.486,44244.5,0.211278,5.749,46370.3,0.225263,6.13,49439.5,0.226993,6.177,49819.3,0.231161,6.29,50734.1,0.238274,6.484,52295.1,0.018233407,308.8,0.486883676,303.8,0.004150874,265.7,0.004587372,241.8,0.568534428,226.0,0.013016477,215.7,0.036741109,202.3,0.206024526,200.7,0.9825437,197.1,0.014341884,191.2,1.975305931
6,PYR3,frame006_PYR3_embedding,True,True,True,False,-615.018680244005,156,156,0.0,8.566666666666666,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame006_PYR3_embedding/frame006_PYR3_embedding.out,0.147684,4.019,32412.9,0.150525,4.096,33036.4,0.174276,4.742,38249.2,0.185916,5.059,40803.8,0.202289,5.505,44397.2,0.210921,5.739,46291.9,0.225882,6.147,49575.4,0.227734,6.197,49981.9,0.230305,6.267,50546.1,0.236801,6.444,51971.8,0.011422138,308.5,0.492967153,302.7,0.000247279,261.4,0.000232072,245.1,0.627088759,225.2,0.006687865,216.0,0.013496731,201.7,0.026022621,200.1,1.158263091,197.8,0.002010039,192.4,1.548970205
6,PYR4,frame006_PYR4_embedding,True,True,True,False,-615.013849831176,172,172,0.0,8.85,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame006_PYR4_embedding/frame006_PYR4_embedding.out,0.148059,4.029,32495.1,0.150385,4.092,33005.7,0.172797,4.702,37924.5,0.188172,5.12,41299.0,0.202819,5.519,44513.6,0.211516,5.756,46422.3,0.225705,6.142,49536.6,0.227957,6.203,50030.7,0.231146,6.29,50730.8,0.236622,6.439,51932.5,0.010112754,307.7,0.510757213,303.0,0.002563686,263.7,0.000922743,242.1,0.602046445,224.7,0.009011682,215.4,0.013560729,201.9,0.005914557,199.9,1.17429696,197.1,0.004478631,192.6,1.594295405
6,PYR5,frame006_PYR5_embedding,True,True,True,False,-614.999164998207,164,164,0.0,8.55,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame006_PYR5_embedding/frame006_PYR5_embedding.out,0.138768,3.776,30456.0,0.141292,3.845,31010.0,0.156795,4.267,34412.5,0.173459,4.72,38069.8,0.195464,5.319,42899.4,0.202136,5.5,44363.6,0.217204,5.91,47670.9,0.218576,5.948,47971.8,0.220766,6.007,48452.6,0.228972,6.231,50253.4,0.659519925,328.3,0.003925759,322.5,0.000707928,290.6,0.002389493,262.7,0.564385967,233.1,0.002123653,225.4,0.000373266,209.8,0.001293789,208.5,0.001022973,206.4,0.691453104,199.0,2.990338786
7,PYR2,frame007_PYR2_embedding,True,True,True,False,-615.02251879938,192,192,0.0,9.25,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame007_PYR2_embedding/frame007_PYR2_embedding.out,0.147388,4.011,32347.8,0.15078,4.103,33092.5,0.170452,4.638,37409.8,0.19,5.17,41700.2,0.202361,5.507,44413.2,0.210875,5.738,46281.7,0.224897,6.12,49359.3,0.226955,6.176,49810.8,0.230653,6.276,50622.5,0.238672,6.495,52382.5,0.009094124,309.1,0.490046455,302.2,0.000370367,267.3,0.003862866,239.8,0.610070239,225.2,0.005055971,216.1,0.023476007,202.6,0.228407783,200.8,0.964630156,197.5,0.004234442,190.9,1.795060913
7,PYR3,frame007_PYR3_embedding,True,True,True,False,-615.014099817425,192,192,0.0,9.133333333333333,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame007_PYR3_embedding/frame007_PYR3_embedding.out,0.145848,3.969,32009.9,0.149567,4.07,32826.2,0.167532,4.559,36769.1,0.195279,5.314,42858.8,0.201667,5.488,44260.8,0.210608,5.731,46223.2,0.224196,6.101,49205.2,0.226432,6.162,49696.2,0.229615,6.248,50394.6,0.236931,6.447,52000.2,0.012775698,312.4,0.490450249,304.6,0.001910783,272.0,0.000128367,233.3,0.624500369,225.9,0.003740287,216.3,0.012828671,203.2,0.010933901,201.2,1.27084856,198.4,0.002958505,192.3,0.759345561
7,PYR4,frame007_PYR4_embedding,True,True,True,False,-615.012709440971,164,164,0.0,9.216666666666667,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame007_PYR4_embedding/frame007_PYR4_embedding.out,0.147718,4.02,32420.5,0.150431,4.093,33015.7,0.169353,4.608,37168.8,0.190732,5.19,41860.9,0.203425,5.535,44646.7,0.211076,5.744,46325.9,0.224305,6.104,49229.3,0.227319,6.186,49890.7,0.231071,6.288,50714.3,0.236956,6.448,52005.8,0.007441762,308.4,0.512697666,302.9,0.00057444,269.0,0.021433599,238.9,0.600982632,224.0,0.005607627,215.9,0.002686524,203.1,0.02494309,200.4,1.164283417,197.2,0.000460873,192.3,1.519904829
7,PYR5,frame007_PYR5_embedding,True,True,True,False,-614.997111414291,196,196,0.0,8.733333333333333,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame007_PYR5_embedding/frame007_PYR5_embedding.out,0.139284,3.79,30569.2,0.141821,3.859,31126.2,0.160999,4.381,35335.1,0.168781,4.593,37043.1,0.196092,5.336,43037.3,0.201458,5.482,44215.0,0.216657,5.896,47550.6,0.218927,5.957,48048.9,0.221311,6.022,48572.1,0.228923,6.229,50242.8,0.659436962,327.1,0.011305277,321.3,0.000318375,283.0,0.000576807,270.0,0.552829746,232.4,0.000485423,226.2,0.000580082,210.3,0.00931456,208.1,0.000444625,205.9,0.580242502,199.0,0.703119395
8,PYR2,frame008_PYR2_embedding,True,True,True,False,-615.011362315485,160,160,0.0,9.183333333333334,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame008_PYR2_embedding/frame008_PYR2_embedding.out,0.146772,3.994,32212.7,0.149902,4.079,32899.6,0.170793,4.648,37484.8,0.1903,5.178,41766.0,0.202031,5.498,44340.7,0.210912,5.739,46289.9,0.225054,6.124,49393.6,0.226914,6.175,49801.9,0.230103,6.261,50501.8,0.236826,6.444,51977.3,0.005736425,310.4,0.501966286,304.0,0.001420875,266.8,0.002008866,239.4,0.612744024,225.5,0.007651992,216.0,0.012379044,202.5,0.062457074,200.8,1.177493481,198.0,0.005349695,192.4,0.970874047
8,PYR3,frame008_PYR3_embedding,True,True,True,False,-615.016174699285,148,148,0.0,9.3,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame008_PYR3_embedding/frame008_PYR3_embedding.out,0.147272,4.007,32322.4,0.149674,4.073,32849.6,0.171083,4.655,37548.3,0.187989,5.115,41258.8,0.202333,5.506,44407.0,0.210539,5.729,46208.1,0.22441,6.107,49252.3,0.227155,6.181,49854.7,0.23055,6.274,50599.9,0.236186,6.427,51836.9,0.017981471,309.4,0.491495921,304.4,0.004357218,266.3,0.010518698,242.4,0.612924738,225.2,0.009929265,216.4,0.010793753,203.0,0.02067024,200.6,1.152042419,197.6,0.007900168,192.9,1.589176249
8,PYR4,frame008_PYR4_embedding,True,True,True,False,-615.014814095717,160,160,0.0,8.983333333333333,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame008_PYR4_embedding/frame008_PYR4_embedding.out,0.147745,4.02,32426.4,0.150367,4.092,33001.8,0.173473,4.72,38072.8,0.186691,5.08,40973.9,0.202811,5.519,44511.8,0.211237,5.748,46361.1,0.225364,6.132,49461.8,0.227357,6.187,49899.0,0.230816,6.281,50658.2,0.236494,6.435,51904.4,0.016727833,308.4,0.503082331,303.0,0.001429312,262.7,0.003217834,244.1,0.612711195,224.7,0.003920836,215.7,0.010955122,202.2,0.001340009,200.4,1.178796074,197.4,0.000749238,192.7,0.3287417
8,PYR5,frame008_PYR5_embedding,True,True,True,False,-615.002328017747,156,156,0.0,8.766666666666667,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame008_PYR5_embedding/frame008_PYR5_embedding.out,0.139381,3.793,30590.7,0.142272,3.871,31225.1,0.160145,4.358,35147.8,0.169253,4.606,37146.7,0.196428,5.345,43111.0,0.201575,5.485,44240.6,0.217248,5.912,47680.4,0.217651,5.923,47768.8,0.222351,6.05,48800.4,0.229286,6.239,50322.5,0.655883767,326.9,0.024370445,320.3,0.000682931,284.5,0.001513328,269.2,0.531869047,232.0,0.000156704,226.0,0.006628446,209.7,0.007297854,209.3,0.001501193,204.9,0.507797095,198.7,1.132189239
