end,cycle_id,cycle_length,node_ids,layer_sequence,element_sequence
LOWER,LOWER_C00051,6,LOWER:L1:12 | LOWER:L2:12 | LOWER:L3:13 | LOWER:L2:13 | LOWER:L1:13 | LOWER:P:12,1 | 2 | 3 | 2 | 1 | 0,NBNBNB
LOWER,LOWER_C00052,6,LOWER:L1:14 | LOWER:L2:14 | LOWER:L3:14 | LOWER:L2:15 | LOWER:L1:15 | LOWER:P:14,1 | 2 | 3 | 2 | 1 | 0,NBNBNB
LOWER,LOWER_C00053,6,LOWER:L1:14 | LOWER:L2:14 | LOWER:L3:14 | LOWER:L2:15 | LOWER:L1:15 | LOWER:P:16,1 | 2 | 3 | 2 | 1 | 0,NBNBNB
LOWER,LOWER_C00054,6,LOWER:L1:14 | LOWER:L2:14 | LOWER:L3:15 | LOWER:L2:15 | LOWER:L1:15 | LOWER:P:14,1 | 2 | 3 | 2 | 1 | 0,NBNBNB
LOWER,LOWER_C00055,6,LOWER:L1:14 | LOWER:L2:14 | LOWER:L3:15 | LOWER:L2:15 | LOWER:L1:15 | LOWER:P:16,1 | 2 | 3 | 2 | 1 | 0,NBNBNB
LOWER,LOWER_C00056,6,LOWER:L1:16 | LOWER:L2:16 | LOWER:L3:16 | LOWER:L2:17 | LOWER:L1:17 | LOWER:P:18,1 | 2 | 3 | 2 | 1 | 0,NBNBNB
LOWER,LOWER_C00057,6,LOWER:L1:16 | LOWER:L2:16 | LOWER:L3:16 | LOWER:L2:17 | LOWER:L1:17 | LOWER:P:20,1 | 2 | 3 | 2 | 1 | 0,NBNBNB
LOWER,LOWER_C00058,6,LOWER:L1:16 | LOWER:L2:16 | LOWER:L3:17 | LOWER:L2:17 | LOWER:L1:17 | LOWER:P:18,1 | 2 | 3 | 2 | 1 | 0,NBNBNB
LOWER,LOWER_C00059,6,LOWER:L1:16 | LOWER:L2:16 | LOWER:L3:17 | LOWER:L2:17 | LOWER:L1:17 | LOWER:P:20,1 | 2 | 3 | 2 | 1 | 0,NBNBNB
LOWER,LOWER_C00060,6,LOWER:L1:18 | LOWER:L2:18 | LOWER:L3:18 | LOWER:L2:19 | LOWER:L1:19 | LOWER:P:22,1 | 2 | 3 | 2 | 1 | 0,NBNBNB
LOWER,LOWER_C00061,6,LOWER:L1:18 | LOWER:L2:18 | LOWER:L3:18 | LOWER:L2:19 | LOWER:L1:19 | LOWER:P:24,1 | 2 | 3 | 2 | 1 | 0,NBNBNB
LOWER,LOWER_C00062,6,LOWER:L1:18 | LOWER:L2:18 | LOWER:L3:19 | LOWER:L2:19 | LOWER:L1:19 | LOWER:P:22,1 | 2 | 3 | 2 | 1 | 0,NBNBNB
LOWER,LOWER_C00063,6,LOWER:L1:18 | LOWER:L2:18 | LOWER:L3:19 | LOWER:L2:19 | LOWER:L1:19 | LOWER:P:24,1 | 2 | 3 | 2 | 1 | 0,NBNBNB
