end,cycle_id,cycle_length,node_ids,layer_sequence,element_sequence
LOWER,LOWER_C00134,8,LOWER:L2:0 | LOWER:L3:0 | LOWER:L4:0 | LOWER:L5:19 | LOWER:L4:21 | LOWER:L5:0 | LOWER:L4:1 | LOWER:L3:1,2 | 3 | 4 | 5 | 4 | 5 | 4 | 3,BNBNBNBN
LOWER,LOWER_C00135,8,LOWER:L2:1 | LOWER:L3:0 | LOWER:L4:0 | LOWER:L5:1 | LOWER:L6:0 | LOWER:L5:0 | LOWER:L4:1 | LOWER:L3:1,2 | 3 | 4 | 5 | 6 | 5 | 4 | 3,BNBNBNBN
LOWER,LOWER_C00136,8,LOWER:L2:1 | LOWER:L3:0 | LOWER:L4:0 | LOWER:L5:19 | LOWER:L4:21 | LOWER:L5:0 | LOWER:L4:1 | LOWER:L3:1,2 | 3 | 4 | 5 | 4 | 5 | 4 | 3,BNBNBNBN
LOWER,LOWER_C00137,8,LOWER:L2:10 | LOWER:L3:10 | LOWER:L4:7 | LOWER:L5:7 | LOWER:L6:4 | LOWER:L5:8 | LOWER:L4:8 | LOWER:L3:11,2 | 3 | 4 | 5 | 6 | 5 | 4 | 3,BNBNBNBN
LOWER,LOWER_C00138,8,LOWER:L2:11 | LOWER:L3:10 | LOWER:L4:7 | LOWER:L5:7 | LOWER:L6:4 | LOWER:L5:8 | LOWER:L4:8 | LOWER:L3:11,2 | 3 | 4 | 5 | 6 | 5 | 4 | 3,BNBNBNBN
LOWER,LOWER_C00139,8,LOWER:L2:18 | LOWER:L3:18 | LOWER:L4:13 | LOWER:L5:12 | LOWER:L6:7 | LOWER:L5:13 | LOWER:L4:14 | LOWER:L3:19,2 | 3 | 4 | 5 | 6 | 5 | 4 | 3,BNBNBNBN
LOWER,LOWER_C00140,8,LOWER:L2:18 | LOWER:L3:18 | LOWER:L4:13 | LOWER:L5:12 | LOWER:L6:8 | LOWER:L5:14 | LOWER:L4:14 | LOWER:L3:19,2 | 3 | 4 | 5 | 6 | 5 | 4 | 3,BNBNBNBN
LOWER,LOWER_C00141,8,LOWER:L2:19 | LOWER:L3:18 | LOWER:L4:13 | LOWER:L5:12 | LOWER:L6:7 | LOWER:L5:13 | LOWER:L4:14 | LOWER:L3:19,2 | 3 | 4 | 5 | 6 | 5 | 4 | 3,BNBNBNBN
LOWER,LOWER_C00142,8,LOWER:L2:19 | LOWER:L3:18 | LOWER:L4:13 | LOWER:L5:12 | LOWER:L6:8 | LOWER:L5:14 | LOWER:L4:14 | LOWER:L3:19,2 | 3 | 4 | 5 | 6 | 5 | 4 | 3,BNBNBNBN
LOWER,LOWER_C00143,8,LOWER:L2:2 | LOWER:L3:2 | LOWER:L4:1 | LOWER:L5:0 | LOWER:L6:0 | LOWER:L5:1 | LOWER:L4:2 | LOWER:L3:3,2 | 3 | 4 | 5 | 6 | 5 | 4 | 3,BNBNBNBN
LOWER,LOWER_C00144,8,LOWER:L2:24 | LOWER:L3:24 | LOWER:L4:17 | LOWER:L5:15 | LOWER:L6:9 | LOWER:L5:16 | LOWER:L4:18 | LOWER:L3:25,2 | 3 | 4 | 5 | 6 | 5 | 4 | 3,BNBNBNBN
LOWER,LOWER_C00145,8,LOWER:L2:25 | LOWER:L3:24 | LOWER:L4:17 | LOWER:L5:15 | LOWER:L6:9 | LOWER:L5:16 | LOWER:L4:18 | LOWER:L3:25,2 | 3 | 4 | 5 | 6 | 5 | 4 | 3,BNBNBNBN
LOWER,LOWER_C00146,8,LOWER:L2:3 | LOWER:L3:2 | LOWER:L4:1 | LOWER:L5:0 | LOWER:L6:0 | LOWER:L5:1 | LOWER:L4:2 | LOWER:L3:3,2 | 3 | 4 | 5 | 6 | 5 | 4 | 3,BNBNBNBN
LOWER,LOWER_C00147,8,LOWER:L2:6 | LOWER:L3:6 | LOWER:L4:4 | LOWER:L5:3 | LOWER:L4:3 | LOWER:L5:4 | LOWER:L4:5 | LOWER:L3:7,2 | 3 | 4 | 5 | 4 | 5 | 4 | 3,BNBNBNBN
