frame,time_ps,PYR2_alternate_energy_eV,PYR2_alternate_deltaE_meV,PYR2_alternate_fosc,PYR2_bright_energy_eV,PYR2_bright_deltaE_meV,PYR2_bright_fosc,PYR3_alternate_energy_eV,PYR3_alternate_deltaE_meV,PYR3_alternate_fosc,PYR3_bright_energy_eV,PYR3_bright_deltaE_meV,PYR3_bright_fosc,PYR4_alternate_energy_eV,PYR4_alternate_deltaE_meV,PYR4_alternate_fosc,PYR4_bright_energy_eV,PYR4_bright_deltaE_meV,PYR4_bright_fosc,PYR5_alternate_energy_eV,PYR5_alternate_deltaE_meV,PYR5_alternate_fosc,PYR5_bright_energy_eV,PYR5_bright_deltaE_meV,PYR5_bright_fosc
0,0.0,3.999,-7.142857142857562,0.001619329,4.068,-20.57142857142935,0.493214356,4.0,-3.190476190475522,0.007854502,4.079,0.9523809523814819,0.504489664,4.013,-6.238095238096264,0.01561255,4.09,-0.6190476190477412,0.503190422,3.845,-2.809523809522929,0.021233224,3.779,2.047619047618632,0.652757565
1,5.0,3.994,-12.142857142857455,0.031320949,4.083,-5.571428571428783,0.479081305,4.01,6.809523809524265,0.034273552,4.065,-13.047619047617864,0.471984456,4.017,-2.2380952380958163,0.001991247,4.089,-1.619047619047187,0.518123726,3.839,-8.809523809523157,0.013751886,3.756,-20.9523809523815,0.66052015
2,10.0,4.009,2.8571428571426694,0.008972148,4.094,5.428571428571338,0.50924132,4.013,9.809523809524379,0.011531162,4.086,7.952380952382043,0.493704464,4.021,1.7619047619037431,0.009617,4.093,2.3809523809523725,0.511090468,3.847,-0.8095238095231494,0.011913246,3.779,2.047619047618632,0.637471618
3,15.0,4.015,8.857142857142009,0.008822701,4.104,15.428571428571125,0.497305626,4.004,0.8095238095240376,0.002358639,4.071,-7.047619047618525,0.502294183,4.019,-0.2380952380960366,0.008492849,4.097,6.38095238095282,0.509273163,3.852,4.190476190476744,0.04265182,3.75,-26.952380952381283,0.61541292
4,20.0,4.015,8.857142857142009,0.011136967,4.101,12.428571428571011,0.498540213,4.014,10.809523809524713,0.007055467,4.095,16.952380952381496,0.518861417,4.024,4.761904761903857,0.002471251,4.087,-3.619047619047855,0.522246322,3.815,-32.80952380952318,0.015547838,3.761,-15.952380952381162,0.648594776
5,25.0,4.006,-0.14285714285744433,0.058605874,4.068,-20.57142857142935,0.424630393,3.995,-8.190476190475415,0.0088556,4.052,-26.047619047618653,0.501037835,4.034,14.761904761903644,0.00846338,4.089,-1.619047619047187,0.501976497,3.871,23.190476190476872,0.020591079,3.797,20.04761904761887,0.647307662
6,30.0,4.015,8.857142857142009,0.018233407,4.081,-7.571428571428562,0.486883676,4.019,15.809523809524606,0.011422138,4.096,17.95238095238183,0.492967153,4.029,9.76190476190375,0.010112754,4.092,1.3809523809520385,0.510757213,3.845,-2.809523809522929,0.003925759,3.776,-0.9523809523814819,0.659519925
7,35.0,4.011,4.857142857142449,0.009094124,4.103,14.428571428570791,0.490046455,3.969,-34.190476190475664,0.012775698,4.07,-8.047619047617971,0.490450249,4.02,0.7619047619034092,0.007441762,4.093,2.3809523809523725,0.512697666,3.859,11.190476190476861,0.011305277,3.79,13.047619047618753,0.659436962
8,40.0,3.994,-12.142857142857455,0.005736425,4.079,-9.57142857142923,0.501966286,4.007,3.8095238095241513,0.017981471,4.073,-5.047619047617857,0.491495921,4.02,0.7619047619034092,0.016727833,4.092,1.3809523809520385,0.503082331,3.871,23.190476190476872,0.024370445,3.793,16.047619047618866,0.655883767
9,45.0,4.017,10.857142857142676,0.008133955,4.094,5.428571428571338,0.503201742,4.002,-1.1904761904757422,0.004027262,4.075,-3.0476190476180776,0.514855013,4.019,-0.2380952380960366,0.025502917,4.08,-10.619047619047528,0.510873621,3.84,-7.809523809523267,0.01299225,3.75,-26.952380952381283,0.62317919
10,50.0,3.998,-8.142857142857451,0.008701298,4.079,-9.57142857142923,0.503064953,3.996,-7.190476190475525,0.004807113,4.065,-13.047619047617864,0.507950168,4.02,0.7619047619034092,0.013226282,4.099,8.3809523809526,0.501788253,3.859,11.190476190476861,0.010302342,3.791,14.047619047618642,0.663968719
11,55.0,4.008,1.8571428571423354,0.014138215,4.098,9.428571428570898,0.495368741,3.979,-24.19047619047543,0.007325384,4.071,-7.047619047618525,0.504426624,4.016,-3.2380952380961503,0.004866256,4.09,-0.6190476190477412,0.518575837,3.854,6.190476190476968,0.009241939,3.787,10.047619047618639,0.659752246
