lower_H,upper_H,hydrogen_role,lower_attached_heavy,upper_attached_heavy,pair_status,symmetry_deviation_nm,lower_x_nm,lower_y_nm,lower_z_nm,upper_x_nm,upper_y_nm,upper_z_nm,transformed_lower_x_nm,transformed_lower_y_nm,transformed_lower_z_nm,candidate_count
H4:LOWER:0018:0,H4:UPPER:0045:0,ANNULUS_OUTER_PASSIVANT_H,A:LOWER:14:0,A:UPPER:14:0,UNIQUE,0.2752611175388379,3.6952537943226895,2.7275801568876576,1.840466119180259,4.164645894746517,2.8490515201466793,8.16011005810506,3.9883873905278513,2.772432845850648,8.357166398445703,
H4:LOWER:0019:0,H4:UPPER:0046:0,ANNULUS_OUTER_PASSIVANT_H,A:LOWER:14:2,A:UPPER:14:2,UNIQUE,0.2810420976811655,3.4945902162958293,2.6487126872659776,1.6681226288755497,3.9995182783346204,2.7319620072641095,8.379650224310046,3.8223510094421345,2.6367446430019656,8.183359437350552,
H4:LOWER:0020:0,H4:UPPER:0047:0,ANNULUS_OUTER_PASSIVANT_H,A:LOWER:14:4,A:UPPER:14:4,UNIQUE,0.28066451554329963,3.2251258914093635,2.6966485949465926,1.6546932659946634,3.745645175654867,2.6251338856821906,8.369101747855753,3.551194649639682,2.6002034430744834,8.168253456230067,
H4:LOWER:0021:0,H4:UPPER:0048:0,ANNULUS_INNER_PASSIVANT_H,A:LOWER:2:-4,A:UPPER:2:-4,UNIQUE,0.09117289381812192,4.192830921077592,3.577301524957171,1.8477403574074056,4.20473932460549,3.8228816487267308,8.386902301872373,4.202820009973882,3.7334391182131084,8.369328271775803,
H4:LOWER:0022:0,H4:UPPER:0049:0,ANNULUS_INNER_PASSIVANT_H,A:LOWER:2:4,A:UPPER:2:4,UNIQUE,0.1355597139203629,3.205523708896939,3.585486551031143,1.8449425734738876,3.3103667500997993,3.3163443757644413,8.384265182758801,3.2601593683592203,3.4399165629893522,8.36006664145198,
H4:LOWER:0023:0,H4:UPPER:0050:0,ANNULUS_INNER_PASSIVANT_H,A:LOWER:5:-3,A:UPPER:5:-3,UNIQUE,0.1356856324756856,4.073275160977078,3.316578315293696,1.6507763684877381,4.232331860694507,3.5682775602202863,8.152198700764341,4.169665218680068,3.4494216205156123,8.171086486126311,
H4:LOWER:0024:0,H4:UPPER:0051:0,ANNULUS_INNER_PASSIVANT_H,A:LOWER:5:3,A:UPPER:5:3,UNIQUE,0.10434050484549977,3.2995960124449595,3.3199925073669694,1.652455038847849,3.5275123034496216,3.1775691783033064,8.152857980542734,3.431865924314479,3.2165384040951865,8.167694103720025,
H4:LOWER:0025:0,H4:UPPER:0052:0,ANNULUS_INNER_PASSIVANT_H,A:LOWER:7:-1,A:UPPER:7:-1,UNIQUE,0.11916317007284223,3.8463547105858,3.1749992100406135,1.8658012992356605,4.070921765919361,3.3352338734640705,8.367223631512262,3.9955709404561968,3.2445205358731615,8.384346849286578,
H4:LOWER:0026:0,H4:UPPER:0053:0,ANNULUS_INNER_PASSIVANT_H,A:LOWER:7:1,A:UPPER:7:1,UNIQUE,0.09927081940589966,3.5993785365810353,3.1864238552784925,1.634394097019594,3.8528531615973107,3.2057866780515027,8.16802141544578,3.7582084864738,3.180906735274191,8.151345999298602,
H4:LOWER:0054:0,H4:UPPER:0114:0,BRIDGE_PASSIVANT_H,BR4:LOWER:00:1,BR4:UPPER:00:1,UNIQUE,0.3500424282938998,3.9546325500547432,2.3944488791133964,1.8008827613958114,4.095474316415632,2.3585429403911267,8.136741176003936,4.337287221328767,2.53451260526484,8.318650212798687,
