temperature_K,frame,site_i,site_j,lower_energy_character,higher_energy_character,gap_eV,gap_meV,site_projector_overlap_weight,bose_population,downward_rate_at_kappa1_ps_inv,upward_rate_at_kappa1_ps_inv
150.0,0,PYR2_bright,PYR5_bright,PYR5_bright,PYR2_bright,0.28886930859248866,288.86930859248866,3.113066428330607e-07,1.9697830727454645e-10,3.1130664289438134e-07,6.132065554857812e-17
150.0,0,PYR3_bright,PYR5_bright,PYR5_bright,PYR3_bright,0.30001544042068384,300.01544042068383,3.1392610343978493e-06,8.316198635385463e-11,3.1392610346589163e-06,2.610671833037815e-16
150.0,0,PYR4_bright,PYR5_bright,PYR5_bright,PYR4_bright,0.31114378990038283,311.14378990038284,4.258324935681521e-05,3.515837287156734e-11,4.258324935831236e-05,1.497157758969839e-15
150.0,0,PYR2_bright,PYR3_bright,PYR2_bright,PYR3_bright,0.011146131828195183,11.146131828195182,0.02391405606113543,0.7306683760071931,0.041387300567070226,0.0174732445059348
150.0,0,PYR2_bright,PYR4_bright,PYR2_bright,PYR4_bright,0.022274481307894167,22.274481307894167,0.0004621195552705968,0.21726849048732153,0.0005625235734689117,0.00010040401819831491
150.0,0,PYR3_bright,PYR4_bright,PYR3_bright,PYR4_bright,0.011128349479698985,11.128349479698985,0.022011423483139635,0.7324109650092101,0.03813283139765232,0.01612140791451269
200.0,0,PYR2_bright,PYR5_bright,PYR5_bright,PYR2_bright,0.28886930859248866,288.86930859248866,3.113066428330607e-07,5.257918178888088e-08,3.113066592013093e-07,1.636824856560571e-14
200.0,0,PYR3_bright,PYR5_bright,PYR5_bright,PYR3_bright,0.30001544042068384,300.01544042068383,3.1392610343978493e-06,2.7538713792264032e-08,3.1392611208490605e-06,8.64512111454891e-14
200.0,0,PYR4_bright,PYR5_bright,PYR5_bright,PYR4_bright,0.31114378990038283,311.14378990038284,4.258324935681521e-05,1.4438483538647668e-08,4.2583249971652754e-05,6.148375448605052e-13
200.0,0,PYR2_bright,PYR3_bright,PYR2_bright,PYR3_bright,0.011146131828195183,11.146131828195182,0.02391405606113543,1.0997683926653372,0.050213979057599105,0.026299922996463675
