gamma_ps,solver_success,max_trace_error,max_hermiticity_error,max_population_error,min_density_eigenvalue,final_PYR2,final_PYR3,final_PYR4,final_PYR5,final_coherence_l1,final_purity,t_PYR2_1pct_fs,t_PYR2_5pct_fs,t_PYR2_10pct_fs,max_PYR2,time_max_PYR2_fs
0,True,3.6637359812630166e-15,0.0,3.552713678800501e-15,-2.467336340340325e-08,0.0025086056059990137,0.3328983087714827,0.6478561909166886,0.0167368947058307,1.437736989671167,0.9999998013215763,70.0,,,0.02233344049407158,4430.0
1,True,2.220446049250313e-15,0.0,2.220446049250313e-15,0.0,0.06980858537700886,0.30723117920919535,0.31301365057319935,0.30994658484059734,0.09828297808888631,0.29465805350425156,70.0,6550.0,,0.06980858537700886,10000.0
5,True,1.5543122344752192e-15,0.0,1.5543122344752192e-15,0.0,0.19404355932651537,0.2679648965843651,0.2692207773164967,0.2687707667726235,0.02980745075102953,0.25430253477832576,80.0,1370.0,3320.0,0.19404355932651537,10000.0
10,True,8.881784197001252e-16,0.0,8.881784197001252e-16,0.0,0.234131013707095,0.25508686058584745,0.2554510059545295,0.2553311197525282,0.008111646360211777,0.2503453037790955,80.0,760.0,1810.0,0.234131013707095,10000.0
50,True,1.3322676295501878e-15,0.0,1.3322676295501878e-15,0.0,0.24709693775085353,0.25093096847880947,0.25098802952314736,0.2509840642471885,0.000724224948662977,0.2500113405689737,140.0,550.0,1190.0,0.24709693775085353,10000.0
