temperature_K,kappa_ref_ps_inv,final_PYR5_population,equilibrium_PYR5_population,fraction_of_equilibrium_reached,apparent_capture_rate_ps_inv,apparent_capture_timescale_ps,apparent_capture_timescale_ns
150.0,0.1,0.00016039163511434576,0.9999772855181392,0.00016039527840998774,1.604081431082527e-06,623409.7475495008,623.4097475495008
150.0,1.0,0.001345287128093911,0.9999772855181392,0.0013453176862880931,1.3462234385674592e-05,74281.87411921145,74.28187411921145
150.0,10.0,0.011483799601886719,0.9999772855181392,0.011484060456369643,0.0001155051152056071,8657.62523347932,8.65762523347932
200.0,0.1,0.00016071434759624536,0.999977186065219,0.0001607180142065396,1.607309307305937e-06,622157.7859684844,622.1577859684844
200.0,1.0,0.0013669080596701597,0.999977186065219,0.0013669392449329432,1.3678743586421481e-05,73106.12949808293,73.10612949808292
200.0,10.0,0.012177225786910481,0.999977186065219,0.012177503603683491,0.0001225225689287198,8161.7616145623915,8.161761614562392
250.0,0.1,0.00016096434607920315,0.9999744843087716,0.00016096845330055507,1.609814101125258e-06,621189.7381821921,621.1897381821921
250.0,1.0,0.0013841548767592185,0.9999744843087716,0.001384190195328844,1.3851490715241206e-05,72194.39557503152,72.19439557503152
250.0,10.0,0.012655443416528153,0.9999744843087716,0.01265576633715427,0.0001273653271175779,7851.430390288601,7.851430390288601
300.0,0.1,0.00016116529575921812,0.9999506429580107,0.0001611732507941251,1.61186240598266e-06,620400.34948911,620.4003494891101
300.0,1.0,0.0013982142752882712,0.9999506429580107,0.001398283290415349,1.3992618007582945e-05,71466.25452492702,71.46625452492702
300.0,10.0,0.012999785137305847,0.9999506429580107,0.01300042679991729,0.00013085671970144413,7641.946109313666,7.6419461093136665
