md_label,model_label,md_resid,center_x_nm,center_y_nm,center_z_nm
MD_PYR1,PYR2,2,5.346500000000001,3.6972692307692316,2.9999230769230776
MD_PYR2,PYR3,3,3.6971538461538467,5.346423076923077,4.3391153846153845
MD_PYR3,PYR4,4,2.0480384615384613,3.6971538461538467,5.678307692307693
MD_PYR4,PYR5,5,3.696923076923077,1.9290769230769227,7.017499999999999
