exciton_state,energy_eV,energy_shift_meV_from_mean_site,participation_ratio,dominant_site,weight_PYR2,weight_PYR3,weight_PYR4,weight_PYR5
X1,3.756985,-18.515,2.658,PYR5,0.118025,0.130987,0.197723,0.553264
X2,3.770327,-5.173,1.909,PYR3,0.000377,0.661971,0.049034,0.288617
X3,3.777730,2.230,1.776,PYR2,0.688077,0.004835,0.298973,0.008115
X4,3.796958,21.458,3.255,PYR4,0.193521,0.202207,0.454269,0.150003
