atom,name,displacement_nm
290,N0290,0.04528
291,B0291,0.10156
292,N0292,0.13845
293,B0293,0.22591
294,N0294,0.01772
295,B0295,0.13640
296,N0296,0.11949
297,B0297,0.14245
298,N0298,0.10821
299,B0299,0.21617
300,N0300,0.01841
301,B0301,0.14073
302,N0302,0.02729
303,B0303,0.21011
304,N0304,0.17426
305,B0305,0.05339
306,N0306,0.18977
307,B0307,0.10941
308,N0308,0.07834
309,B0309,0.15075
310,N0310,0.14375
311,B0311,0.21217
312,N0312,0.10377
313,B0313,0.10899
314,N0314,0.11866
315,B0315,0.09954
316,N0316,0.08983
317,B0317,0.16157
318,N0318,0.08624
319,B0319,0.23371
320,N0320,0.04532
321,B0321,0.08093
322,N0322,0.10120
323,B0323,0.16264
324,N0324,0.16381
325,B0325,0.20360
326,N0326,0.14039
327,B0327,0.13138
328,N0328,0.03689
329,B0329,0.14416
330,N0330,0.03732
331,B0331,0.20027
332,N0332,0.10310
333,B0333,0.08934
334,N0334,0.13472
335,B0335,0.17439
336,N0336,0.23638
337,B0337,0.20566
338,N0338,0.09619
339,B0339,0.06884
340,N0340,0.20943
341,B0341,0.11266
342,N0342,0.17460
343,B0343,0.09332
344,N0344,0.02691
345,B0345,0.16830
346,N0346,0.01507
347,B0347,0.10337
348,N0348,0.11215
349,B0349,0.19487
350,N0350,0.11338
351,B0351,0.17716
352,N0352,0.09971
353,B0353,0.27238
354,N0354,0.09439
355,B0355,0.07825
356,N0356,0.20395
357,B0357,0.19881
358,N0358,0.05671
359,B0359,0.16456
360,N0360,0.13677
361,B0361,0.18584
362,N0362,0.16574
363,B0363,0.27217
364,N0364,0.14285
365,B0365,0.09221
366,N0366,0.08954
367,B0367,0.11921
368,N0368,0.10042
369,B0369,0.06327
370,N0370,0.11400
371,B0371,0.17728
372,N0372,0.04273
373,B0373,0.15064
374,N0374,0.20420
375,B0375,0.14690
376,N0376,0.18228
377,B0377,0.18503
378,N0378,0.07723
379,B0379,0.16290
380,N0380,0.14399
381,B0381,0.20250
382,N0382,0.10183
383,B0383,0.06715
384,N0384,0.13770
385,B0385,0.16969
386,N0386,0.13045
387,B0387,0.24894
388,N0388,0.05701
389,B0389,0.17820
390,N0390,0.14887
391,B0391,0.15714
392,N0392,0.08678
393,B0393,0.21577
394,N0394,0.19169
395,B0395,0.10510
396,N0396,0.10888
397,B0397,0.20889
398,N0398,0.11980
399,B0399,0.14230
400,N0400,0.08237
401,B0401,0.09857
402,N0402,0.15135
403,B0403,0.16362
404,N0404,0.16392
405,B0405,0.23624
406,N0406,0.14517
407,B0407,0.21574
408,N0408,0.17388
409,B0409,0.15452
410,N0410,0.16448
411,B0411,0.16388
412,N0412,0.10368
413,B0413,0.13300
414,N0414,0.14829
415,B0415,0.14272
416,N0416,0.08360
417,B0417,0.12230
418,N0418,0.14705
419,B0419,0.10132
420,N0420,0.10648
421,B0421,0.08075
422,N0422,0.10713
423,B0423,0.19024
424,N0424,0.21136
425,B0425,0.09874
426,N0426,0.09270
427,B0427,0.17239
428,N0428,0.18094
429,B0429,0.17912
430,N0430,0.10724
431,B0431,0.16629
432,N0432,0.06943
433,B0433,0.10550
434,N0434,0.06532
435,B0435,0.12401
436,N0436,0.08809
437,B0437,0.15826
438,N0438,0.12841
439,B0439,0.08699
440,N0440,0.10714
441,B0441,0.13766
442,N0442,0.19781
443,B0443,0.19139
444,N0444,0.06155
445,B0445,0.10283
446,N0446,0.21216
447,B0447,0.06497
448,N0448,0.15763
449,B0449,0.09872
450,N0450,0.08191
451,B0451,0.24112
452,N0452,0.08415
453,B0453,0.11481
454,N0454,0.15568
455,B0455,0.10979
456,N0456,0.18147
457,B0457,0.06793
458,N0458,0.23396
459,B0459,0.12722
460,N0460,0.06668
461,B0461,0.18193
462,N0462,0.10298
463,B0463,0.10815
464,N0464,0.20020
465,B0465,0.14621
466,N0466,0.15522
467,B0467,0.09561
468,N0468,0.12041
469,B0469,0.06342
470,N0470,0.22066
471,B0471,0.14237
472,N0472,0.16666
473,B0473,0.15417
474,N0474,0.23042
475,B0475,0.13988
476,N0476,0.18676
477,B0477,0.09064
478,N0478,0.16534
479,B0479,0.13444
480,N0480,0.19435
481,B0481,0.06730
482,N0482,0.09545
483,B0483,0.04385
484,N0484,0.16532
485,B0485,0.14709
486,N0486,0.02419
487,B0487,0.14845
488,N0488,0.08001
489,B0489,0.13805
490,N0490,0.15347
491,B0491,0.22902
492,N0492,0.19334
493,B0493,0.07073
494,N0494,0.06743
495,B0495,0.18615
496,N0496,0.17944
497,B0497,0.07460
498,N0498,0.13237
499,B0499,0.15451
500,N0500,0.12396
501,B0501,0.14353
502,N0502,0.13369
503,B0503,0.16029
504,N0504,0.15435
505,B0505,0.07604
506,N0506,0.23339
507,B0507,0.10847
508,N0508,0.05758
509,B0509,0.18990
510,N0510,0.12694
511,B0511,0.14538
512,N0512,0.07016
513,B0513,0.06107
514,N0514,0.16144
515,B0515,0.06082
516,N0516,0.24828
517,B0517,0.16675
518,N0518,0.10583
519,B0519,0.12534
520,N0520,0.24249
521,B0521,0.08088
522,N0522,0.07643
523,B0523,0.08620
524,N0524,0.12234
525,B0525,0.24337
526,N0526,0.06565
527,B0527,0.09112
528,N0528,0.11402
529,B0529,0.08259
530,N0530,0.13547
531,B0531,0.12137
532,N0532,0.02166
533,B0533,0.07198
534,N0534,0.09656
535,B0535,0.02796
536,N0536,0.08230
537,B0537,0.08193
538,N0538,0.12648
539,B0539,0.15852
540,N0540,0.06880
541,B0541,0.05904
542,N0542,0.07952
543,B0543,0.11133
544,N0544,0.09109
545,B0545,0.21136
546,N0546,0.15834
547,B0547,0.10977
548,N0548,0.17254
549,B0549,0.04709
550,N0550,0.09970
551,B0551,0.11662
552,N0552,0.09394
553,B0553,0.06099
554,N0554,0.20340
555,B0555,0.12733
556,N0556,0.17267
557,B0557,0.09187
558,N0558,0.09101
559,B0559,0.18787
560,N0560,0.06130
561,B0561,0.02131
562,N0562,0.15038
563,B0563,0.08441
564,N0564,0.21285
565,B0565,0.08627
566,N0566,0.16447
567,B0567,0.09628
568,N0568,0.14953
569,B0569,0.08501
570,N0570,0.17778
571,B0571,0.15447
572,N0572,0.14004
573,B0573,0.07471
574,N0574,0.13747
575,B0575,0.19224
576,N0576,0.07401
577,B0577,0.13250
578,N0578,0.12710
579,B0579,0.16404
580,N0580,0.15503
581,B0581,0.22299
582,N0582,0.02460
583,B0583,0.17051
584,N0584,0.18152
585,B0585,0.13142
586,N0586,0.17728
587,B0587,0.16984
588,N0588,0.12670
589,B0589,0.20847
590,N0590,0.11843
591,B0591,0.14559
592,N0592,0.09628
593,B0593,0.12855
594,N0594,0.11151
595,B0595,0.15966
596,N0596,0.18072
597,B0597,0.15780
598,N0598,0.05092
599,B0599,0.15832
600,N0600,0.02093
601,B0601,0.11254
602,N0602,0.16615
603,B0603,0.06392
604,N0604,0.11615
605,B0605,0.14659
606,N0606,0.17232
607,B0607,0.21414
608,N0608,0.09407
609,B0609,0.13580
610,N0610,0.09975
611,B0611,0.15046
612,N0612,0.03501
613,B0613,0.19813
614,N0614,0.20264
615,B0615,0.23397
616,N0616,0.02054
617,B0617,0.17709
618,N0618,0.16161
619,B0619,0.10698
620,N0620,0.07868
621,B0621,0.10763
622,N0622,0.16451
623,B0623,0.10363
624,N0624,0.19507
625,B0625,0.12565
626,N0626,0.01578
627,B0627,0.07325
628,N0628,0.20665
629,B0629,0.19253
630,N0630,0.16728
631,B0631,0.18812
632,N0632,0.04484
633,B0633,0.09731
634,N0634,0.15214
635,B0635,0.19301
636,N0636,0.05047
637,B0637,0.15241
638,N0638,0.21084
639,B0639,0.16247
640,N0640,0.09767
641,B0641,0.10316
642,N0642,0.13284
643,B0643,0.10189
644,N0644,0.16144
645,B0645,0.17775
646,N0646,0.13497
647,B0647,0.19316
648,N0648,0.12085
649,B0649,0.09731
650,N0650,0.20530
651,B0651,0.13814
652,N0652,0.18022
653,B0653,0.14571
654,N0654,0.07275
655,B0655,0.10991
656,N0656,0.04389
657,B0657,0.17183
658,N0658,0.12610
659,B0659,0.20946
660,N0660,0.17392
661,B0661,0.07538
662,N0662,0.22552
663,B0663,0.18496
664,N0664,0.11237
665,B0665,0.16125
666,N0666,0.13580
667,B0667,0.03127
668,N0668,0.12329
669,B0669,0.25546
670,N0670,0.04017
671,B0671,0.11545
672,N0672,0.03860
673,B0673,0.14850
674,N0674,0.13956
675,B0675,0.15323
676,N0676,0.14376
677,B0677,0.17517
678,N0678,0.22311
679,B0679,0.18736
680,N0680,0.13256
681,B0681,0.10496
682,N0682,0.18924
683,B0683,0.15780
684,N0684,0.10847
685,B0685,0.22216
686,N0686,0.06933
687,B0687,0.09853
688,N0688,0.11573
689,B0689,0.18041
690,N0690,0.08871
691,B0691,0.13802
692,N0692,0.15994
693,B0693,0.18883
694,N0694,0.10830
695,B0695,0.09513
696,N0696,0.12012
697,B0697,0.10161
698,N0698,0.28093
699,B0699,0.14262
700,N0700,0.22857
701,B0701,0.11044
702,N0702,0.23334
703,B0703,0.22979
704,N0704,0.05128
705,B0705,0.11294
706,N0706,0.09787
707,B0707,0.28143
708,N0708,0.07928
709,B0709,0.02718
710,N0710,0.21453
711,B0711,0.18429
712,N0712,0.06159
713,B0713,0.21635
714,N0714,0.06837
715,B0715,0.19475
716,N0716,0.12030
717,B0717,0.14183
718,N0718,0.08056
719,B0719,0.02478
720,N0720,0.22271
721,B0721,0.06412
722,N0722,0.05619
723,B0723,0.23850
724,N0724,0.02147
725,B0725,0.13040
726,N0726,0.26372
727,B0727,0.20656
728,N0728,0.13982
729,B0729,0.18523
730,N0730,0.21587
731,B0731,0.11876
732,N0732,0.12914
733,B0733,0.11711
734,N0734,0.19618
735,B0735,0.13789
736,N0736,0.07599
737,B0737,0.20988
738,N0738,0.04566
739,B0739,0.14860
740,N0740,0.14986
741,B0741,0.24166
742,N0742,0.19576
743,B0743,0.22844
744,N0744,0.16906
745,B0745,0.21118
746,N0746,0.14963
747,B0747,0.11130
748,N0748,0.15067
749,B0749,0.16393
750,N0750,0.09199
751,B0751,0.10906
752,N0752,0.07473
753,B0753,0.12629
754,N0754,0.06004
755,B0755,0.12511
756,N0756,0.09597
757,B0757,0.06923
758,N0758,0.09673
759,B0759,0.10110
760,N0760,0.10973
761,B0761,0.12199
762,N0762,0.12524
763,B0763,0.26615
764,N0764,0.16200
765,B0765,0.02362
766,N0766,0.09630
767,B0767,0.18414
768,N0768,0.07679
769,B0769,0.04379
770,N0770,0.08808
771,B0771,0.31557
772,N0772,0.22841
773,B0773,0.19865
774,N0774,0.12615
775,B0775,0.16741
776,N0776,0.12661
777,B0777,0.09588
778,N0778,0.11819
779,B0779,0.10323
780,N0780,0.10141
781,B0781,0.19025
782,N0782,0.15109
783,B0783,0.08500
784,N0784,0.19133
785,B0785,0.16645
786,N0786,0.07846
787,B0787,0.14496
788,N0788,0.08223
789,B0789,0.05957
790,N0790,0.21762
791,B0791,0.08007
792,N0792,0.11720
793,B0793,0.05295
794,N0794,0.17507
795,B0795,0.12390
796,N0796,0.18854
797,B0797,0.16965
798,N0798,0.15106
799,B0799,0.09872
800,N0800,0.12740
801,B0801,0.04268
802,N0802,0.04415
803,B0803,0.12404
804,N0804,0.04338
805,B0805,0.11853
806,N0806,0.12403
807,B0807,0.13996
808,N0808,0.06768
809,B0809,0.20382
810,N0810,0.12081
811,B0811,0.16995
812,N0812,0.05248
813,B0813,0.09834
814,N0814,0.15654
815,B0815,0.13108
816,N0816,0.07421
817,B0817,0.18352
818,N0818,0.06862
819,B0819,0.08228
820,N0820,0.05731
821,B0821,0.08742
822,N0822,0.08042
823,B0823,0.08261
824,N0824,0.19880
825,B0825,0.15667
826,N0826,0.07794
827,B0827,0.19535
828,N0828,0.16423
829,B0829,0.13825
830,N0830,0.17568
831,B0831,0.14609
832,N0832,0.16478
833,B0833,0.11105
834,N0834,0.23804
835,B0835,0.21190
836,N0836,0.14474
837,B0837,0.15496
838,N0838,0.09001
839,B0839,0.17164
840,N0840,0.19552
841,B0841,0.05921
842,N0842,0.11679
843,B0843,0.16040
844,N0844,0.06244
845,B0845,0.27156
846,N0846,0.12724
847,B0847,0.17378
848,N0848,0.14879
849,B0849,0.08225
850,N0850,0.18250
851,B0851,0.08063
852,N0852,0.16195
853,B0853,0.17514
854,N0854,0.04855
855,B0855,0.08125
856,N0856,0.15197
857,B0857,0.20519
858,N0858,0.10282
859,B0859,0.11500
860,N0860,0.06713
861,B0861,0.21655
862,N0862,0.16056
863,B0863,0.21239
864,N0864,0.17429
865,B0865,0.18011
866,N0866,0.22177
867,B0867,0.13257
868,N0868,0.22591
869,B0869,0.12801
870,N0870,0.07796
871,B0871,0.12388
872,N0872,0.21054
873,B0873,0.18174
874,N0874,0.21069
875,B0875,0.09784
876,N0876,0.20229
877,B0877,0.13869
878,N0878,0.13096
879,B0879,0.19818
880,N0880,0.06212
881,B0881,0.16583
882,N0882,0.05193
883,B0883,0.17345
884,N0884,0.15398
885,B0885,0.13373
886,N0886,0.13874
887,B0887,0.07829
888,N0888,0.09555
889,B0889,0.11640
