atom,name,displacement_nm
1246,N1246,0.10090
1247,B1247,0.12862
1248,N1248,0.07958
1249,B1249,0.24031
1250,N1250,0.06477
1251,B1251,0.16624
1252,N1252,0.07457
1253,B1253,0.08684
1254,N1254,0.17280
1255,B1255,0.27331
1256,N1256,0.09313
1257,B1257,0.08155
1258,N1258,0.17339
1259,B1259,0.14820
1260,N1260,0.13799
1261,B1261,0.18616
1262,N1262,0.08562
1263,B1263,0.21697
1264,N1264,0.06202
1265,B1265,0.20592
1266,N1266,0.12557
1267,B1267,0.13316
1268,N1268,0.12791
1269,B1269,0.08787
1270,N1270,0.19708
1271,B1271,0.09557
1272,N1272,0.01183
1273,B1273,0.07796
1274,N1274,0.17853
1275,B1275,0.20237
1276,N1276,0.06470
1277,B1277,0.08701
1278,N1278,0.21386
1279,B1279,0.19861
1280,N1280,0.08047
1281,B1281,0.18557
1282,N1282,0.06263
1283,B1283,0.10050
1284,N1284,0.08705
1285,B1285,0.06453
1286,N1286,0.17876
1287,B1287,0.09140
1288,N1288,0.25407
1289,B1289,0.16681
1290,N1290,0.16197
1291,B1291,0.14149
1292,N1292,0.17673
1293,B1293,0.08368
1294,N1294,0.11775
1295,B1295,0.11312
1296,N1296,0.10147
1297,B1297,0.28949
1298,N1298,0.09646
1299,B1299,0.12969
1300,N1300,0.16860
1301,B1301,0.11559
1302,N1302,0.12424
1303,B1303,0.22292
1304,N1304,0.27130
1305,B1305,0.10343
1306,N1306,0.22164
1307,B1307,0.20448
1308,N1308,0.10663
1309,B1309,0.15707
1310,N1310,0.10977
1311,B1311,0.15146
1312,N1312,0.14946
1313,B1313,0.06851
1314,N1314,0.11087
1315,B1315,0.08278
1316,N1316,0.21675
1317,B1317,0.15106
1318,N1318,0.04589
1319,B1319,0.15916
1320,N1320,0.06464
1321,B1321,0.09663
1322,N1322,0.21785
1323,B1323,0.09172
1324,N1324,0.09132
1325,B1325,0.08090
1326,N1326,0.08491
1327,B1327,0.16568
1328,N1328,0.12500
1329,B1329,0.14151
1330,N1330,0.02249
1331,B1331,0.11140
1332,N1332,0.17058
1333,B1333,0.07682
1334,N1334,0.22725
1335,B1335,0.10327
1336,N1336,0.09763
1337,B1337,0.12426
1338,N1338,0.14339
1339,B1339,0.12232
1340,N1340,0.18760
1341,B1341,0.23250
1342,N1342,0.06423
1343,B1343,0.16316
1344,N1344,0.08002
1345,B1345,0.08038
1346,N1346,0.16706
1347,B1347,0.02156
1348,N1348,0.11631
1349,B1349,0.23764
1350,N1350,0.03330
1351,B1351,0.09236
1352,N1352,0.25392
1353,B1353,0.04357
1354,N1354,0.23135
1355,B1355,0.15320
1356,N1356,0.04420
1357,B1357,0.12176
1358,N1358,0.03015
1359,B1359,0.08641
1360,N1360,0.17335
1361,B1361,0.06021
1362,N1362,0.13699
1363,B1363,0.04244
1364,N1364,0.15079
1365,B1365,0.09943
1366,N1366,0.12500
1367,B1367,0.08696
1368,N1368,0.16493
1369,B1369,0.08896
1370,N1370,0.09324
1371,B1371,0.17436
1372,N1372,0.12836
1373,B1373,0.10100
1374,N1374,0.18446
1375,B1375,0.08374
1376,N1376,0.25831
1377,B1377,0.22920
1378,N1378,0.13249
1379,B1379,0.17918
1380,N1380,0.17645
1381,B1381,0.20789
1382,N1382,0.13814
1383,B1383,0.19518
1384,N1384,0.08797
1385,B1385,0.16197
1386,N1386,0.14009
1387,B1387,0.14982
1388,N1388,0.14912
1389,B1389,0.16227
1390,N1390,0.07482
1391,B1391,0.05120
1392,N1392,0.13412
1393,B1393,0.04731
1394,N1394,0.15802
1395,B1395,0.17672
1396,N1396,0.11104
1397,B1397,0.11583
1398,N1398,0.12702
1399,B1399,0.07870
1400,N1400,0.10639
1401,B1401,0.18946
1402,N1402,0.07829
1403,B1403,0.12855
1404,N1404,0.18527
1405,B1405,0.10098
1406,N1406,0.15783
1407,B1407,0.12849
1408,N1408,0.10116
1409,B1409,0.16672
1410,N1410,0.06111
1411,B1411,0.02466
1412,N1412,0.26789
1413,B1413,0.06037
1414,N1414,0.12085
1415,B1415,0.15087
1416,N1416,0.17875
1417,B1417,0.11957
1418,N1418,0.08223
1419,B1419,0.04691
1420,N1420,0.16929
1421,B1421,0.09727
1422,N1422,0.01435
1423,B1423,0.11463
1424,N1424,0.15704
1425,B1425,0.07512
1426,N1426,0.08707
1427,B1427,0.09563
1428,N1428,0.13196
1429,B1429,0.25582
1430,N1430,0.04329
1431,B1431,0.06707
1432,N1432,0.05551
1433,B1433,0.11374
1434,N1434,0.06336
1435,B1435,0.11052
1436,N1436,0.11324
1437,B1437,0.06344
1438,N1438,0.12914
1439,B1439,0.17055
1440,N1440,0.24200
1441,B1441,0.13709
1442,N1442,0.05325
1443,B1443,0.13847
1444,N1444,0.22923
1445,B1445,0.04901
1446,N1446,0.17998
1447,B1447,0.19538
1448,N1448,0.08862
1449,B1449,0.11937
1450,N1450,0.10999
1451,B1451,0.02124
1452,N1452,0.17060
1453,B1453,0.12213
1454,N1454,0.15759
1455,B1455,0.07945
1456,N1456,0.16201
1457,B1457,0.18947
1458,N1458,0.16529
1459,B1459,0.22273
1460,N1460,0.09546
1461,B1461,0.16026
1462,N1462,0.05531
1463,B1463,0.19292
1464,N1464,0.15227
1465,B1465,0.10473
1466,N1466,0.12593
1467,B1467,0.18645
1468,N1468,0.05241
1469,B1469,0.08431
1470,N1470,0.15138
1471,B1471,0.16279
1472,N1472,0.15042
1473,B1473,0.07625
1474,N1474,0.15842
1475,B1475,0.16090
1476,N1476,0.08166
1477,B1477,0.10691
1478,N1478,0.07479
1479,B1479,0.10975
1480,N1480,0.09778
1481,B1481,0.11166
1482,N1482,0.13450
1483,B1483,0.15905
1484,N1484,0.06679
1485,B1485,0.11071
1486,N1486,0.12908
1487,B1487,0.05406
1488,N1488,0.14431
1489,B1489,0.20469
1490,N1490,0.13338
1491,B1491,0.15821
1492,N1492,0.08279
1493,B1493,0.15492
1494,N1494,0.17141
1495,B1495,0.06760
1496,N1496,0.20869
1497,B1497,0.10860
1498,N1498,0.20293
1499,B1499,0.15906
1500,N1500,0.11202
1501,B1501,0.12744
1502,N1502,0.14766
1503,B1503,0.03883
1504,N1504,0.16617
1505,B1505,0.17791
1506,N1506,0.10090
1507,B1507,0.09938
1508,N1508,0.04905
1509,B1509,0.05850
1510,N1510,0.11093
1511,B1511,0.14736
1512,N1512,0.10163
1513,B1513,0.16849
1514,N1514,0.15845
1515,B1515,0.09888
1516,N1516,0.11861
1517,B1517,0.14392
1518,N1518,0.13688
1519,B1519,0.13838
1520,N1520,0.12154
1521,B1521,0.15108
1522,N1522,0.12729
1523,B1523,0.08403
1524,N1524,0.17177
1525,B1525,0.14812
1526,N1526,0.06003
1527,B1527,0.11299
1528,N1528,0.19167
1529,B1529,0.09905
1530,N1530,0.09781
1531,B1531,0.08249
1532,N1532,0.18572
1533,B1533,0.23598
1534,N1534,0.01237
1535,B1535,0.09733
1536,N1536,0.13385
1537,B1537,0.28882
1538,N1538,0.10970
1539,B1539,0.12612
1540,N1540,0.05430
1541,B1541,0.12343
1542,N1542,0.18021
1543,B1543,0.10312
1544,N1544,0.13471
1545,B1545,0.05135
1546,N1546,0.04306
1547,B1547,0.15328
1548,N1548,0.08968
1549,B1549,0.09841
1550,N1550,0.13417
1551,B1551,0.10697
1552,N1552,0.10902
1553,B1553,0.06650
1554,N1554,0.18494
1555,B1555,0.05634
1556,N1556,0.11315
1557,B1557,0.14528
1558,N1558,0.07625
1559,B1559,0.11594
1560,N1560,0.16904
1561,B1561,0.09651
1562,N1562,0.09463
1563,B1563,0.14067
1564,N1564,0.07860
1565,B1565,0.15439
1566,N1566,0.12491
1567,B1567,0.15807
1568,N1568,0.08375
1569,B1569,0.06404
1570,N1570,0.12973
1571,B1571,0.24476
1572,N1572,0.15517
1573,B1573,0.14979
1574,N1574,0.06589
1575,B1575,0.10238
1576,N1576,0.02973
1577,B1577,0.13984
1578,N1578,0.10323
1579,B1579,0.08874
1580,N1580,0.23124
1581,B1581,0.14576
1582,N1582,0.07420
1583,B1583,0.14124
1584,N1584,0.20767
1585,B1585,0.12796
1586,N1586,0.17601
1587,B1587,0.11708
1588,N1588,0.07889
1589,B1589,0.12979
1590,N1590,0.13095
1591,B1591,0.09768
1592,N1592,0.12433
1593,B1593,0.20438
1594,N1594,0.15560
1595,B1595,0.14794
1596,N1596,0.18934
1597,B1597,0.09565
1598,N1598,0.05702
1599,B1599,0.06243
1600,N1600,0.21655
1601,B1601,0.16874
1602,N1602,0.04488
1603,B1603,0.17838
1604,N1604,0.09722
1605,B1605,0.18784
1606,N1606,0.04343
1607,B1607,0.06837
1608,N1608,0.03685
1609,B1609,0.21028
1610,N1610,0.11838
1611,B1611,0.15495
1612,N1612,0.10661
1613,B1613,0.07015
1614,N1614,0.10738
1615,B1615,0.12508
1616,N1616,0.07049
1617,B1617,0.14203
1618,N1618,0.12715
1619,B1619,0.16246
1620,N1620,0.04874
1621,B1621,0.12593
1622,N1622,0.04886
1623,B1623,0.17982
1624,N1624,0.11452
1625,B1625,0.16783
1626,N1626,0.08204
1627,B1627,0.09412
1628,N1628,0.15196
1629,B1629,0.06583
1630,N1630,0.16126
1631,B1631,0.04040
1632,N1632,0.12816
1633,B1633,0.15497
1634,N1634,0.02548
1635,B1635,0.17609
1636,N1636,0.12561
1637,B1637,0.15125
1638,N1638,0.18194
1639,B1639,0.04867
1640,N1640,0.14346
1641,B1641,0.05021
1642,N1642,0.14032
1643,B1643,0.10702
1644,N1644,0.09641
1645,B1645,0.06547
1646,N1646,0.13659
1647,B1647,0.09318
1648,N1648,0.09256
1649,B1649,0.12279
1650,N1650,0.14022
1651,B1651,0.12302
1652,N1652,0.11113
1653,B1653,0.20662
1654,N1654,0.16183
1655,B1655,0.22547
1656,N1656,0.07490
1657,B1657,0.10808
1658,N1658,0.06088
1659,B1659,0.19151
1660,N1660,0.14467
1661,B1661,0.13011
1662,N1662,0.09107
1663,B1663,0.13762
1664,N1664,0.18126
1665,B1665,0.16731
1666,N1666,0.08193
1667,B1667,0.15652
1668,N1668,0.05420
1669,B1669,0.07464
1670,N1670,0.10144
1671,B1671,0.10816
1672,N1672,0.10380
1673,B1673,0.13689
1674,N1674,0.07029
1675,B1675,0.09487
1676,N1676,0.08705
1677,B1677,0.11952
1678,N1678,0.07436
1679,B1679,0.18180
1680,N1680,0.14182
