axial_coordinate_nm,raw_density_nm^-3,smoothed_density_nm^-3
-3.9839450000000003,11.985126042512745,12.18203201555588
-3.93383,12.453590242432561,12.241815210085093
-3.883715,13.078222342523846,12.3139126564987
-3.833605,12.219366958587985,12.408523720501933
-3.783495,10.931041052616408,12.536950437662705
-3.73338,12.375509593810689,12.706002074641347
-3.683265,13.429565671729492,12.915692685441764
-3.633155,13.46862047007877,13.16177239924033
-3.5830450000000003,13.390548490906506,13.44081134247798
-3.5329300000000003,13.234389349454046,13.753437808076004
-3.482815,13.702848356441725,14.101903136768597
-3.432705,14.132293793340654,14.484439098890427
-3.3825950000000002,14.717885642283747,14.89093201620101
-3.3324800000000003,15.303485044009811,15.303436709099
-3.282365,16.943134962893364,15.701743023404072
-3.232255,15.65481567079643,16.07034676933699
-3.1821450000000002,17.25543712926067,16.40271729975849
-3.1320300000000003,15.928113906201,16.70182689720952
-3.081915,16.82602255799524,16.97790471594091
-3.031805,18.895097984082327,17.24604079109476
-2.981695,16.123297728140844,17.524184281441762
-2.9315800000000003,17.684895790135567,17.83107674719978
-2.881465,18.075282418597375,18.18428213374227
-2.831355,17.645858170921787,18.59855478180106
-2.781245,19.40261523640038,19.08564656997014
-2.7311300000000003,19.558794477158088,19.65487135514698
-2.681015,19.168369964430678,20.31206712699856
-2.6309050000000003,20.847075581074943,21.056498547074465
-2.580795,20.69091603733582,21.877474435343775
-2.5306800000000003,22.91617509771255,22.75381528937514
-2.480565,24.321605391444525,23.659962740175622
-2.4304550000000003,24.751026670444414,24.574338260231492
-2.380345,26.351638607664828,25.4866696735057
-2.3302300000000002,25.336652269220693,26.39802474269132
-2.280115,26.703014514780016,27.3141595328674
-2.2300050000000002,28.694041063505313,28.236820798197012
-2.179895,28.772112748802574,29.157372074880076
-2.1297800000000002,30.91928307532848,30.056116465989206
-2.079665,30.880240628997417,30.905948752794334
-2.029555,31.50485887912571,31.67594654655251
-1.9794450000000001,35.135537398426784,32.33405135223827
-1.92933,31.348724803278195,32.84929042152255
-1.8792149999999999,34.39379863379206,33.19695017833523
-1.829105,34.39377853157802,33.369192366901466
-1.778995,36.89232405565841,33.386455439546076
-1.72888,33.84724264391708,33.300403199885366
-1.6787649999999998,30.09944667372358,33.1808670460105
-1.628655,31.192540739854685,33.08901201959329
-1.578545,33.14453506092624,33.05100676696557
-1.5284300000000002,32.48084711329232,33.04900872414285
-1.478315,35.29169688453125,33.03662996622319
-1.428205,33.808186029777026,32.970178162481325
-1.378095,33.61299460596045,32.83722893317737
-1.3279800000000002,33.652035906777094,32.666427790184265
-1.277865,30.919273833023038,32.51357939926166
-1.2277550000000002,29.318668658941277,32.43255784056474
-1.177645,31.973333693026518,32.44919418098652
-1.1275300000000001,33.84724994816616,32.54986387397179
