time_fs,PYR2,PYR3,PYR4,PYR5,X1,X2,X3,X4,purity,trace_real,trace_imag
0.0,0.0,0.0,0.0,1.0,0.3927478485902412,0.004553702830783028,0.20794238613475677,0.394756062444219,1.0,1.0,0.0
10.0,0.07238797945940972,0.04383690258386838,0.22121380840121221,0.6625613095555096,0.41722829539885714,0.07656545011357695,0.20710148369572914,0.2991047707918368,0.7378187188857153,0.9999999999999999,-3.559633357081163e-17
20.0,0.12790905365311567,0.10369426354424081,0.5007794407795015,0.267617242023142,0.43754769172380387,0.13173668897167085,0.20189512674477694,0.2288204925597486,0.5835938606232824,1.0,1.0387534119045404e-16
30.0,0.1705536996644701,0.19856458266159982,0.5252365794658742,0.10564513820805618,0.4544133098327378,0.17395175598250864,0.1945154918522228,0.17711944233253127,0.4934605161136962,1.0000000000000004,-5.4249775298732055e-16
40.0,0.2034968438784368,0.2939310467478477,0.3395853397920767,0.16298676958163905,0.4684122037785819,0.2062077584775925,0.18633584857949548,0.13904418916433073,0.44146869105672915,1.0000000000000002,-5.930195915760967e-16
50.0,0.22912174149833542,0.3359644149335829,0.18187972046313342,0.25303412310494877,0.4800316434244405,0.23081580263331547,0.17818324804035587,0.11096930590188905,0.4121691392107967,1.0000000000000004,-6.851630155309042e-16
60.0,0.24903583211514868,0.3075934017002646,0.18706091938322447,0.2563098468013627,0.48967607520642087,0.24955681768838892,0.17052569983717228,0.09024140726801877,0.39631835940955346,1.0000000000000004,-7.079693381854391e-16
70.0,0.26428343200250953,0.2405702978004557,0.28995750309957297,0.2051887670974621,0.4976812000000588,0.2638021817051421,0.16359970224906448,0.07491691604573533,0.3883679897015765,1.0000000000000002,-1.1996638907548452e-15
80.0,0.2756778904038735,0.18083922791173995,0.35454377963026307,0.1889391020541238,0.5043256581091864,0.27460706698984744,0.15749634933859696,0.06357092556236987,0.3849843803179876,1.0000000000000004,-1.143926159046966e-15
90.0,0.28401848275619107,0.15129605296225115,0.32869340640778016,0.23599205787377772,0.5098407281052277,0.2827826475236921,0.152218818495956,0.05515780587512469,0.3841683936738658,1.0,-1.707542269274196e-15
100.0,0.2900823787323271,0.1456649298541546,0.266150436881444,0.29810225453207406,0.5144183771116148,0.2889519323198841,0.14772020472304803,0.048909485845453286,0.3847280944515804,0.9999999999999998,-2.1748486049291852e-15
110.0,0.29450102852429466,0.1479093617435389,0.2388286052341765,0.31876100449798983,0.5182179427455461,0.29359291876369453,0.14392795731717767,0.044261181173582,0.3859607298496914,0.9999999999999999,-2.8122510711806208e-15
120.0,0.297697927594194,0.15041281813706514,0.2609400351128623,0.2909492191558785,0.5213716793003557,0.29707192976152413,0.1407592645242856,0.040797126413834914,0.38745986009341005,1.0,-2.348449759334228e-15
130.0,0.29994898485822347,0.15525372347148036,0.2943941635336569,0.25040312813663934,0.5239893612186093,0.2996693543579052,0.1381303895436599,0.03821089487982607,0.3889978936620572,1.0,-2.418620456432818e-15
140.0,0.3014867368563268,0.1647395210747324,0.30305391167589596,0.23071983039304486,0.526162104092359,0.3015995117644576,0.135962021162539,0.036276362980644745,0.3904543616659085,1.0,-2.5679783857758513e-15
150.0,0.3025462529726948,0.1753999449233149,0.2869914296383919,0.23506237246559847,0.5279655361910083,0.3030259711651837,0.13418204626211092,0.03482644638169751,0.39177209541605906,1.0,-2.2279789678394446e-15
160.0,0.3033330800833032,0.1809547184537037,0.2702611977364745,0.24545100372651862,0.5294624309104629,0.3040733591146488,0.13272669559470868,0.03373751438018017,0.3929305033247613,1.0,-2.347902741733867e-15
