time_fs,PYR2,PYR3,PYR4,PYR5,X1,X2,X3,X4,purity,trace_real,trace_imag
0.0,0.0,0.0,0.0,1.0,0.3927478485902412,0.004553702830783028,0.20794238613475677,0.394756062444219,1.0,1.0,0.0
10.0,0.0008965973405327089,0.0068234807054353315,0.2273795214647849,0.764900400489247,0.39301591429939653,0.005372598462310638,0.20796551604452299,0.3936459711937698,0.984008626774259,1.0,-3.6516807323002554e-20
20.0,0.001821423418895333,0.05852255679756967,0.6383945073579519,0.3012615124255831,0.39328348107026445,0.006189324822922893,0.20798788752188055,0.39253930658493197,0.968387652942607,1.0,5.574604547714977e-17
30.0,0.0029836157772225556,0.20890597019945065,0.7640473806599963,0.02406303336333058,0.3935505498314975,0.007003887568618122,0.20800950466985174,0.3914360579300328,0.9531283710428016,1.0000000000000002,4.801751629395322e-17
40.0,0.004872266036781109,0.4306160411666166,0.46879557936451566,0.09571611343208691,0.3938171215100192,0.007816292340807036,0.20803037157416981,0.39033621457500434,0.9382222804207627,1.0000000000000002,1.7029392136161012e-16
50.0,0.007966285527574987,0.6024036590312938,0.09549374549901686,0.29413630994211487,0.39408319703102684,0.00862654476635009,0.20805049230334466,0.38923976589927917,0.9236610815854505,1.0000000000000004,-2.273605766126125e-17
60.0,0.012175146403483942,0.6084309369707591,0.06644259100665037,0.3129513256191074,0.3943487773179957,0.009434650457594685,0.20806987090872905,0.3881467013156816,0.9094366724044615,1.0000000000000009,-7.759119526838941e-17
70.0,0.01661735520628052,0.4468066954443906,0.4045017561420739,0.13207419320725583,0.39461386329268167,0.010240615012412363,0.2080885114245839,0.387057010270323,0.8955411424129716,1.0000000000000009,-1.757416101681662e-16
80.0,0.02013294492338926,0.2306711432275153,0.7173062518920926,0.03188965995700366,0.39487845587512516,0.011044444014235828,0.20810641786814374,0.38597068224249614,0.8819667692194151,1.0000000000000009,-3.6168318651914293e-16
90.0,0.022150646354178904,0.08189000402600838,0.6510429326655284,0.2449164169542853,0.3951425559836542,0.011846143032095977,0.20812359423968085,0.38488770674456985,0.8687060132059095,1.0000000000000009,-5.254725067777964e-16
100.0,0.02305519331579661,0.03204746097902517,0.28937101139025206,0.6555263343149271,0.3954061645348866,0.01264571762065859,0.20814004452256965,0.38380807332188616,0.8557515136957278,1.000000000000001,-3.973115079736098e-16
110.0,0.02363966574432408,0.03033162122918672,0.047900369075926715,0.8981283439505634,0.39566928244373295,0.013443173320261355,0.20815577268335095,0.3827317715526556,0.8430960846570037,1.0000000000000009,-7.989990125155099e-16
