lag_ps,autocorrelation,autocorrelation_normalized
0.0,2.1606442921367853e-07,1.0
0.01,2.0434947252777272e-07,0.9457802622646404
0.02,1.9300239773984112e-07,0.8932631735924008
0.03,1.8327155776123704e-07,0.8482264222214443
0.04,1.7368137830601342e-07,0.8038406827911961
0.05,1.6456179667695457e-07,0.7616329873262477
0.06,1.5540087556479725e-07,0.719233962435864
0.07,1.466073044310254e-07,0.6785351247522423
0.08,1.3856573631685038e-07,0.6413167443670923
0.09,1.316022532675767e-07,0.6090880102130447
0.1,1.251811497414056e-07,0.579369543598529
0.11,1.1936379065980578e-07,0.55244535666609
0.12,1.1358340721916786e-07,0.5256923022106461
0.13,1.077459029901435e-07,0.4986748785177748
0.14,1.0252978936738901e-07,0.47453340533897603
0.15,9.731465844512836e-08,0.4503964803428532
0.16,9.226800220313847e-08,0.42703929813402713
0.17,8.758886003325375e-08,0.4053830625985737
0.18,8.292500922456302e-08,0.3837975992918007
0.19,7.828101219013854e-08,0.36230402419790236
0.2,7.413574380442545e-08,0.3431186895234308
0.21,7.119551534670836e-08,0.32951057981089066
0.22,6.810406289047668e-08,0.3152025677633622
0.23,6.452789852108114e-08,0.29865118824008646
0.24,6.075780295158322e-08,0.28120224681452
0.25,5.742863483841005e-08,0.26579402749175146
0.26,5.433241651480441e-08,0.2514639578228398
0.27,5.157359723484263e-08,0.23869545497393527
0.28,4.972802244257208e-08,0.2301536751030554
0.29,4.733135066225572e-08,0.2190612810933679
0.3,4.4511945295617206e-08,0.20601237074334336
0.31,4.22871372091367e-08,0.19571540471993434
0.32,4.004376660501599e-08,0.18533252674096765
0.33,3.844786825618607e-08,0.17794631164467506
0.34,3.719298574582515e-08,0.17213840279578305
0.35,3.5798814021347436e-08,0.16568582876704768
0.36,3.317870896385327e-08,0.15355932989340387
0.37,3.077672899692556e-08,0.142442368273811
0.38,2.8667369199662957e-08,0.13267972569104444
0.39,2.672082845385215e-08,0.1236706502365847
0.4,2.4446049738495722e-08,0.1131424076950659
0.41,2.1793657487889902e-08,0.10086647564896904
0.42,2.0346963290014537e-08,0.09417081453001343
0.43,1.852566474495944e-08,0.08574139117845421
0.44,1.58612593704363e-08,0.07340985940240162
0.45,1.4078570509013998e-08,0.0651591312843582
0.46,1.1791637501367873e-08,0.054574635650491296
0.47,9.407302345311736e-09,0.04353933861093033
0.48,7.925521855664247e-09,0.036681289393666196
0.49,6.667309657152484e-09,0.030857969918587563
0.5,5.711135475497547e-09,0.026432557623122115
0.51,4.052144367030152e-09,0.0187543335188355
0.52,2.7152877964006255e-09,0.012567028299301045
0.53,1.179904664919874e-09,0.005460892703226954
0.54,1.0733736045090983e-09,0.004967840418783499
0.55,5.977605258613413e-11,0.00027665846156943376
0.56,-3.072853322456242e-10,-0.0014221930623375867
0.5700000000000001,-1.177209458728953e-09,-0.005448418617600137
0.58,-2.4728074914654944e-09,-0.01144476904627366
0.59,-3.788374590471883e-09,-0.0175335412879338
0.6,-5.288492520541445e-09,-0.024476460747323434
0.61,-6.225173397392407e-09,-0.02881165317237839
0.62,-6.225019242712644e-09,-0.02881093970612055
0.63,-6.762999588976531e-09,-0.03130084675940903
0.64,-7.179518388789036e-09,-0.03322859951967752
0.65,-7.810823829140084e-09,-0.03615043835566062
0.66,-7.961557545572624e-09,-0.03684807154304415
