end,seed_element,annulus_attachment_element,seed_parity,orientation,rotation,global_phase_turns,maximum_angular_residual_turns,minimum_attachment_created_cycle_length,mean_attachment_created_cycle_length,angular_locality_pass,cycle_length_pass,selected
LOWER,N,B,0,1,0,0.03333333333333333,0.06019582363420867,8,30.571428571428573,True,True,False
LOWER,N,B,0,1,1,0.1,0.06019582363420867,8,30.571428571428573,True,True,False
LOWER,N,B,0,1,2,0.16666666666666669,0.06019582363420872,8,30.571428571428573,True,True,False
LOWER,N,B,0,1,3,0.23333333333333334,0.06019582363420861,8,30.571428571428573,True,True,True
LOWER,N,B,0,1,4,0.3,0.06019582363420874,8,30.571428571428573,True,True,False
LOWER,N,B,0,1,5,0.3666666666666667,0.06019582363420874,8,30.571428571428573,True,True,False
LOWER,N,B,0,1,6,0.4333333333333334,0.06019582363420872,8,30.571428571428573,True,True,False
LOWER,N,B,0,1,7,0.5,0.06019582363420874,8,30.571428571428573,True,True,False
LOWER,N,B,0,1,8,0.5666666666666667,0.06019582363420874,8,30.571428571428573,True,True,False
LOWER,N,B,0,1,9,0.6333333333333333,0.06019582363420874,8,30.571428571428573,True,True,False
LOWER,N,B,0,1,10,0.7,0.06019582363420874,8,30.571428571428573,True,True,False
LOWER,N,B,0,1,11,0.7666666666666666,0.06019582363420874,8,30.571428571428573,True,True,False
LOWER,N,B,0,1,12,0.8333333333333333,0.06019582363420874,8,30.571428571428573,True,True,False
LOWER,N,B,0,1,13,0.9,0.06019582363420867,8,30.571428571428573,True,True,False
LOWER,N,B,0,1,14,0.9666666666666667,0.06019582363420867,8,30.571428571428573,True,True,False
LOWER,N,B,0,-1,0,0.1372186259860987,0.4961147073472345,8,30.571428571428573,False,True,False
LOWER,N,B,0,-1,1,0.05742895766909414,0.4907622910024275,8,30.571428571428573,False,True,False
LOWER,N,B,0,-1,2,0.09608969079863874,0.4908177845541555,8,30.571428571428573,False,True,False
LOWER,N,B,0,-1,3,0.11863719432600409,0.4788330179602127,8,30.571428571428573,False,True,False
LOWER,N,B,0,-1,4,0.02843000767617559,0.4650991492913664,8,30.571428571428573,False,True,False
LOWER,N,B,0,-1,5,0.07772076219022263,0.45034066489862734,8,30.571428571428573,False,True,False
LOWER,N,B,0,-1,6,0.3435835209054994,0.4511445728500174,8,30.571428571428573,False,True,False
LOWER,N,B,0,-1,7,0.5889038422446764,0.4724909181775069,8,30.571428571428573,False,True,False
LOWER,N,B,0,-1,8,0.625,0.47499999999999987,8,30.571428571428573,False,True,False
LOWER,N,B,0,-1,9,0.6127813740139012,0.47417613443608464,8,30.571428571428573,False,True,False
LOWER,N,B,0,-1,10,0.6073883562613613,0.4861408007061807,8,30.571428571428573,False,True,False
LOWER,N,B,0,-1,11,0.75,0.4833333333333334,8,30.571428571428573,False,True,False
LOWER,N,B,0,-1,12,0.6403542781990449,0.47368761153237826,8,30.571428571428573,False,True,False
LOWER,N,B,0,-1,13,0.75,0.47686249030087524,8,30.571428571428573,False,True,False
LOWER,N,B,0,-1,14,0.7889895651886847,0.47240519523349866,8,30.571428571428573,False,True,False
LOWER,N,B,1,1,0,1.0,0.06019582363420872,8,30.571428571428573,True,True,False
LOWER,N,B,1,1,1,0.06666666666666665,0.06019582363420874,8,30.571428571428573,True,True,False
LOWER,N,B,1,1,2,0.13333333333333333,0.06019582363420861,8,30.571428571428573,True,True,False
LOWER,N,B,1,1,3,0.2,0.06019582363420872,8,30.571428571428573,True,True,False
LOWER,N,B,1,1,4,0.26666666666666666,0.06019582363420861,8,30.571428571428573,True,True,False
LOWER,N,B,1,1,5,0.3333333333333333,0.06019582363420874,8,30.571428571428573,True,True,False
LOWER,N,B,1,1,6,0.4,0.06019582363420874,8,30.571428571428573,True,True,False
LOWER,N,B,1,1,7,0.4666666666666667,0.06019582363420874,8,30.571428571428573,True,True,False
LOWER,N,B,1,1,8,0.5333333333333333,0.06019582363420874,8,30.571428571428573,True,True,False
LOWER,N,B,1,1,9,0.6,0.06019582363420874,8,30.571428571428573,True,True,False
LOWER,N,B,1,1,10,0.6666666666666666,0.06019582363420874,8,30.571428571428573,True,True,False
LOWER,N,B,1,1,11,0.7333333333333334,0.06019582363420872,8,30.571428571428573,True,True,False
LOWER,N,B,1,1,12,0.8,0.06019582363420867,8,30.571428571428573,True,True,False
LOWER,N,B,1,1,13,0.8666666666666667,0.06019582363420867,8,30.571428571428573,True,True,False
LOWER,N,B,1,1,14,0.9333333333333333,0.06019582363420867,8,30.571428571428573,True,True,False
LOWER,N,B,1,-1,0,0.2085238411718401,0.4967480650726432,8,30.571428571428573,False,True,False
LOWER,N,B,1,-1,1,0.2129874131614145,0.47318323679562313,8,30.571428571428573,False,True,False
LOWER,N,B,1,-1,2,0.125,0.46852915696754194,8,30.571428571428573,False,True,False
LOWER,N,B,1,-1,3,0.06824214255722588,0.4617712995247678,8,30.571428571428573,False,True,False
LOWER,N,B,1,-1,4,0.975331502359666,0.4848643212745425,8,30.571428571428573,False,True,False
LOWER,N,B,1,-1,5,0.8364513061022,0.4645127331910499,8,30.571428571428573,False,True,False
LOWER,N,B,1,-1,6,0.6475836176504333,0.4475836176504333,8,30.571428571428573,False,True,False
LOWER,N,B,1,-1,7,0.6738678460060599,0.45946548732727344,8,30.571428571428573,False,True,False
LOWER,N,B,1,-1,8,0.7274163823495667,0.4661127746179752,8,30.571428571428573,False,True,False
LOWER,N,B,1,-1,9,0.6408627587152768,0.4859997315855986,8,30.571428571428573,False,True,False
LOWER,N,B,1,-1,10,0.6301322507388739,0.49032807437308257,8,30.571428571428573,False,True,False
LOWER,N,B,1,-1,11,0.7110104348113153,0.48898956518868464,8,30.571428571428573,False,True,False
LOWER,N,B,1,-1,12,0.8435835209054994,0.4962206554602919,8,30.571428571428573,False,True,False
LOWER,N,B,1,-1,13,0.32797913037736937,0.48937389079955274,8,30.571428571428573,False,True,False
LOWER,N,B,1,-1,14,0.14479171208028277,0.4781250454136161,8,30.571428571428573,False,True,False
UPPER,B,N,0,1,0,0.03333333333333333,0.06019582363420867,8,30.571428571428573,True,True,False
UPPER,B,N,0,1,1,0.1,0.06019582363420867,8,30.571428571428573,True,True,False
UPPER,B,N,0,1,2,0.16666666666666669,0.06019582363420872,8,30.571428571428573,True,True,False
UPPER,B,N,0,1,3,0.23333333333333334,0.06019582363420861,8,30.571428571428573,True,True,True
UPPER,B,N,0,1,4,0.3,0.06019582363420874,8,30.571428571428573,True,True,False
UPPER,B,N,0,1,5,0.3666666666666667,0.06019582363420874,8,30.571428571428573,True,True,False
UPPER,B,N,0,1,6,0.4333333333333334,0.06019582363420872,8,30.571428571428573,True,True,False
UPPER,B,N,0,1,7,0.5,0.06019582363420874,8,30.571428571428573,True,True,False
