metric,distance_nm,atom_a,atom_b
min_OW_HBN,0.30055,40917:SOL:OW,59:HBN:B0059
min_OW_PYR,0.27328,38709:SOL:OW,1782:PYR:H7
min_WATERATOM_HBN,0.20953,44554:SOL:HW1,480:HBN:N0480
min_WATERATOM_PYR,0.22212,56507:SOL:HW2,1690:PYR:C9
min_WATERATOM_SOLUTE,0.20953,44554:SOL:HW1,480:HBN:N0480
