distance_mode,element,hbn_local_index_0based,neighbor_rank,distance_nm
RAW_NO_PBC,B,212,1,0.14483438818181277
RAW_NO_PBC,B,214,1,0.1443398766800084
RAW_NO_PBC,B,216,1,0.1443398766800084
RAW_NO_PBC,B,218,1,0.14456140563788109
RAW_NO_PBC,B,220,1,0.14461673485458038
RAW_NO_PBC,B,222,1,0.14442298985964805
RAW_NO_PBC,B,224,1,0.14461673485458001
RAW_NO_PBC,B,226,1,0.14456140563788109
RAW_NO_PBC,B,228,1,0.1443364125922496
RAW_NO_PBC,B,230,1,0.14433987668000817
RAW_NO_PBC,B,232,1,0.14483438818181293
RAW_NO_PBC,B,234,1,0.14439182802361084
RAW_NO_PBC,B,236,1,0.1443779761598008
RAW_NO_PBC,B,238,1,0.14477568856683093
RAW_NO_PBC,B,240,1,0.14500000000000002
RAW_NO_PBC,B,242,1,0.14500000000000002
RAW_NO_PBC,B,244,1,0.14428097587693264
RAW_NO_PBC,B,246,1,0.14500000000000002
RAW_NO_PBC,B,248,1,0.14489306401619054
RAW_NO_PBC,B,250,1,0.14500000000000002
RAW_NO_PBC,B,252,1,0.14487926007541588
RAW_NO_PBC,B,254,1,0.1448930640161909
RAW_NO_PBC,B,256,1,0.14500000000000002
RAW_NO_PBC,B,258,1,0.14484129245487956
RAW_NO_PBC,B,260,1,0.1448378403594865
RAW_NO_PBC,B,262,1,0.14500000000000002
RAW_NO_PBC,B,264,1,0.14500000000000002
RAW_NO_PBC,B,266,1,0.1449241180756329
RAW_NO_PBC,B,268,1,0.14500000000000002
RAW_NO_PBC,B,270,1,0.14500000000000002
RAW_NO_PBC,B,272,1,0.14484129245487978
RAW_NO_PBC,B,274,1,0.14484129245487978
RAW_NO_PBC,B,276,1,0.14500000000000002
RAW_NO_PBC,B,278,1,0.14500000000000002
RAW_NO_PBC,B,280,1,0.1449241180756329
RAW_NO_PBC,B,282,1,0.14500000000000002
RAW_NO_PBC,B,284,1,0.14500000000000002
RAW_NO_PBC,B,286,1,0.1448378403594865
RAW_NO_PBC,B,288,1,0.14489306401619093
RAW_NO_PBC,B,290,1,0.14484129245487956
RAW_NO_PBC,B,292,1,0.14500000000000002
RAW_NO_PBC,B,294,1,0.1448930640161909
RAW_NO_PBC,B,296,1,0.14487926007541588
RAW_NO_PBC,B,298,1,0.14489306401619054
RAW_NO_PBC,B,300,1,0.14481022063376636
RAW_NO_PBC,B,302,1,0.14377760604489156
RAW_NO_PBC,B,304,1,0.14481022063376636
RAW_NO_PBC,B,306,1,0.14456140563788109
RAW_NO_PBC,B,308,1,0.14439182802361047
