frame,cluster,root,is_tracked_root,pair_rank,pair_label,orbital_role,orbital_index,orbital_spin,same_shape,same_natoms,origin_max_abs_diff,vectors_max_abs_diff,atomic_numbers_equal,atom_charges_max_abs_diff,atom_coordinates_max_abs_diff,same_grid,same_geometry,reference_norm,moving_norm,signed_overlap,absolute_overlap,optimal_global_sign,l2_difference_after_sign_alignment,vacuum_cube,embedded_cube
5,PYR2,2,True,1,52a->53a,hole,52,a,True,True,0.0,0.0,True,0.0,0.0,True,True,1.0000234788816715,1.0000332277990513,-0.9784369595325974,0.9784369595325974,-1.0,0.20766819914182016,runs/phase1A/day016_md_bath_extraction/day019_nto_inputs/frame000_PYR2_vacuum_reference_nto_s1_s2/frame000_PYR2_vacuum_reference_nto_s1_s2.s2.mo52a.cube,runs/phase1A/day016_md_bath_extraction/day019_nto_inputs/frame005_PYR2_embedding_nto_s1_s2/frame005_PYR2_embedding_nto_s1_s2.s2.mo52a.cube
5,PYR2,2,True,1,52a->53a,particle,53,a,True,True,0.0,0.0,True,0.0,0.0,True,True,1.0000250706133205,1.0000131727266075,-0.965647834778429,0.965647834778429,-1.0,0.2621151091469982,runs/phase1A/day016_md_bath_extraction/day019_nto_inputs/frame000_PYR2_vacuum_reference_nto_s1_s2/frame000_PYR2_vacuum_reference_nto_s1_s2.s2.mo53a.cube,runs/phase1A/day016_md_bath_extraction/day019_nto_inputs/frame005_PYR2_embedding_nto_s1_s2/frame005_PYR2_embedding_nto_s1_s2.s2.mo53a.cube
5,PYR5,1,True,1,52a->53a,hole,52,a,True,True,0.0,0.0,True,0.0,0.0,True,True,1.0000075334966347,1.0000080024195819,-0.9944083941357356,0.9944083941357356,-1.0,0.1057507055698926,runs/phase1A/day016_md_bath_extraction/day019_nto_inputs/frame000_PYR5_vacuum_reference_nto_s1_s2/frame000_PYR5_vacuum_reference_nto_s1_s2.s1.mo52a.cube,runs/phase1A/day016_md_bath_extraction/day019_nto_inputs/frame005_PYR5_embedding_nto_s1_s2/frame005_PYR5_embedding_nto_s1_s2.s1.mo52a.cube
5,PYR5,1,True,1,52a->53a,particle,53,a,True,True,0.0,0.0,True,0.0,0.0,True,True,1.0000051949155353,1.0000070217924486,0.9882487231442815,0.9882487231442815,1.0,0.15330542622959706,runs/phase1A/day016_md_bath_extraction/day019_nto_inputs/frame000_PYR5_vacuum_reference_nto_s1_s2/frame000_PYR5_vacuum_reference_nto_s1_s2.s1.mo53a.cube,runs/phase1A/day016_md_bath_extraction/day019_nto_inputs/frame005_PYR5_embedding_nto_s1_s2/frame005_PYR5_embedding_nto_s1_s2.s1.mo53a.cube
5,PYR5,2,False,1,52a->53a,hole,52,a,True,True,0.0,0.0,True,0.0,0.0,True,True,1.000006580085798,1.000008506760452,-0.9605505704799229,0.9605505704799229,-1.0,0.28088940713411686,runs/phase1A/day016_md_bath_extraction/day019_nto_inputs/frame000_PYR5_vacuum_reference_nto_s1_s2/frame000_PYR5_vacuum_reference_nto_s1_s2.s2.mo52a.cube,runs/phase1A/day016_md_bath_extraction/day019_nto_inputs/frame005_PYR5_embedding_nto_s1_s2/frame005_PYR5_embedding_nto_s1_s2.s2.mo52a.cube
5,PYR5,2,False,1,52a->53a,particle,53,a,True,True,0.0,0.0,True,0.0,0.0,True,True,0.9999785077144764,0.9999752506294651,-0.8906392682508885,0.8906392682508885,-1.0,0.46767666554813697,runs/phase1A/day016_md_bath_extraction/day019_nto_inputs/frame000_PYR5_vacuum_reference_nto_s1_s2/frame000_PYR5_vacuum_reference_nto_s1_s2.s2.mo53a.cube,runs/phase1A/day016_md_bath_extraction/day019_nto_inputs/frame005_PYR5_embedding_nto_s1_s2/frame005_PYR5_embedding_nto_s1_s2.s2.mo53a.cube
5,PYR5,2,False,2,51a->54a,hole,51,a,True,True,0.0,0.0,True,0.0,0.0,True,True,0.9999834569449918,0.9999826357922714,0.9594668262286253,0.9594668262286253,1.0,0.2847215263072871,runs/phase1A/day016_md_bath_extraction/day019_nto_inputs/frame000_PYR5_vacuum_reference_nto_s1_s2/frame000_PYR5_vacuum_reference_nto_s1_s2.s2.mo51a.cube,runs/phase1A/day016_md_bath_extraction/day019_nto_inputs/frame005_PYR5_embedding_nto_s1_s2/frame005_PYR5_embedding_nto_s1_s2.s2.mo51a.cube
5,PYR5,2,False,2,51a->54a,particle,54,a,True,True,0.0,0.0,True,0.0,0.0,True,True,1.0000045785696656,1.0000084139803587,-0.89053744671251,0.89053744671251,-1.0,0.4678943327023545,runs/phase1A/day016_md_bath_extraction/day019_nto_inputs/frame000_PYR5_vacuum_reference_nto_s1_s2/frame000_PYR5_vacuum_reference_nto_s1_s2.s2.mo54a.cube,runs/phase1A/day016_md_bath_extraction/day019_nto_inputs/frame005_PYR5_embedding_nto_s1_s2/frame005_PYR5_embedding_nto_s1_s2.s2.mo54a.cube
13,PYR5,1,True,1,52a->53a,hole,52,a,True,True,0.0,0.0,True,0.0,0.0,True,True,1.0000075334966347,1.0000071382012716,0.9996440398611397,0.9996440398611397,1.0,0.026681834227055053,runs/phase1A/day016_md_bath_extraction/day019_nto_inputs/frame000_PYR5_vacuum_reference_nto_s1_s2/frame000_PYR5_vacuum_reference_nto_s1_s2.s1.mo52a.cube,runs/phase1A/day016_md_bath_extraction/day019_nto_inputs/frame013_PYR5_embedding_nto_s1_s2/frame013_PYR5_embedding_nto_s1_s2.s1.mo52a.cube
13,PYR5,1,True,1,52a->53a,particle,53,a,True,True,0.0,0.0,True,0.0,0.0,True,True,1.0000051949155353,1.000004666951683,-0.9993787160781479,0.9993787160781479,-1.0,0.03525007579716555,runs/phase1A/day016_md_bath_extraction/day019_nto_inputs/frame000_PYR5_vacuum_reference_nto_s1_s2/frame000_PYR5_vacuum_reference_nto_s1_s2.s1.mo53a.cube,runs/phase1A/day016_md_bath_extraction/day019_nto_inputs/frame013_PYR5_embedding_nto_s1_s2/frame013_PYR5_embedding_nto_s1_s2.s1.mo53a.cube
13,PYR5,2,False,1,52a->53a,hole,52,a,True,True,0.0,0.0,True,0.0,0.0,True,True,1.000006580085798,1.0000067461683728,0.9978644527835614,0.9978644527835614,1.0,0.06535361071033713,runs/phase1A/day016_md_bath_extraction/day019_nto_inputs/frame000_PYR5_vacuum_reference_nto_s1_s2/frame000_PYR5_vacuum_reference_nto_s1_s2.s2.mo52a.cube,runs/phase1A/day016_md_bath_extraction/day019_nto_inputs/frame013_PYR5_embedding_nto_s1_s2/frame013_PYR5_embedding_nto_s1_s2.s2.mo52a.cube
13,PYR5,2,False,1,52a->53a,particle,53,a,True,True,0.0,0.0,True,0.0,0.0,True,True,0.9999785077144764,0.9999770973497344,-0.9953085433830853,0.9953085433830853,-1.0,0.09686543879955306,runs/phase1A/day016_md_bath_extraction/day019_nto_inputs/frame000_PYR5_vacuum_reference_nto_s1_s2/frame000_PYR5_vacuum_reference_nto_s1_s2.s2.mo53a.cube,runs/phase1A/day016_md_bath_extraction/day019_nto_inputs/frame013_PYR5_embedding_nto_s1_s2/frame013_PYR5_embedding_nto_s1_s2.s2.mo53a.cube
13,PYR5,2,False,2,51a->54a,hole,51,a,True,True,0.0,0.0,True,0.0,0.0,True,True,0.9999834569449918,0.9999827104532713,0.9977222395927181,0.9977222395927181,1.0,0.06749459841028728,runs/phase1A/day016_md_bath_extraction/day019_nto_inputs/frame000_PYR5_vacuum_reference_nto_s1_s2/frame000_PYR5_vacuum_reference_nto_s1_s2.s2.mo51a.cube,runs/phase1A/day016_md_bath_extraction/day019_nto_inputs/frame013_PYR5_embedding_nto_s1_s2/frame013_PYR5_embedding_nto_s1_s2.s2.mo51a.cube
13,PYR5,2,False,2,51a->54a,particle,54,a,True,True,0.0,0.0,True,0.0,0.0,True,True,1.0000045785696656,1.0000052785756572,-0.9957829698337943,0.9957829698337943,-1.0,0.09183714026695507,runs/phase1A/day016_md_bath_extraction/day019_nto_inputs/frame000_PYR5_vacuum_reference_nto_s1_s2/frame000_PYR5_vacuum_reference_nto_s1_s2.s2.mo54a.cube,runs/phase1A/day016_md_bath_extraction/day019_nto_inputs/frame013_PYR5_embedding_nto_s1_s2/frame013_PYR5_embedding_nto_s1_s2.s2.mo54a.cube
