site,PYR2,PYR3,PYR4,PYR5
PYR2,3.779000,0.006500,0.002500,0.008500
PYR3,0.006500,3.774000,0.010500,0.001000
PYR4,0.002500,0.010500,3.782000,0.011000
PYR5,0.008500,0.001000,0.011000,3.767000
