bridge_path_id,end,bridge_index,seed_node,annulus_node,library_angle_deg,library_phi1_deg,library_phi2_deg,library_distance_nm,library_distance_error_nm,selected_mirror,selected_azimuth_deg,local_angle_violations,local_heavy_clashes,local_minimum_clearance_nm,bond_1_nm,bond_2_nm,bond_3_nm,bond_4_nm,internal_angle_1_deg,internal_angle_2_deg,internal_angle_3_deg,seed_junction_angle_1_deg,seed_junction_angle_2_deg,annulus_junction_angle_1_deg,annulus_junction_angle_2_deg
LOWER:BRIDGE:00,LOWER,0,S:1681,A:LOWER:14:-2,119.0,40.0,30.0,0.30302773243371306,0.00022544208646152475,False,110.0,0,0,0.155293853067679,0.14495568957927327,0.1449314219503497,0.14492935912129248,0.14495775203363365,118.98628814523668,118.98015414692297,118.98628830934888,109.69133083278179,122.03460073937903,118.49024117413762,121.50822233273534
LOWER:BRIDGE:01,LOWER,1,S:1683,A:LOWER:14:-4,128.0,230.0,310.0,0.47469637250103613,8.89745564310318e-05,False,230.0,1,0,0.1406963861016053,0.14499439584235183,0.1449880222524122,0.14499344457952165,0.1449889735508183,128.00701902812025,128.00683569772278,128.00701900614754,70.25560713376439,153.7356202027967,63.509511377561196,85.78904947188713
LOWER:BRIDGE:02,LOWER,2,S:1685,A:LOWER:-1:-9,135.0,110.0,30.0,0.4749830680039076,8.342247181769569e-05,False,110.0,1,0,0.1375622558131456,0.1449546291954281,0.14495720657258934,0.1449533611998009,0.14495847453458025,134.9944064670479,134.99419885012972,134.99440649363336,71.76283864820826,136.10771534834018,65.53574078991858,85.32735410873269
LOWER:BRIDGE:03,LOWER,3,S:1687,A:LOWER:-4:-8,119.0,40.0,30.0,0.30302773243371306,0.00016076549791438355,True,30.0,0,0,0.15529963881894232,0.1449606536980684,0.14494334916459642,0.14494187826012303,0.14496212441203185,118.9902217279231,118.98584863310785,118.99022181137263,121.71682445660241,109.55363732760752,118.43607557874685,121.56233680264552
LOWER:BRIDGE:04,LOWER,4,S:1689,A:LOWER:-7:-7,119.0,20.0,340.0,0.24999806413728878,0.0009221846508320197,True,10.0,0,0,0.2384792393342487,0.14497332018592715,0.14517169245312966,0.14517169245312972,0.14497332018592723,119.04633847582896,119.0923628887998,119.04633847582873,110.78611711206943,110.8464576979899,110.67056612185114,110.79442466245943
LOWER:BRIDGE:05,LOWER,5,S:1691,A:LOWER:-10:-6,119.0,320.0,330.0,0.3030277324337131,0.00014948614685722506,True,70.0,0,0,0.14279583600392637,0.1449615195887883,0.1449454293096017,0.14494406162430123,0.14496288710937774,118.99090774475135,118.98684165134071,118.99090781690123,118.22828618775361,115.06382901746206,114.73180019502401,125.07738083133674
LOWER:BRIDGE:06,LOWER,6,S:1693,A:LOWER:-13:-5,135.0,250.0,330.0,0.47498306800390766,8.559811641040138e-05,False,90.0,1,0,0.1391395602369105,0.14499185061096245,0.1449892066475124,0.14499315133018553,0.14498790589290061,135.0057382786145,135.00595116897912,135.00573830658905,135.8090014958603,71.27738865243283,65.73130597578061,86.01879402130645
LOWER:BRIDGE:07,LOWER,7,S:1695,A:LOWER:-13:5,123.0,240.0,280.0,0.47538961544138436,4.6359986669131104e-05,True,120.0,1,0,0.14012789430381928,0.14496199848665656,0.1449649990768527,0.14496332427602096,0.144963673302806,122.99592206172031,122.99620659010463,122.99592205385851,154.7351508604863,73.25239649972488,58.15253638337592,102.57624142462642
LOWER:BRIDGE:08,LOWER,8,S:1697,A:LOWER:-10:6,118.0,300.0,350.0,0.30331778433767465,0.0003763366165708826,False,240.0,0,0,0.14339930173771873,0.14493718047194645,0.14491043951807916,0.14489343524463927,0.1449541796137241,117.9766291217788,117.96623026724666,117.97663127712909,110.6060302855873,123.49712611151843,120.54674033072297,119.16890774672999
LOWER:BRIDGE:09,LOWER,9,S:1699,A:LOWER:-7:7,119.0,340.0,20.0,0.24999806413728876,0.0007204359247956482,False,170.0,0,0,0.23817795768809794,0.14497321880750846,0.14512821593926487,0.14512821593926467,0.14497321880750877,119.0361903319304,119.07217803332762,119.03619033193034,110.70843669168555,111.23810412431783,110.4615516170307,110.91814716321932
LOWER:BRIDGE:10,LOWER,10,S:1701,A:LOWER:-4:8,119.0,330.0,320.0,0.30302773243371306,0.0002330585160877363,True,100.0,0,0,0.15046594425111154,0.14498878445568736,0.1450181244810794,0.14501599323502715,0.14499091610168538,119.01417713496399,119.02050654438167,119.01417695966447,117.83901094643532,113.81212735229194,114.44540377513596,125.53867412038099
LOWER:BRIDGE:11,LOWER,11,S:1703,A:LOWER:-1:9,134.0,220.0,30.0,0.47505019142645194,5.872666950512695e-05,False,40.0,1,0,0.1410136476742134,0.14495980505500425,0.1449621408458784,0.14495835669772755,0.14496358916534707,133.99596433725358,133.9957213303429,133.99596436611148,137.9784964363545,70.23454568526013,73.76628182155143,66.09096733764135
LOWER:BRIDGE:12,LOWER,12,S:1705,A:LOWER:14:4,132.0,130.0,270.0,0.47518958216590584,4.831097981328192e-05,False,140.0,1,0,0.1388348090749769,0.14496347175139074,0.14496273448355487,0.14496142634665765,0.14496477986983114,131.9965167909598,131.99615682263473,131.99651680409514,125.30046800969608,73.11061460404876,71.49963243795007,57.21978718779359
LOWER:BRIDGE:13,LOWER,13,S:1707,A:LOWER:14:2,119.0,30.0,40.0,0.30302773243371306,0.0004773789086682245,True,110.0,0,0,0.15419420046648397,0.14494073610613425,0.14488059980303905,0.1448849693272568,0.1449363682631669,118.97096766632853,118.95796491973287,118.97096693026138,119.14568402453371,112.23084457255709,115.67243121697004,124.32687322436608
LOWER:BRIDGE:14,LOWER,14,S:1709,A:LOWER:14:0,118.0,30.0,330.0,0.25102263712446776,0.00010494114808240473,True,90.0,0,0,0.2386095899995626,0.14497277703330724,0.14495051259963831,0.14495051259963848,0.14497277703330727,117.99460702655996,117.98931786581569,117.9946070265599,110.81075409236247,111.03765888471372,110.98756275119317,110.761504081836
UPPER:BRIDGE:00,UPPER,0,S:1711,A:UPPER:14:0,119.0,20.0,340.0,0.24999806413728878,0.0007204359247956205,True,280.0,0,0,0.23801979308220286,0.14497321880750852,0.1451282159392646,0.14512821593926517,0.14497321880750916,119.03619033193014,119.0721780333282,119.03619033192957,111.27391055618527,110.67250022547242,111.02740260936312,110.35201399956773
