metric,distance_nm,atom_a,atom_b
min_OW_HBN,0.27255,46701:SOL:OW,1550:HBN:N1550
min_OW_PYR,0.27169,44685:SOL:OW,1732:PYR:H9
min_WATERATOM_HBN,0.18603,46702:SOL:HW1,1550:HBN:N1550
min_WATERATOM_PYR,0.20239,23182:SOL:HW1,1773:PYR:C14
min_WATERATOM_SOLUTE,0.18603,46702:SOL:HW1,1550:HBN:N1550
