quantity,mean_eV,std_eV,variance_eV2,correlation_time_ps,gamma_phi_proxy_ps^-1,dt_ps,n_samples
PYR2,3.7552755445424846,0.005063966423021509,2.5643755933489255e-05,0.16331873602122518,9.666875326850148,0.01,2001
PYR3,3.7775003600712607,0.0048844905321491685,2.3858247758654864e-05,0.1659379085523401,9.138031039934031,0.01,2001
PYR4,3.77801286675803,0.005696070329369813,3.2445217197127124e-05,0.06507518503456623,4.8734281785025715,0.01,2001
PYR5,3.777343078095838,0.006191704664353121,3.83372066505722e-05,0.09731570638275927,8.611362627309811,0.01,2001
J23,0.002435358220730121,0.00046482731117446034,2.160644292136786e-07,0.17255054204112172,0.08605340814049207,0.01,2001
J34,0.01673579377930426,0.0014987153837075523,2.246147801361676e-06,0.1740769651045626,0.9025018680872999,0.01,2001
J45,0.03331060421010572,0.0018505486946481197,3.4245304712638593e-06,0.0649010081748837,0.5130042354505329,0.01,2001
