,PYR2,PYR3,PYR4,PYR5
PYR2,3.755,0.0,0.0,0.0
PYR3,0.0,3.765,0.017,0.0
PYR4,0.0,0.017,3.778,0.033
PYR5,0.0,0.0,0.033,3.812
