site_a,site_b,carbon_centroid_distance_A,minimum_all_atom_distance_A,all_atom_radius_a_A,all_atom_radius_b_A,sum_all_atom_radii_over_centroid_distance,sum_carbon_radii_over_centroid_distance,inverse_distance_rank_metric_A-1,finite_size_benchmark_priority_rank
PYR3,PYR4,26.894352545248694,20.68610403145068,4.605036772043737,4.6045594760791175,0.342436064695295,0.2616375771876189,0.03718252738442166,1
PYR2,PYR3,26.896124764429352,20.692322247635712,4.604400281592056,4.605036772043737,0.3424075822928756,0.2615847832347596,0.0371800773813527,2
PYR4,PYR5,27.639865838924578,21.35609983119577,4.6045594760791175,4.75696134627979,0.3386963191831162,0.2601148953259076,0.0361796256837008,3
PYR2,PYR4,42.49054542354835,38.445491283114066,4.604400281592056,4.6045594760791175,0.21672961986897796,0.165594073046671,0.023534647296991344,4
PYR3,PYR5,43.42113049019883,39.48476415023901,4.605036772043737,4.75696134627979,0.21560926702350025,0.16556398260600474,0.023030261734565467,5
PYR2,PYR5,46.89345298869688,40.25149314000662,4.604400281592056,4.75696134627979,0.19963046078368968,0.15329612297129158,0.021324938477894524,6
