frame,time_ps,maximum_absolute_J_meV,minimum_absolute_site_detuning_meV,maximum_absolute_J_over_detuning,minimum_adjacent_eigenvalue_spacing_meV,minimum_participation_ratio,maximum_participation_ratio,lowest_eigenstate_PYR5_population
0,0.0,1.458079325,11.00000000000001,0.1098975001818181,11.128349479698985,1.000046035936246,1.0481396043425995,0.9999769825837977
1,5.0,1.49157853,6.000000000000005,0.06451565088888885,6.000464545727446,1.0000419609015097,1.013220744857712,0.9999790200072879
2,10.0,1.414858318,0.9999999999999454,0.2587936900000142,0.9869803366667762,1.0000425372720425,1.1028370241882934,0.9999787318353406
3,15.0,1.384122697,7.000000000000006,0.04651179180769237,6.995465646810251,1.000033547759841,1.0071322881002003,0.9999832264148323
4,20.0,1.4678445,6.000000000000005,0.20669460699999978,6.289378004805613,1.000042270312351,1.133417596662711,0.9999788653074153
5,25.0,1.41366871,16.000000000000014,0.07053302143749994,16.19604073018177,1.0000496992166177,1.0120623543836322,0.9999751510413375
6,30.0,1.4407049779999999,3.999999999999948,0.29597446150000384,4.690432667276756,1.0000433978172014,1.1511062642981362,0.9999783015806195
7,35.0,1.460508241,9.999999999999954,0.05174484121739126,9.981885905181064,1.000048787462285,1.0079732358090474,0.9999756068900253
8,40.0,1.440691587,6.000000000000005,0.20362039699999981,6.555709047028124,1.0000487754346143,1.0853759723634184,0.9999756129038
9,45.0,1.417338204,5.000000000000004,0.24418647639999977,5.648669263129347,1.0000386430165378,1.1150295833305688,0.999980678880714
10,50.0,1.468364638,14.000000000000012,0.08736314164285706,14.254461972865062,1.000047983630999,1.0177690925431417,0.9999760087880104
11,55.0,1.492201434,7.999999999999952,0.06517132636842099,7.976965285839022,1.0000508281148637,1.0127210796471842,0.9999745866156581
12,60.0,1.447105061,7.000000000000006,0.17694183985714268,7.360218129040308,1.000046668292006,1.070538584652336,0.9999766664225043
13,65.0,1.465226239,1.0000000000000009,0.2565905799999998,1.072575813800325,1.0000444068018182,1.082591885823594,0.9999777971147443
14,70.0,1.468090487,3.999999999999948,0.30219994825000396,4.703538088612236,1.0000553005899067,1.1524393142165477,0.9999723504933464
15,75.0,1.4460645989999998,4.0000000000000036,0.1497443282500009,3.9413790597602194,1.000049138957415,1.0637557228600503,0.9999754311481753
16,80.0,1.470110169,6.99999999999995,0.08119608799999992,6.967097500930386,1.0000499047645977,1.019126546166563,0.9999750482656323
17,85.0,1.476664848,1.0000000000000009,1.210685058999999,2.5580521931009015,1.0000396359113835,2.1046208850401453,0.999980182452598
18,90.0,1.4619536119999998,1.0000000000000009,1.2281573259999987,1.7658127134511648,1.000039785562281,2.320444000050183,0.9999801076302413
19,95.0,1.466835589,3.0000000000000027,0.2052250061666665,2.926185609857246,1.0000477316108307,1.1150289716481603,0.9999761347870522
20,100.0,1.491366667,5.000000000000004,0.0983299557499999,4.986740677937862,1.0000469735525324,1.0296255347228753,0.9999765137986357
