reference_site,moving_site,heavy_atom_rmsd_A,heavy_atom_max_displacement_A,all_atom_rmsd_A,all_atom_max_displacement_A,rotation_00,rotation_01,rotation_02,rotation_10,rotation_11,rotation_12,rotation_20,rotation_21,rotation_22,translation_x_bohr,translation_y_bohr,translation_z_bohr
PYR2,PYR3,0.0073518627497277805,0.009830952008724112,0.007061479082537416,0.009830952008724112,0.0005616866835434982,-0.9999998267562825,-0.00017605531302184412,0.9999995585369945,0.0005615538961251138,0.0007533810703821917,-0.0007532820753160171,-0.00017647839941489977,0.9999997007106994,0.024931718174684647,139.69234135369715,-25.37312973395389
PYR3,PYR2,0.007351862749729047,0.009830952008715988,0.007061479082538746,0.009830952008715988,0.0005616866835434816,0.9999995585369951,-0.0007532820753164298,-0.9999998267562833,0.0005615538961252451,-0.00017647839941486326,-0.00017605531302192193,0.000753381070381811,0.9999997007107001,139.68783607476502,-0.08426085007639017,25.39779360147668
PYR2,PYR4,0.008185880498347623,0.009682728145226898,0.00887134247360732,0.013327686433625932,-0.9999990372968353,-0.00086397127016299,-0.0010857988062137381,0.0008640573172619207,-0.9999996235991712,-7.878113993066576e-05,-0.001085730332876559,-7.971925649141745e-05,0.9999994074170664,139.79426017179355,139.776584056538,-50.5687233711883
PYR4,PYR2,0.008185880498345522,0.009682728145235069,0.008871342473605992,0.013327686433634883,-0.999999037296835,0.000864057317261521,-0.001085730332875909,-0.0008639712701627943,-0.9999996235991715,-7.971925649148764e-05,-0.0010857988062133834,-7.878113993070074e-05,0.9999994074170665,139.859981084815,139.65175732943132,50.73161515901229
PYR2,PYR5,0.09047888062611704,0.15948398689612542,0.10201526481186704,0.15948398689612542,0.005087878220402923,0.9999870296304509,0.0002325211419447339,-0.9999868260377498,0.005088034830513836,-0.0006779767772447922,-0.0006791510593040617,-0.00022906861544116043,0.9999997431406709,137.21760926853435,-0.14944162398670358,-75.913609329863
PYR5,PYR2,0.09047888062611527,0.15948398689612067,0.10201526481186697,0.15948398689612067,0.005087878220402893,-0.9999868260377499,-0.0006791510593042169,0.9999870296304513,0.0050880348305134444,-0.00022906861544115114,0.0002325211419447942,-0.0006779767772443266,0.9999997431406713,-0.5310552808489746,137.16509426891534,76.00674708304831
PYR3,PYR4,0.006289194674687831,0.010078345735178844,0.006358057277065056,0.010136922403195438,0.000303144423942475,-0.9999998987136877,-0.00033268013544222153,0.9999999493171844,0.0003031120328782984,9.741008649097366e-05,-9.730923727254155e-05,-0.0003327096479058347,0.9999999399175996,-0.0012871492329651346,139.75031935315042,-25.300899882343927
PYR4,PYR3,0.006289194674688232,0.01007834573517019,0.006358057277065132,0.010136922403196939,0.00030314442394219985,0.9999999493171834,-9.730923727254658e-05,-0.9999998987136878,0.00030311203287840716,-0.00033270964790573166,-0.000332680135442332,9.741008649097723e-05,0.9999999399175993,139.74188848174836,-0.03860829138095312,25.347394516500316
PYR3,PYR5,0.08950910614778493,0.15614936925229383,0.10191437530964448,0.15719887859627948,-0.9999840547748956,0.005646967826737463,4.416245078385884e-05,-0.005646964234841989,-0.999984052486579,8.10397993471552e-05,4.4619375642185015e-05,8.078912336916403e-05,0.9999999957411146,139.92868373554018,137.07530944626373,-50.61880988537928
PYR5,PYR3,0.08950910614778544,0.1561493692523128,0.10191437530964391,0.15719887859628467,-0.9999840547748958,-0.005646964234841945,4.46193756422027e-05,0.005646967826737461,-0.999984052486579,8.078912336937615e-05,4.4162450783853925e-05,8.103979934712e-05,0.9999999957411145,139.15462812959663,137.86739784660605,50.601491945211066
PYR4,PYR5,0.08939554234385515,0.15598966227148825,0.10184133005185092,0.15614101182279108,-0.005949409999120129,-0.999982292308791,0.00013996255885427006,0.9999822187059889,-0.00594935228160241,0.0004092423211432144,-0.00040840238783791156,0.0001423948204963629,0.9999999064655978,2.725131321274297,139.92661592013252,-25.330477052090032
PYR5,PYR4,0.08939554234385379,0.15598966227149,0.10184133005185021,0.15614101182278695,-0.005949409999120254,0.9999822187059887,-0.0004084023878377921,-0.9999822923087915,-0.005949352281602097,0.0001423948204963459,0.00013996255885429253,0.0004092423211434332,0.9999999064655983,139.94389638474286,-1.8822438300072761,25.311662807601166
