site_a,site_b,heavy_atom_rmsd_A_mean,heavy_atom_rmsd_A_directional_difference,heavy_atom_rmsd_A_minimum,heavy_atom_max_displacement_A_mean,heavy_atom_max_displacement_A_directional_difference,heavy_atom_max_displacement_A_minimum,all_atom_rmsd_A_mean,all_atom_rmsd_A_directional_difference,all_atom_rmsd_A_minimum,all_atom_max_displacement_A_mean,all_atom_max_displacement_A_directional_difference,all_atom_max_displacement_A_minimum,minimum_captured_norm_mean,minimum_captured_norm_directional_difference,minimum_captured_norm_minimum,maximum_captured_norm_mean,maximum_captured_norm_directional_difference,maximum_captured_norm_minimum,minimum_grid_coverage_fraction_mean,minimum_grid_coverage_fraction_directional_difference,minimum_grid_coverage_fraction_minimum,tracked_hole_similarity_mean,tracked_hole_similarity_directional_difference,tracked_hole_similarity_minimum,tracked_particle_similarity_mean,tracked_particle_similarity_directional_difference,tracked_particle_similarity_minimum,tracked_pair_geometric_mean_similarity_mean,tracked_pair_geometric_mean_similarity_directional_difference,tracked_pair_geometric_mean_similarity_minimum,alternate_hole_principal_cosine_1_mean,alternate_hole_principal_cosine_1_directional_difference,alternate_hole_principal_cosine_1_minimum,alternate_hole_principal_cosine_2_mean,alternate_hole_principal_cosine_2_directional_difference,alternate_hole_principal_cosine_2_minimum,alternate_hole_subspace_rms_similarity_mean,alternate_hole_subspace_rms_similarity_directional_difference,alternate_hole_subspace_rms_similarity_minimum,alternate_particle_principal_cosine_1_mean,alternate_particle_principal_cosine_1_directional_difference,alternate_particle_principal_cosine_1_minimum,alternate_particle_principal_cosine_2_mean,alternate_particle_principal_cosine_2_directional_difference,alternate_particle_principal_cosine_2_minimum,alternate_particle_subspace_rms_similarity_mean,alternate_particle_subspace_rms_similarity_directional_difference,alternate_particle_subspace_rms_similarity_minimum,alternate_transition_subspace_geometric_mean_similarity_mean,alternate_transition_subspace_geometric_mean_similarity_directional_difference,alternate_transition_subspace_geometric_mean_similarity_minimum,alternate_minimum_principal_cosine_mean,alternate_minimum_principal_cosine_directional_difference,alternate_minimum_principal_cosine_minimum
PYR2,PYR3,0.007351862749728414,1.2663481374630692e-15,0.0073518627497277805,0.00983095200872005,8.123710037999388e-15,0.009830952008715988,0.007061479082538081,1.3296655443362226e-15,0.007061479082537416,0.00983095200872005,8.123710037999388e-15,0.009830952008715988,0.9975927025507867,8.409094954031637e-06,0.9975884980033097,0.9982232678443097,2.4534663284336844e-06,0.9982220411111455,0.962896484375,0.0,0.962896484375,0.9988171919794312,3.126574281697714e-07,0.9988170356507171,0.9993330770407539,9.366216890960288e-08,0.9993330302096695,0.9990751012121162,1.0955008533652943e-07,0.9990750464370735,0.9997824318757849,1.7462396503242772e-06,0.9997815587559598,0.999491824560737,4.209424897538838e-06,0.9994897198482883,0.9996371387797784,1.2311597635816796e-06,0.9996365231998966,0.9997972485023948,3.4080741351250055e-06,0.9997955444653273,0.9994448422309243,3.5958705378869027e-06,0.9994430442956553,0.9996210608978505,9.328090744276096e-08,0.9996210142573968,0.9996290998064497,6.622157601166023e-07,0.9996287686985696,0.9994448422309243,3.5958705378869027e-06,0.9994430442956553
PYR2,PYR4,0.008185880498346572,2.1007501294079134e-15,0.008185880498345522,0.009682728145230983,8.170547571850761e-15,0.009682728145226898,0.008871342473606656,1.3287981825982342e-15,0.008871342473605992,0.013327686433630408,8.951173136040325e-15,0.013327686433625932,0.9971148021492836,3.63610966047645e-05,0.9970966216009812,0.9976985003693679,2.9220267040996895e-05,0.9976838902358474,0.962998046875,0.013425781250000046,0.95628515625,0.9977342980058875,5.383323982810495e-06,0.9977316063438961,0.9993053390185977,1.652676805186104e-06,0.9993045126801952,0.9985195095331807,3.519468904977785e-06,0.9985177497987282,0.9996609717677174,1.4227051386983547e-06,0.9996602604151481,0.9995612891907613,3.832480998999799e-06,0.9995593729502618,0.999611131722663,1.2047569151185655e-06,0.9996105293442055,0.9997350142756142,5.7275018263691635e-06,0.999732150524701,0.9995593506061768,4.1371708909831995e-06,0.9995572820207314,0.9996471863025145,7.955988338137487e-07,0.9996467885030975,0.9996291588499118,2.0459707794628912e-07,0.9996290565513728,0.9995593506061768,4.1371708909831995e-06,0.9995572820207314
PYR2,PYR5,0.09047888062611616,1.7763568394002505e-15,0.09047888062611527,0.15948398689612303,4.746203430272544e-15,0.15948398689612067,0.10201526481186701,6.938893903907228e-17,0.10201526481186697,0.15948398689612303,4.746203430272544e-15,0.15948398689612067,0.9872340054490453,0.00045594944243587676,0.9870060307278273,0.9904920196078915,0.0002392621149165386,0.9903723885504332,0.9628173828125,0.01021679687499999,0.957708984375,0.9929226262725022,0.00016103268615952349,0.9928421099294223,0.9893861636860994,0.0003922836643998062,0.9891900218538995,0.9911528160046553,0.0002768648935991269,0.9910143835578558,0.9931382366899584,0.00017329245776420699,0.9930515904610763,0.9908391938497354,0.0004852500888682387,0.9905965688053012,0.9919893843859169,0.0003290903023168701,0.9918248392347585,0.9909169578394534,0.00037434231922450767,0.9907297866798412,0.9882859227875348,0.0004254163219421514,0.9880732146265637,0.9896023147844772,0.00039984501987966325,0.9894023922745374,0.9907951305437608,0.000364510541987495,0.990612875272767,0.9882859227875348,0.0004254163219421514,0.9880732146265637
PYR3,PYR4,0.006289194674688032,4.0072112295064244e-16,0.006289194674687831,0.010078345735174517,8.65453542164829e-15,0.01007834573517019,0.006358057277065094,7.632783294297951e-17,0.006358057277065056,0.010136922403196188,1.5005358067199381e-15,0.010136922403195438,0.9993132853582927,2.5593506200904947e-05,0.9993004886051923,0.9995742885967804,2.1124627916813132e-05,0.999563726282822,0.9629677734375,0.02437695312499999,0.950779296875,0.999668436667045,1.260818608739278e-06,0.9996678062577407,0.9998616270554953,1.681450729762446e-07,0.9998615429829588,0.9997650271948206,7.145346301307143e-07,0.9997646699275056,0.9999043878032188,5.899832919986636e-07,0.9999040928115728,0.9997203903410445,2.0938724198948933e-07,0.9997202856474235,0.9998123933048291,1.9033480158636706e-07,0.9998122981374282,0.9998761726148961,4.957540041816699e-07,0.999875924737894,0.9998287643740562,3.899694295261824e-07,0.9998285693893415,0.9998524687754848,5.2902786484843034e-08,0.9998524423240915,0.9998324308393672,1.216201712672671e-07,0.9998323700292816,0.9997203903410445,2.0938724198948933e-07,0.9997202856474235
PYR3,PYR5,0.08950910614778518,5.134781488891349e-16,0.08950910614778493,0.15614936925230333,1.8957058145474548e-14,0.15614936925229383,0.1019143753096442,5.689893001203927e-16,0.10191437530964391,0.15719887859628207,5.190292640122607e-15,0.15719887859627948,0.9871638275503335,0.00045253365007602575,0.9869375607252955,0.9904240364721013,0.00023804031215202137,0.9903050163160253,0.9628193359374999,0.01008789062500004,0.957775390625,0.9933390535864952,0.0001581092811029361,0.9932599989459437,0.9911903206222525,0.00040380838995857093,0.9909884164272732,0.9922641035627996,0.00028109201518966564,0.9921235575552048,0.9933536323403619,0.00016736701486030903,0.9932699488329317,0.9910124010324243,0.0005137614179939742,0.9907555203234273,0.9921837110515697,0.00034035963351675136,0.9920135312348113,0.9912279186892741,0.000391582970867721,0.9910321272038403,0.9883428574063827,0.0004436262578944028,0.9881210442774355,0.9897864393216014,0.00041756624647326657,0.9895776561983648,0.9909843500949809,0.0003790099095465349,0.9907948451402075,0.9883428574063827,0.0004436262578944028,0.9881210442774355
PYR4,PYR5,0.08939554234385447,1.3600232051658168e-15,0.08939554234385379,0.15598966227148914,1.7486012637846216e-15,0.15598966227148825,0.10184133005185056,7.077671781985373e-16,0.10184133005185021,0.156141011822789,4.135580766728708e-15,0.15614101182278695,0.987122321490763,0.0004759614647744659,0.9868843407583757,0.9903461052892073,0.00024121482778005632,0.9902254978753173,0.9628427734375,0.007365234375000029,0.95916015625,0.9926439447529561,0.00016403405766096668,0.9925619277241257,0.991266175002226,0.000410360898464579,0.9910609945529937,0.9919548187542527,0.0002872830814248939,0.9918111772135403,0.9932746301066018,0.00017876163798957734,0.993185249287607,0.991270404958501,0.0005219392394645306,0.9910094353387687,0.9922730272818353,0.00035017696844130697,0.9920979387976147,0.9912859765873254,0.0003990406504592592,0.9910864562620958,0.988616973252229,0.0004656300700653926,0.9883841582171963,0.9899523745501417,0.00043229008456135976,0.989736229507861,0.9911120214833662,0.00039128186092018957,0.9909163805529061,0.988616973252229,0.0004656300700653926,0.9883841582171963
