metric,mobile_frame_mean,matched_frozen_frame_mean,frame_level_mean_difference,relative_difference_pct_secondary,block_mean_difference,block_difference_std,block_bootstrap_CI95_lower,block_bootstrap_CI95_upper,exact_sign_flip_pvalue,positive_block_fraction,zero_block_fraction,negative_block_fraction,standardized_paired_block_effect,screening_effect_supported
lumen_water_count,1.9054726368159205,0.4577114427860697,1.4477611940298507,316.30434782608694,1.4578571428571427,1.8512925251308725,0.5157142857142857,2.65,0.005859375,0.9,0.0,0.1,0.7874807050031616,True
lumen_number_density_nm-3,0.06824904360970337,0.016828906435144623,0.05142013717455875,305.54651529332637,0.05178228786643972,0.06653058333958099,0.01763304963295828,0.09552247775995881,0.0078125,0.9,0.0,0.1,0.7783230698900685,True
PYR1_waterO_within_35pm,4.7611940298507465,4.940298507462686,-0.1791044776119403,-3.6253776435045317,-0.17976190476190476,0.727371535023338,-0.5997619047619047,0.255,0.47265625,0.4,0.0,0.6,-0.2471390425749023,False
PYR1_waterO_within_50pm,24.402985074626866,27.71641791044776,-3.3134328358208953,-11.954765751211632,-3.319047619047619,2.2557929122344937,-4.59404761904762,-1.9640476190476188,0.005859375,0.1,0.0,0.9,-1.4713441118847694,False
PYR2_waterO_within_35pm,5.149253731343284,4.975124378109452,0.17412935323383086,3.5000000000000004,0.15571428571428575,1.4083118985608685,-0.515,1.1021428571428573,0.8828125,0.3,0.2,0.5,0.11056803956098624,False
PYR2_waterO_within_50pm,24.55223880597015,26.104477611940297,-1.5522388059701493,-5.946255002858777,-1.5892857142857142,3.4645078475665687,-3.44,0.5878571428571426,0.1796875,0.2,0.0,0.8,-0.4587334721732585,False
PYR3_waterO_within_35pm,4.582089552238806,4.82089552238806,-0.23880597014925373,-4.953560371517027,-0.23499999999999996,0.7164922268323021,-0.6649999999999999,0.18,0.345703125,0.5,0.0,0.5,-0.3279868101835007,False
PYR3_waterO_within_50pm,24.034825870646767,26.383084577114428,-2.3482587064676617,-8.900622289270224,-2.3278571428571424,2.3873472455318057,-3.7407142857142857,-0.9578571428571431,0.017578125,0.1,0.0,0.9,-0.975081085172672,False
PYR4_waterO_within_35pm,4.472636815920398,6.656716417910448,-2.18407960199005,-32.810164424514205,-2.1785714285714284,0.9752027523357721,-2.757142857142857,-1.6185714285714288,0.001953125,0.0,0.0,1.0,-2.233967678365744,False
PYR4_waterO_within_50pm,23.059701492537314,32.756218905472636,-9.696517412935323,-29.60206561360875,-9.688809523809525,2.279546365541412,-11.088809523809523,-8.405000000000001,0.001953125,0.0,0.0,1.0,-4.250323516235366,False
