frame,PYR2,PYR3,PYR4,PYR5
0,3.999,4.0,4.013,3.779
1,3.994,4.01,4.017,3.756
2,4.009,4.013,4.021,3.779
3,4.015,4.004,4.019,3.75
4,4.015,4.014,4.024,3.761
5,4.006,3.995,4.034,3.797
6,4.015,4.019,4.029,3.776
7,4.011,3.969,4.02,3.79
8,3.994,4.007,4.02,3.793
9,4.017,4.002,4.019,3.75
10,3.998,3.996,4.02,3.791
11,4.008,3.979,4.016,3.787
12,3.992,4.012,4.035,3.797
13,4.019,4.007,4.031,3.783
14,4.007,4.014,3.978,3.785
15,4.009,4.007,4.026,3.797
16,4.005,3.979,4.021,3.787
17,3.997,4.014,4.023,3.756
18,4.011,4.017,4.022,3.753
19,3.998,4.009,4.0,3.781
20,4.01,4.0,4.016,3.768
