frame,cluster,type,n_pyr_atoms,n_water_atoms,n_water_molecules,n_total_atoms,xyz_file
0,PYR2,monomer,26,100,25,126,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame000_PYR2_water5A.xyz
0,PYR3,monomer,26,76,19,102,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame000_PYR3_water5A.xyz
0,PYR4,monomer,26,88,22,114,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame000_PYR4_water5A.xyz
0,PYR5,monomer,26,120,30,146,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame000_PYR5_water5A.xyz
0,PYR2_PYR3,pair,52,176,44,228,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame000_PYR2_PYR3_water5A.xyz
0,PYR3_PYR4,pair,52,164,41,216,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame000_PYR3_PYR4_water5A.xyz
0,PYR4_PYR5,pair,52,208,52,260,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame000_PYR4_PYR5_water5A.xyz
1,PYR2,monomer,26,168,42,194,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame001_PYR2_water5A.xyz
1,PYR3,monomer,26,160,40,186,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame001_PYR3_water5A.xyz
1,PYR4,monomer,26,120,30,146,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame001_PYR4_water5A.xyz
1,PYR5,monomer,26,180,45,206,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame001_PYR5_water5A.xyz
1,PYR2_PYR3,pair,52,328,82,380,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame001_PYR2_PYR3_water5A.xyz
1,PYR3_PYR4,pair,52,280,70,332,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame001_PYR3_PYR4_water5A.xyz
1,PYR4_PYR5,pair,52,300,75,352,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame001_PYR4_PYR5_water5A.xyz
2,PYR2,monomer,26,140,35,166,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame002_PYR2_water5A.xyz
2,PYR3,monomer,26,180,45,206,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame002_PYR3_water5A.xyz
2,PYR4,monomer,26,156,39,182,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame002_PYR4_water5A.xyz
2,PYR5,monomer,26,172,43,198,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame002_PYR5_water5A.xyz
2,PYR2_PYR3,pair,52,320,80,372,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame002_PYR2_PYR3_water5A.xyz
