end,bridge_atoms_per_attachment,seed_element,bridge_element_sequence,required_annulus_element,seed_parity,orientation,rotation_index,chirality,annulus_center_offset_nm,lateral_distance_minimum_nm,lateral_distance_mean_nm,lateral_distance_maximum_nm,bridge_envelope_minimum_nm,bridge_envelope_maximum_nm,gap_feasible,feasible_gap_minimum_nm,feasible_gap_maximum_nm,selected_gap_nm,selected_distance_minimum_nm,selected_distance_maximum_nm,maximum_envelope_violation_nm,mean_envelope_violation_nm,annulus_center_pass,mapping_geometrically_feasible
LOWER,1,N,B,N,0,1,0,1,9.074370762392093e-16,0.17748247220463345,0.3101872944053991,0.4413636718861929,0.23002962760408247,0.26787517493351753,False,,,0.1065,0.20668973602593832,0.45404098622974776,0.18616581129623022,0.07896721883505818,True,False
LOWER,1,N,B,N,0,1,0,-1,5.747802568973558e-16,0.25142878390991497,1.4561705968890741,2.3096669656457234,0.23002962760408247,0.26787517493351753,False,,,0.05,0.2563521110660637,2.310208025412154,2.0423328504786364,1.190405668105087,True,False
LOWER,1,N,B,N,0,1,1,1,8.913285354402292e-16,0.17756260772194768,0.31021653059539295,0.4412445946240304,0.23002962760408247,0.26787517493351753,False,,,0.10619999999999999,0.2068182049824459,0.45396784451507305,0.18609266958155551,0.07901000710610871,True,False
LOWER,1,N,B,N,0,1,1,-1,9.711980592315687e-16,0.334949346658226,1.469281150911221,2.3248806180135477,0.23002962760408247,0.26787517493351753,False,,,0.05,0.33866065064660406,2.3254304601357405,2.057555285202223,1.2025966482422128,True,False
LOWER,1,N,B,N,0,1,2,1,9.97022817647566e-16,0.17740920660191473,0.31019282865237846,0.44124578585997176,0.23002962760408247,0.26787517493351753,False,,,0.106,0.2065384231791274,0.4537628855086904,0.18588771057517284,0.07889963729665021,True,False
LOWER,1,N,B,N,0,1,2,-1,1.0972640227366215e-15,0.17826145704694396,1.4705375698095462,2.3086275865993255,0.23002962760408247,0.26787517493351753,False,,,0.05,0.18515239456310018,2.30916367571236,2.0412885007788426,1.2125056469891673,True,False
LOWER,1,N,B,N,0,1,3,1,9.065686703542602e-16,0.17767126322229587,0.3102073857218622,0.44126302698504316,0.23002962760408247,0.26787517493351753,False,,,0.1066,0.20751526192571104,0.4539565597687918,0.18608138483527425,0.07882452443344663,True,False
LOWER,1,N,B,N,0,1,3,-1,9.736770747523316e-16,0.07302763298823589,1.4306011898115376,2.2268697618260473,0.23002962760408247,0.26787517493351753,False,,,0.0706,0.10128125189257663,2.2279836774332398,1.9601085024997222,1.1877133309063954,True,False
LOWER,1,N,B,N,0,1,4,1,8.303399790760769e-16,0.1778910370782514,0.31015365585311383,0.44112094792421636,0.23002962760408247,0.26787517493351753,False,,,0.1063,0.20722963401350128,0.4537472763975041,0.18587210146398658,0.0787848091476064,True,False
LOWER,1,N,B,N,0,1,4,-1,9.571336635867687e-16,0.13182396041920624,1.4329691299939455,2.203786125159805,0.23002962760408247,0.26787517493351753,False,,,0.05,0.1409864710679923,2.204353251390638,1.9364780764571203,1.181221631442606,True,False
LOWER,1,N,B,N,0,1,5,1,9.419618336780865e-16,0.17748247220463334,0.3101872944053991,0.4413636718861931,0.23002962760408247,0.26787517493351753,False,,,0.1065,0.20668973602593824,0.4540409862297479,0.1861658112962304,0.07896721883505824,True,False
LOWER,1,N,B,N,0,1,5,-1,8.85464258904706e-16,0.2514287839185236,1.4561705968899257,2.3096669656469864,0.23002962760408247,0.26787517493351753,False,,,0.05,0.256352111074507,2.310208025413417,2.0423328504798994,1.19040566810536,True,False
LOWER,1,N,B,N,0,1,6,1,8.707524586173857e-16,0.17756260772194754,0.31021653059539295,0.44124459462403026,0.23002962760408247,0.26787517493351753,False,,,0.10619999999999999,0.2068182049824458,0.45396784451507305,0.18609266958155551,0.07901000710610875,True,False
LOWER,1,N,B,N,0,1,6,-1,9.125013726894573e-16,0.3349493466639868,1.4692811509110442,2.324880618013517,0.23002962760408247,0.26787517493351753,False,,,0.05,0.3386606506523017,2.3254304601357103,2.0575552852021928,1.2025966482420354,True,False
LOWER,1,N,B,N,0,1,7,1,9.765143983820322e-16,0.17740920660191475,0.31019282865237846,0.4412457858599721,0.23002962760408247,0.26787517493351753,False,,,0.106,0.20653842317912743,0.45376288550869065,0.18588771057517312,0.07889963729665023,True,False
LOWER,1,N,B,N,0,1,7,-1,9.338509394355341e-16,0.1782614570467655,1.470537569809544,2.3086275865989956,0.23002962760408247,0.26787517493351753,False,,,0.05,0.18515239456292834,2.30916367571203,2.0412885007785126,1.2125056469891886,True,False
LOWER,1,N,B,N,0,1,8,1,9.484570997087279e-16,0.17767126322229568,0.3102073857218622,0.4412630269850429,0.23002962760408247,0.26787517493351753,False,,,0.1066,0.20751526192571118,0.4539565597687915,0.18608138483527398,0.07882452443344667,True,False
LOWER,1,N,B,N,0,1,8,-1,9.688274025651635e-16,0.07302763298655117,1.4306011898114646,2.2268697618269053,0.23002962760408247,0.26787517493351753,False,,,0.0706,0.10128125189136188,2.2279836774340973,1.9601085025005798,1.1877133309066643,True,False
LOWER,1,N,B,N,0,1,9,1,9.178289902440073e-16,0.1778910370782511,0.3101536558531137,0.4411209479242165,0.23002962760408247,0.26787517493351753,False,,,0.1063,0.20722963401350103,0.4537472763975043,0.18587210146398675,0.07878480914760645,True,False
LOWER,1,N,B,N,0,1,9,-1,7.881298463616058e-16,0.131823960425933,1.4329691299941894,2.2037861251573956,0.23002962760408247,0.26787517493351753,False,,,0.05,0.14098647107428192,2.204353251388229,1.9364780764547116,1.181221631441981,True,False
LOWER,1,N,B,N,0,1,10,1,8.231771782382518e-16,0.17748247220463317,0.31018729440539905,0.44136367188619285,0.23002962760408247,0.26787517493351753,False,,,0.1065,0.20668973602593807,0.4540409862297477,0.18616581129623017,0.07896721883505828,True,False
LOWER,1,N,B,N,0,1,10,-1,8.790390691039565e-16,0.2514287839143909,1.4561705968895169,2.3096669656463806,0.23002962760408247,0.26787517493351753,False,,,0.05,0.2563521110704537,2.3102080254128112,2.0423328504792937,1.1904056681052289,True,False
LOWER,1,N,B,N,0,1,11,1,9.411394062690301e-16,0.17756260772194762,0.3102165305953929,0.44124459462403065,0.23002962760408247,0.26787517493351753,False,,,0.10619999999999999,0.20681820498244585,0.4539678445150729,0.18609266958155535,0.07901000710610871,True,False
LOWER,1,N,B,N,0,1,11,-1,9.045351064414104e-16,0.33494934666487797,1.4692811509110166,2.3248806180135126,0.23002962760408247,0.26787517493351753,False,,,0.05,0.3386606506531831,2.325430460135706,2.0575552852021883,1.2025966482420076,True,False
LOWER,1,N,B,N,0,1,12,1,9.257388070948508e-16,0.17740920660191503,0.31019282865237846,0.44124578585997254,0.23002962760408247,0.26787517493351753,False,,,0.106,0.20653842317912768,0.4537628855086911,0.18588771057517356,0.07889963729665023,True,False
LOWER,1,N,B,N,0,1,12,-1,1.0596782488558273e-15,0.17826145704681326,1.4705375698095446,2.3086275865990835,0.23002962760408247,0.26787517493351753,False,,,0.05,0.18515239456297433,2.309163675712118,2.0412885007786006,1.2125056469891826,True,False
LOWER,1,N,B,N,0,1,13,1,1.031063800594418e-15,0.177671263222296,0.3102073857218623,0.4412630269850427,0.23002962760408247,0.26787517493351753,False,,,0.1066,0.20751526192571149,0.4539565597687914,0.18608138483527387,0.07882452443344663,True,False
LOWER,1,N,B,N,0,1,13,-1,9.98257186812225e-16,0.07302763298864583,1.4306011898115554,2.2268697618258386,0.23002962760408247,0.26787517493351753,False,,,0.0706,0.10128125189287221,2.227983677433031,1.9601085024995135,1.18771333090633,True,False
LOWER,1,N,B,N,0,1,14,1,9.701506622602226e-16,0.17789103707825174,0.3101536558531139,0.4411209479242166,0.23002962760408247,0.26787517493351753,False,,,0.1063,0.20722963401350156,0.45374727639750434,0.1858721014639868,0.07878480914760638,True,False
LOWER,1,N,B,N,0,1,14,-1,9.144807431072688e-16,0.13182396042540262,1.4329691299941698,2.2037861251575848,0.23002962760408247,0.26787517493351753,False,,,0.05,0.14098647107378598,2.2043532513884183,1.9364780764549008,1.1812216314420296,True,False
LOWER,1,N,B,N,0,-1,0,1,7.0962432095419155e-16,0.25142878390991497,1.4561705968890741,2.3096669656457234,0.23002962760408247,0.26787517493351753,False,,,0.05,0.2563521110660637,2.310208025412154,2.0423328504786364,1.190405668105087,True,False
