radial_recovery_fraction,axial_inner_fraction,axial_outer_fraction,inner_radial_boundary_nm,outer_radial_boundary_nm,left_outer_boundary_nm,left_inner_boundary_nm,right_inner_boundary_nm,right_outer_boundary_nm,region,display_name,cell_count,volume_nm^3,volume_fraction,average_water_count,water_count_fraction,volume_weighted_density_nm^-3
0.4,0.75,0.25,0.951846842232773,1.425862100012652,-2.829328820354256,-2.1517826754040423,2.4103439557983797,3.2348516337108535,lumen_core,Lumen core,1729,12.921208415687756,0.07041107678283473,422.63674896488124,0.08109277653814455,32.70876340418394
0.4,0.75,0.25,0.951846842232773,1.425862100012652,-2.829328820354256,-2.1517826754040423,2.4103439557983797,3.2348516337108535,interfacial_shell,Interfacial shell,910,17.180558498031637,0.0936214001554359,448.0093562673551,0.08596110656199815,26.07653041772089
0.4,0.75,0.25,0.951846842232773,1.425862100012652,-2.829328820354256,-2.1517826754040423,2.4103439557983797,3.2348516337108535,mouth_transitions,Mouth transitions,870,9.923620977202582,0.05407643125245334,98.41756572143652,0.01888371913711597,9.917505510088509
0.4,0.75,0.25,0.951846842232773,1.425862100012652,-2.829328820354256,-2.1517826754040423,2.4103439557983797,3.2348516337108535,exterior,Exterior,5131,143.485630631632,0.781891091809276,4242.704466817275,0.8140623977627413,29.568845661692013
0.4,0.8,0.19999999999999996,0.951846842232773,1.425862100012652,-2.9907268828961304,-2.098006899117144,2.331923032709159,3.318194464343764,lumen_core,Lumen core,1691,12.637211801583149,0.0688635042371039,414.63634299968646,0.07955771094165075,32.81074571748035
0.4,0.8,0.19999999999999996,0.951846842232773,1.425862100012652,-2.9907268828961304,-2.098006899117144,2.331923032709159,3.318194464343764,interfacial_shell,Interfacial shell,890,16.8029451754307,0.09156368544358318,448.00438076716443,0.08596015189554732,26.662253318676377
0.4,0.8,0.19999999999999996,0.951846842232773,1.425862100012652,-2.9907268828961304,-2.098006899117144,2.331923032709159,3.318194464343764,mouth_transitions,Mouth transitions,1073,12.239222751085709,0.06669475680328958,117.930792601305,0.022627789549314742,9.635480536608721
0.4,0.8,0.19999999999999996,0.951846842232773,1.425862100012652,-2.9907268828961304,-2.098006899117144,2.331923032709159,3.318194464343764,exterior,Exterior,4986,141.83163879445442,0.7728780535160232,4231.196621402792,0.8118543476134872,29.832530014933667
0.4,0.85,0.15000000000000002,0.951846842232773,1.425862100012652,-3.1901457642798654,-2.0449912941050967,2.2613223902342714,3.405249827635566,lumen_core,Lumen core,1634,12.21123104767228,0.0665422226195725,402.28287878081574,0.07718740898417452,32.94367924170098
0.4,0.85,0.15000000000000002,0.951846842232773,1.425862100012652,-3.1901457642798654,-2.0449912941050967,2.2613223902342714,3.405249827635566,interfacial_shell,Interfacial shell,860,16.236544028869538,0.08847721602544549,447.9994062596912,0.08595919741957261,27.59204209116926
0.4,0.85,0.15000000000000002,0.951846842232773,1.425862100012652,-3.1901457642798654,-2.0449912941050967,2.2613223902342714,3.405249827635566,mouth_transitions,Mouth transitions,1334,15.216302443329226,0.08291765020888434,144.53271361134125,0.027731992251128292,9.49854369349131
0.4,0.85,0.15000000000000002,0.951846842232773,1.425862100012652,-3.1901457642798654,-2.0449912941050967,2.2613223902342714,3.405249827635566,exterior,Exterior,4812,139.84694100268294,0.7620629111460976,4216.953139119099,0.8091214013451246,30.15406063861059
0.5,0.75,0.25,0.9233449823072346,1.453565072237276,-2.934621742046505,-2.2528786501235945,2.602167709551784,3.3017504091292302,lumen_core,Lumen core,1746,12.361511651877471,0.06736114131674446,404.47786093029515,0.0776085678100194,32.72074421973003
0.5,0.75,0.25,0.9233449823072346,1.453565072237276,-2.934621742046505,-2.2528786501235945,2.602167709551784,3.3017504091292302,interfacial_shell,Interfacial shell,1067,19.72495305361341,0.10748647799145185,489.2574320851999,0.09387551770375828,24.80398461559699
0.5,0.75,0.25,0.9233449823072346,1.453565072237276,-2.934621742046505,-2.2528786501235945,2.602167709551784,3.3017504091292302,mouth_transitions,Mouth transitions,812,9.262143058842192,0.050471863397694834,84.74180129020485,0.016259702859008723,9.149264997511056
0.5,0.75,0.25,0.9233449823072346,1.453565072237276,-2.934621742046505,-2.2528786501235945,2.602167709551784,3.3017504091292302,exterior,Exterior,5015,142.16241075822091,0.7746805172941088,4233.291043465248,0.8122562116272135,29.777850705309923
0.5,0.8,0.19999999999999996,0.9233449823072346,1.453565072237276,-3.1120073587854526,-2.1984788595550815,2.5193177766311203,3.3741222799447073,lumen_core,Lumen core,1692,11.979215734728884,0.06527790991066079,393.28934960419014,0.07546178939809828,32.830976443975956
