rank,atom_i,atom_j,atom_k,equilibrium_deg,stage03_deg,stage03b_deg,stage03b_equilibrium_deviation_deg,stage03_to_stage03b_change_deg
1,18,77,78,119.8229,118.94949814342908,116.38185168721161,3.4410483127883964,2.5676464562174743
2,142,201,144,120.005,120.30486200063635,123.25801829465671,3.2530182946567123,2.95315629402036
3,57,58,117,119.8716,122.45583237805154,123.10896321616416,3.2373632161641552,0.6531308381126166
4,806,863,864,119.9221,120.24192141269617,116.73371688370328,3.1883831162967198,3.5082045289928914
5,699,700,759,120.1517,119.976057041794,116.98231202305027,3.1693879769497357,2.9937450187437236
6,81,24,83,119.9373,119.39003415427194,116.79972249227303,3.1375775077269594,2.5903116619989106
7,1425,1426,1485,120.3949,121.43709060225474,117.30470061988869,3.090199380111315,4.13238998236605
8,1393,1394,1453,120.099,120.08718815581223,117.01438963066491,3.0846103693350955,3.07279852514732
9,1426,1485,1486,120.3949,119.64545003023635,117.31778318646795,3.077116813532058,2.327666843768398
10,1616,1675,1618,119.4638,117.88936556421064,116.42747141226391,3.0363285877360937,1.4618941519467228
11,549,492,551,119.2435,118.9140100232857,116.23814014067105,3.005359859328948,2.6758698826146485
12,1665,1608,1667,119.2435,121.03793512588628,122.24664894949828,3.003148949498282,1.2087138236120012
13,1318,1377,1320,119.9248,119.41650246053659,122.906667590904,2.9818675909039882,3.4901651303674015
14,543,544,603,119.8716,120.1571509884359,116.9138736589434,2.957726341056599,3.2432773294925
15,691,692,749,120.1517,119.76511061711645,123.05626332739031,2.9045633273903064,3.291152710273863
16,1260,1317,1318,119.9103,118.75843960559247,117.02560163889866,2.884698361101343,1.7328379666938076
17,1299,1300,1359,119.9134,119.59228616827589,117.03393707285836,2.879462927141631,2.558349095417526
18,1296,1355,1298,120.0514,117.71692871321335,117.17760794884083,2.873792051159171,0.5393207643725191
19,677,620,679,119.2825,121.96142509792926,116.41904135043528,2.86345864956472,5.542383747493986
20,479,480,537,120.1517,121.3171867255404,117.28900474691366,2.8626952530863434,4.028181978626733
21,1028,1085,1086,120.253,118.89917706950725,117.40506607612878,2.8479339238712242,1.4941109933784702
22,648,707,708,120.2141,121.51684911490088,123.04810403703941,2.8340040370394064,1.5312549221385297
23,1044,1103,1046,119.5048,117.30546767010706,122.31751389621931,2.8127138962193072,5.012046226112247
24,345,346,405,120.1517,119.93813631133213,117.34441479444389,2.807285205556113,2.5937215168882375
25,1399,1400,1459,120.2141,121.80142249737403,117.4127833064876,2.8013166935124048,4.388639190886437
26,142,201,202,119.9103,120.48593500133562,117.13789053731662,2.7724094626833846,3.3480444640189972
27,1300,1359,1302,120.1419,119.1799166194505,122.85986192111896,2.717961921118956,3.679945301668468
28,1350,1409,1410,119.9229,120.6770451029072,122.63756813757385,2.7146681375738524,1.9605230346666502
29,786,845,846,119.9103,118.80535978103272,117.20440155042678,2.705898449573226,1.60095823060594
30,1254,1311,1312,119.8716,120.06085030156636,117.16783372693796,2.703766273062044,2.8930165746284047
