frequency_ps^-1,spectral_density_proxy
0.0,0.0
0.04997501249375312,1.5704466242041707e-05
0.09995002498750624,0.00011725735420436333
0.14992503748125935,0.0
0.19990004997501248,4.635020155479708e-05
0.24987506246876562,4.0563163875151185e-05
0.2998500749625187,7.378882781168599e-05
0.34982508745627183,8.109002101428307e-05
0.39980009995002497,1.349021037895979e-05
0.4497751124437781,5.642263248228713e-06
0.49975012493753124,3.099060694478247e-05
0.5497251374312844,1.740622314668955e-06
0.5997001499250374,1.2944266417564218e-05
0.6496751624187905,0.0
0.6996501749125437,0.0
0.7496251874062968,6.938765799469544e-05
0.7996001999000499,5.9628529901116854e-05
0.8495752123938031,0.0
0.8995502248875562,5.3591359097612e-06
0.9495252373813093,0.0
0.9995002498750625,0.0
1.0494752623688155,0.0
1.0994502748625687,1.5171557109836363e-05
1.1494252873563218,1.596715207401631e-05
1.1994002998500748,0.0
1.249375312343828,6.944081810318897e-05
1.299350324837581,0.0
1.3493253373313343,0.0
1.3993003498250873,1.2574277404986363e-06
1.4492753623188406,1.5582217606952132e-07
1.4992503748125936,9.453636017317106e-06
1.5492253873063468,7.587194916746291e-06
1.5992003998000999,2.6411015169977824e-05
1.649175412293853,2.4862635387185564e-05
1.6991504247876061,0.0
1.7491254372813592,7.554671769996763e-06
1.7991004497751124,3.6402595728985044e-05
1.8490754622688654,2.1871367491162617e-05
1.8990504747626187,0.0
1.9490254872563717,1.5353889612961524e-05
1.999000499750125,8.39102529717515e-06
2.048975512243878,4.391087635246627e-05
2.098950524737631,6.716663974819956e-06
2.148925537231384,8.752286741539597e-06
2.1989005497251375,0.0
2.2488755622188905,5.124095386045244e-06
2.2988505747126435,0.0
2.3488255872063966,1.2120780128801686e-05
2.3988005997001496,2.2130634970024073e-05
2.448775612193903,2.1869083659714962e-05
2.498750624687656,5.426644700566544e-06
2.548725637181409,2.1552361962697316e-05
2.598700649675162,1.9735710679805815e-06
2.6486756621689156,2.6302172285333454e-05
2.6986506746626686,7.407706476918036e-06
2.7486256871564216,0.0
2.7986006996501747,0.0
2.8485757121439277,9.38010004474406e-06
2.898550724637681,1.1964424775856273e-05
2.948525737131434,1.8573138000297076e-05
2.998500749625187,1.0600156539750887e-05
3.0484757621189402,1.0330757365416997e-05
3.0984507746126937,0.0
3.1484257871064467,3.1399099069613883e-06
3.1984007996001997,1.5448251257167517e-06
3.2483758120939528,3.041762140172381e-06
3.298350824587706,8.523278840523456e-07
3.3483258370814593,7.02669445941334e-06
3.3983008495752123,8.776546239548441e-06
3.4482758620689653,6.789967868467691e-06
3.4982508745627183,1.038365303975467e-05
3.548225887056472,3.935032390839572e-06
3.598200899550225,6.572587033012511e-07
3.648175912043978,0.0
3.698150924537731,4.009329907064073e-06
3.748125937031484,1.894972971233759e-06
3.7981009495252374,2.642546783147774e-06
3.8480759620189904,2.1481560022702546e-06
3.8980509745127434,2.416095885687143e-06
3.9480259870064964,1.2353445442662506e-05
3.99800099950025,1.2231270226207301e-05
4.0479760119940025,2.2175116739851546e-06
4.097951024487756,1.9137096558137555e-06
4.147926036981509,5.2033916347633435e-06
4.197901049475262,7.846937724861332e-06
4.2478760619690155,0.0
4.297851074462768,1.7851505474089976e-06
4.3478260869565215,3.5497790569009853e-06
4.397801099450275,4.739640451022338e-06
4.4477761119440276,2.51909333635036e-07
4.497751124437781,2.4326848880482888e-06
4.547726136931534,4.0653459092336136e-07
4.597701149425287,1.0123887775537e-06
4.6476761619190405,0.0
4.697651174412793,0.0
4.747626186906547,0.0
4.797601199400299,9.651676920522653e-06
4.847576211894053,2.6638716398321618e-06
4.897551224387806,2.91255230243245e-06
4.947526236881559,9.333347597635439e-07
4.997501249375312,1.908715776631238e-06
5.047476261869066,1.9041382696408528e-06
5.097451274362818,6.759453147308582e-06
5.147426286856572,2.708315555129949e-06
5.197401299350324,1.6508055377484392e-06
5.247376311844078,2.988987997925825e-06
5.297351324337831,1.338341226380642e-06
5.347326336831584,2.194171900159912e-07
5.397301349325337,0.0
5.44727636181909,0.0
5.497251374312843,1.7439054300537154e-06
5.547226386806597,4.596953837399301e-06
5.597201399300349,3.4466540709323813e-06
5.647176411794103,2.9862739220493945e-06
5.697151424287855,0.0
5.747126436781609,5.053139915007734e-06
5.797101449275362,8.410429120156872e-08
5.847076461769115,2.972748007343823e-07
5.897051474262868,0.0
5.947026486756622,1.5657871724172166e-06
5.997001499250374,3.0892694885915277e-07
6.046976511744128,4.734985615683767e-06
6.0969515242378804,0.0
6.146926536731634,1.818272397298883e-06
6.196901549225387,7.52097463995007e-06
6.24687656171914,7.8719874195088e-07
6.296851574212893,1.9768619883413325e-06
6.346826586706646,2.019160528036873e-06
6.3968015992003995,1.3052231989792288e-06
6.446776611694153,3.287301350824751e-06
6.4967516241879055,0.0
6.546726636681659,1.0379714154585428e-06
6.596701649175412,7.326278680646764e-07
6.646676661669165,9.755386778878856e-07
6.6966516741629185,3.27618111610687e-06
6.746626686656671,3.0623043518565965e-06
6.796601699150425,1.841856508114969e-06
6.846576711644177,1.849291687819385e-06
6.896551724137931,3.5605677085041545e-06
6.946526736631684,1.5418279681474405e-06
6.996501749125437,2.3940457751635595e-06
7.04647676161919,2.9665408849717187e-08
7.096451774112944,1.546670338346016e-06
7.146426786606696,3.3016667087258946e-06
7.19640179910045,1.0483279565734855e-06
7.246376811594202,3.126819735793313e-06
7.296351824087956,3.558803082766246e-06
7.346326836581709,3.259893703497428e-06
7.396301849075462,6.7070644289329516e-06
7.446276861569215,6.8157850253836765e-06
7.496251874062968,5.232471069349327e-06
7.546226886556721,4.61156553526695e-06
