frame,time_ps,state_index,state_label,site,family,root,energy_eV,oscillator_strength,S1_S2_gap_meV
9,45.0,4,PYR4_alternate,PYR4,alternate_like,1,4.019,0.025502917,60.99999999999994
9,45.0,5,PYR4_bright,PYR4,bright_like,2,4.08,0.510873621,60.99999999999994
9,45.0,6,PYR5_alternate,PYR5,alternate_like,2,3.84,0.01299225,89.99999999999986
9,45.0,7,PYR5_bright,PYR5,bright_like,1,3.75,0.62317919,89.99999999999986
10,50.0,0,PYR2_alternate,PYR2,alternate_like,1,3.998,0.008701298,80.99999999999952
10,50.0,1,PYR2_bright,PYR2,bright_like,2,4.079,0.503064953,80.99999999999952
10,50.0,2,PYR3_alternate,PYR3,alternate_like,1,3.996,0.004807113,69.0000000000004
10,50.0,3,PYR3_bright,PYR3,bright_like,2,4.065,0.507950168,69.0000000000004
10,50.0,4,PYR4_alternate,PYR4,alternate_like,1,4.02,0.013226282,79.00000000000063
10,50.0,5,PYR4_bright,PYR4,bright_like,2,4.099,0.501788253,79.00000000000063
10,50.0,6,PYR5_alternate,PYR5,alternate_like,2,3.859,0.010302342,68.00000000000006
10,50.0,7,PYR5_bright,PYR5,bright_like,1,3.791,0.663968719,68.00000000000006
11,55.0,0,PYR2_alternate,PYR2,alternate_like,1,4.008,0.014138215,89.99999999999986
11,55.0,1,PYR2_bright,PYR2,bright_like,2,4.098,0.495368741,89.99999999999986
11,55.0,2,PYR3_alternate,PYR3,alternate_like,1,3.979,0.007325384,91.99999999999963
11,55.0,3,PYR3_bright,PYR3,bright_like,2,4.071,0.504426624,91.99999999999963
11,55.0,4,PYR4_alternate,PYR4,alternate_like,1,4.016,0.004866256,73.99999999999984
11,55.0,5,PYR4_bright,PYR4,bright_like,2,4.09,0.518575837,73.99999999999984
11,55.0,6,PYR5_alternate,PYR5,alternate_like,2,3.854,0.009241939,67.00000000000017
11,55.0,7,PYR5_bright,PYR5,bright_like,1,3.787,0.659752246,67.00000000000017
12,60.0,0,PYR2_alternate,PYR2,alternate_like,1,3.992,0.003766033,86.99999999999974
12,60.0,1,PYR2_bright,PYR2,bright_like,2,4.079,0.505777416,86.99999999999974
12,60.0,2,PYR3_alternate,PYR3,alternate_like,1,4.012,0.001832472,74.00000000000074
12,60.0,3,PYR3_bright,PYR3,bright_like,2,4.086,0.511610394,74.00000000000074
12,60.0,4,PYR4_alternate,PYR4,alternate_like,1,4.035,0.008868421,68.99999999999994
12,60.0,5,PYR4_bright,PYR4,bright_like,2,4.104,0.513306446,68.99999999999994
12,60.0,6,PYR5_alternate,PYR5,alternate_like,2,3.87,0.014434251,72.99999999999996
12,60.0,7,PYR5_bright,PYR5,bright_like,1,3.797,0.644718639,72.99999999999996
13,65.0,0,PYR2_alternate,PYR2,alternate_like,1,4.019,0.002870416,83.99999999999963
13,65.0,1,PYR2_bright,PYR2,bright_like,2,4.103,0.505300314,83.99999999999963
13,65.0,2,PYR3_alternate,PYR3,alternate_like,1,4.007,0.020813077,67.00000000000017
13,65.0,3,PYR3_bright,PYR3,bright_like,2,4.074,0.499481109,67.00000000000017
13,65.0,4,PYR4_alternate,PYR4,alternate_like,1,4.031,0.001159019,71.00000000000063
13,65.0,5,PYR4_bright,PYR4,bright_like,2,4.102,0.510445336,71.00000000000063
13,65.0,6,PYR5_alternate,PYR5,alternate_like,2,3.836,0.010824666,52.999999999999936
13,65.0,7,PYR5_bright,PYR5,bright_like,1,3.783,0.661990456,52.999999999999936
14,70.0,0,PYR2_alternate,PYR2,alternate_like,1,4.007,0.001843934,84.99999999999997
14,70.0,1,PYR2_bright,PYR2,bright_like,2,4.092,0.504494792,84.99999999999997
14,70.0,2,PYR3_alternate,PYR3,alternate_like,1,4.014,0.010112929,81.99999999999986
14,70.0,3,PYR3_bright,PYR3,bright_like,2,4.096,0.500472478,81.99999999999986
14,70.0,4,PYR4_alternate,PYR4,alternate_like,1,3.978,0.005349326,90.99999999999974
14,70.0,5,PYR4_bright,PYR4,bright_like,2,4.069,0.50755834,90.99999999999974
14,70.0,6,PYR5_alternate,PYR5,alternate_like,2,3.843,0.037666572,57.99999999999983
14,70.0,7,PYR5_bright,PYR5,bright_like,1,3.785,0.634868449,57.99999999999983
15,75.0,0,PYR2_alternate,PYR2,alternate_like,1,4.009,0.00869891,89.99999999999986
15,75.0,1,PYR2_bright,PYR2,bright_like,2,4.099,0.488877754,89.99999999999986
15,75.0,2,PYR3_alternate,PYR3,alternate_like,1,4.007,0.013687733,80.00000000000007
15,75.0,3,PYR3_bright,PYR3,bright_like,2,4.087,0.510482168,80.00000000000007
15,75.0,4,PYR4_alternate,PYR4,alternate_like,1,4.026,0.01826039,68.99999999999994
15,75.0,5,PYR4_bright,PYR4,bright_like,2,4.095,0.498507322,68.99999999999994
15,75.0,6,PYR5_alternate,PYR5,alternate_like,2,3.861,0.048610659,64.00000000000006
15,75.0,7,PYR5_bright,PYR5,bright_like,1,3.797,0.617289556,64.00000000000006
16,80.0,0,PYR2_alternate,PYR2,alternate_like,1,4.005,0.007980509,89.99999999999986
16,80.0,1,PYR2_bright,PYR2,bright_like,2,4.095,0.484549816,89.99999999999986
16,80.0,2,PYR3_alternate,PYR3,alternate_like,1,3.979,0.004160358,94.00000000000031
16,80.0,3,PYR3_bright,PYR3,bright_like,2,4.073,0.500972655,94.00000000000031
16,80.0,4,PYR4_alternate,PYR4,alternate_like,1,4.021,0.00075086,67.00000000000017
16,80.0,5,PYR4_bright,PYR4,bright_like,2,4.088,0.514035631,67.00000000000017
16,80.0,6,PYR5_alternate,PYR5,alternate_like,2,3.848,0.027434139,60.99999999999994
16,80.0,7,PYR5_bright,PYR5,bright_like,1,3.787,0.64087199,60.99999999999994
17,85.0,0,PYR2_alternate,PYR2,alternate_like,1,3.997,0.003950877,92.99999999999997
17,85.0,1,PYR2_bright,PYR2,bright_like,2,4.09,0.503383394,92.99999999999997
17,85.0,2,PYR3_alternate,PYR3,alternate_like,1,4.014,0.015689894,76.99999999999996
17,85.0,3,PYR3_bright,PYR3,bright_like,2,4.091,0.499303464,76.99999999999996
17,85.0,4,PYR4_alternate,PYR4,alternate_like,1,4.023,0.004235391,72.00000000000006
17,85.0,5,PYR4_bright,PYR4,bright_like,2,4.095,0.516236756,72.00000000000006
17,85.0,6,PYR5_alternate,PYR5,alternate_like,2,3.815,0.01916748,59.00000000000016
17,85.0,7,PYR5_bright,PYR5,bright_like,1,3.756,0.658947702,59.00000000000016
18,90.0,0,PYR2_alternate,PYR2,alternate_like,1,4.011,0.004740677,75.99999999999963
18,90.0,1,PYR2_bright,PYR2,bright_like,2,4.087,0.501314575,75.99999999999963
18,90.0,2,PYR3_alternate,PYR3,alternate_like,1,4.017,0.003591347,72.00000000000006
