state,energy_au,energy_eV,energy_cm-1
1,0.138860,3.779,30476.2
2,0.140534,3.824,30843.6
3,0.155284,4.225,34081.0
4,0.170328,4.635,37382.7
5,0.180586,4.914,39634.0
6,0.188629,5.133,41399.3
7,0.196124,5.337,43044.3
8,0.210596,5.731,46220.6
9,0.216076,5.880,47423.2
10,0.221137,6.017,48534.1
