edge_type,edge_count,mean_length_nm,minimum_length_nm,maximum_length_nm,RMS_deviation_nm,maximum_absolute_deviation_nm
ALTERNATING_BN_TRIMER_BRIDGE,120,0.14497762933758931,0.14488059980303905,0.14517169245312972,5.9406772661175947e-05,0.0001986924531297285
ANNULUS_BN,336,0.144973,0.144972999999999,0.144973000000001,3.376917050675279e-16,9.992007221626409e-16
ANNULUS_INNER_PASSIVANT_H_BOND,24,0.10999999999999999,0.10099999999999959,0.11900000000000041,2.1200563689943981e-16,4.163336342344337e-16
ANNULUS_OUTER_PASSIVANT_H_BOND,30,0.10999999999999996,0.10099999999999959,0.11900000000000041,2.6592052908983545e-16,4.163336342344337e-16
BRIDGE_PASSIVANT_H_BOND,90,0.10999999999999999,0.10099999999999917,0.11900000000000067,2.8543895378210343e-16,8.326672684688674e-16
PARENT_BN,2460,0.14497338962610404,0.14377760604489134,0.14603424255975045,0.00040025355546859743,0.0011953939551086479
PARENT_TO_COMPLETION_SEED,120,0.14497299999999994,0.14497299999999935,0.14497300000000057,2.75501178052474e-16,6.38378239159465e-16
SEED_PASSIVANT_H_BOND,30,0.10999999999999992,0.10099999999999987,0.11900000000000012,1.3663338145414394e-16,2.220446049250313e-16
