,PYR2,PYR3,PYR4,PYR5
PYR2,4.101,0.0,0.0,0.0
PYR3,0.0,4.095,0.0,0.0
PYR4,0.0,0.0,4.087,0.0
PYR5,0.0,0.0,0.0,3.761
