time_fs,trace_real,trace_imag,min_density_eigenvalue,hermiticity_error,population_sum,population_error,coherence_l1,purity,PYR2,PYR3,PYR4,PYR5
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
10.0,1.0,0.0,1.4469738205328045e-09,0.0,1.0,0.0,1.0015732781462385,0.9972827712807456,5.791463713532907e-07,0.003955556232420885,0.22508658018713196,0.7709572844340759
20.0,0.9999999999999998,0.0,1.710670065475968e-07,0.0,0.9999999999999998,2.220446049250313e-16,1.5112933991257036,0.9877842594867146,3.3047054182968595e-05,0.05358867469162855,0.6414712408134751,0.3049070374407133
30.0,0.9999999999999999,0.0,2.576667810545514e-06,0.0,0.9999999999999999,1.1102230246251565e-16,1.141807116020341,0.9801006309248272,0.0003116790644616362,0.2050182024378011,0.7742229778995801,0.020447140598157103
40.0,1.0,0.0,1.6005467935368086e-05,0.0,1.0,0.0,1.7812650442966982,0.9713743235458006,0.001344471123472556,0.4326843807495107,0.4757582255273406,0.0902129225996762
50.0,0.9999999999999999,0.0,5.8397386160341574e-05,0.0,1.0,0.0,1.7539507287175704,0.9603426273015847,0.003644726780471306,0.6131455174308186,0.08940366449707746,0.29380609129163254
60.0,1.0,0.0,0.00014742875821243363,0.0,1.0,0.0,1.665031111219561,0.9514747092008905,0.007152453976682779,0.624762946186587,0.05329091522895777,0.3147936846077725
70.0,1.0,0.0,0.00028282488608986656,0.0,1.0,0.0,2.0279496050671275,0.9409242631841885,0.010983878635532393,0.46138093042607137,0.40164431135381184,0.1259908795845844
80.0,1.0000000000000004,0.0,0.00046819673589286584,0.0,1.0000000000000002,2.220446049250313e-16,1.229118773203634,0.9319154787400575,0.013937846572149661,0.23773612656832224,0.7315159901307426,0.016810036728785737
90.0,1.0000000000000004,0.0,0.0006754525101453315,0.0,1.0000000000000004,4.440892098500626e-16,1.7510078359997787,0.9249946294193667,0.015394106561402584,0.08127312983107422,0.6668205941379468,0.23651216946957676
100.0,1.0000000000000004,0.0,0.0008883233445092713,0.0,1.0000000000000002,2.220446049250313e-16,1.3531847982255572,0.9160169976289808,0.015719305980527468,0.027065187045625824,0.2857150476217439,0.6715004593521031
110.0,1.0000000000000002,0.0,0.0011461698675553028,0.0,1.0000000000000002,2.220446049250313e-16,0.41483726734820325,0.9122280319413589,0.01572032244033668,0.022899847438524013,0.025756656191423723,0.9356231739297158
120.0,1.0000000000000004,0.0,0.0014305629404861092,0.0,1.0000000000000004,4.440892098500626e-16,1.1073952366980433,0.9101219549138934,0.015680797743936475,0.02407925182533777,0.181315225996503,0.7789247244342232
130.0,1.0000000000000007,0.0,0.0016734103272169842,0.0,1.0000000000000004,4.440892098500626e-16,1.6921784420981365,0.9019961933779492,0.015011564415709605,0.05870613978025569,0.5701581964762606,0.3561240993277746
140.0,1.0000000000000007,0.0,0.0019027556473522741,0.0,1.0000000000000007,6.661338147750939e-16,1.3871354443296047,0.8947592438292327,0.012942532705233014,0.1852786277986526,0.7465724070803167,0.05520643241579841
150.0,1.0000000000000007,0.0,0.002102905100878704,0.0,1.0000000000000007,6.661338147750939e-16,1.7120083250200218,0.8874638013183931,0.00957277263218726,0.3951805282572472,0.5118711813378639,0.08337551777270234
160.0,1.0000000000000009,0.0,0.0022340041096167804,0.0,1.0000000000000009,8.881784197001252e-16,1.7297982241079786,0.8777537366416239,0.0061598900079204025,0.5811506034444676,0.137662514306193,0.2750269922414198
170.0,1.0000000000000009,0.0,0.00231628854852329,0.0,1.0000000000000009,8.881784197001252e-16,1.3082723320906728,0.8700151528944595,0.0042656520094908265,0.6198837815199757,0.05111353233046821,0.32473703414006627
180.0,1.0000000000000009,0.0,0.0023669172949847537,0.0,1.0000000000000009,8.881784197001252e-16,1.7686364583442984,0.8612291479264256,0.004532838649251649,0.48602725796170826,0.34679127293040624,0.16264863045863473
190.0,1.0000000000000009,0.0,0.0024223407786321495,0.0,1.0000000000000009,8.881784197001252e-16,0.964888196372462,0.8530810270078099,0.006243890344396975,0.2756476140644043,0.6828554659108068,0.0352530296803927
200.0,1.0000000000000007,0.0,0.002516457029317668,0.0,1.0000000000000007,6.661338147750939e-16,1.5179125874334611,0.8472681525623698,0.008029231220834059,0.11463749103012043,0.6754219636686919,0.20191131408035426
210.0,1.0000000000000004,0.0,0.002620039193455396,0.0,1.0000000000000004,4.440892098500626e-16,1.2719307058572284,0.8395422684457315,0.008986939294530604,0.05136134085830169,0.33644934099761953,0.6032023788495486
220.0,1.0000000000000004,0.0,0.0027259241400686787,0.0,1.0000000000000004,4.440892098500626e-16,0.44873417306673646,0.8356501958904795,0.009174943246465507,0.04431291127241162,0.05600948711501173,0.8905026583661115
230.0,1.0000000000000004,0.0,0.0028575496303658255,0.0,1.0000000000000004,4.440892098500626e-16,0.850998500914645,0.8344628598411477,0.009173293141801656,0.04462749108814158,0.15402536042158343,0.7921738553484737
240.0,1.0000000000000004,0.0,0.0029806361043674913,0.0,1.0000000000000004,4.440892098500626e-16,1.460402841158849,0.8279716216251721,0.009339621433413235,0.06800914748125057,0.5164445219112554,0.4062067091740813
250.0,1.0000000000000009,0.0,0.003078217400962041,0.0,1.0000000000000009,8.881784197001252e-16,1.3054391340294251,0.8215318022648495,0.009541264807025341,0.16974548570814318,0.7291660818417371,0.09154716764309519
